sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.1079;-0.9022;12.023;0.163;0.2928;9.8009;-0.5334;1.9698;-0.4109;0.1002;0.1808;3.2278;8.0;-15.8;-15.4;-38.6;140.03;0.47;0.75;0.4;34.972;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;10;2014-11-21 17:37:57:549
-5.9624;1.5298;10.6991;-6.868;1.1445;6.9059;-0.2222;0.2382;2.3222;1.686;2.5962;1.0116;9.0;-2.3;-18.0;-39.1;117.12;-6.7;44.84;0.4;38.2;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;512;2014-11-21 17:37:58:051
-3.3931;5.531;-0.3432;-1.9007;9.4233;1.9386;-1.4924;-3.8924;-2.2819;4.6023;-6.0305;-4.5681;27.0;14.7;-29.7;20.9;243.58;-73.93;44.43;0.4;57.106;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;1282;2014-11-21 17:37:58:821
-6.6293;6.0115;1.7456;-7.1111;6.599;1.4339;0.4818;-0.5875;0.3117;0.0281;-0.4166;0.6854;0.0;20.3;-31.9;11.7;232.47;-42.29;78.6;0.4;36.175;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;1844;2014-11-21 17:37:59:383
-1.7554;5.4231;9.4046;-1.7357;4.5065;8.5351;-0.0942;0.7305;0.4836;0.0354;0.3067;0.3873;45.0;-13.6;-25.8;-24.9;124.13;-28.13;11.67;0.4;45.678;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;2362;2014-11-21 17:37:59:901
-0.353;6.2076;7.9042;-0.8452;5.4495;8.1092;0.2758;0.8579;0.3801;0.2211;-0.3213;0.0721;47.0;-16.7;-26.3;-21.5;119.93;-33.76;5.95;0.4;35.524;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;2869;2014-11-21 17:38:00:408
-0.5198;8.3945;5.0014;-0.7305;8.4125;4.9866;0.2777;0.0084;0.0017;0.2944;0.3775;-0.0635;119.0;-16.2;-30.2;-8.8;119.57;-59.0;7.9;0.4;34.991;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;3497;2014-11-21 17:38:01:036
-0.7649;8.6789;4.5013;-0.7535;8.6517;4.5553;-0.0114;0.0272;-0.054;-0.0134;0.0867;-0.033;132.0;-15.8;-31.0;-6.9;120.77;-62.26;9.3;0.4;35.324;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;4062;2014-11-21 17:38:01:601
-1.9809;7.1589;6.2468;-1.7065;7.7137;5.8101;0.1178;-0.3293;-0.0046;-0.54;0.0147;-0.2126;132.0;-13.2;-30.2;-16.6;116.42;-51.87;16.37;0.4;35.225;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;4575;2014-11-21 17:38:02:114
-1.9319;6.0605;7.1883;-1.8586;6.0936;7.4554;-0.0799;-0.1552;-0.6175;-0.1344;0.0195;-0.171;70.0;-12.3;-28.9;-21.0;126.23;-37.82;12.76;0.4;35.31;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;5089;2014-11-21 17:38:02:628
-1.9809;5.8153;7.8061;-2.0505;5.7194;7.6977;0.0704;0.0784;0.1827;0.0318;-0.0257;0.0012;70.0;-11.4;-28.4;-22.0;128.0;-36.15;14.69;0.4;35.238;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;5609;2014-11-21 17:38:03:148
-1.9613;5.629;7.6492;-2.0135;5.652;7.757;0.0326;0.0555;-0.0784;-0.0367;0.0904;0.0672;63.0;-11.9;-28.4;-22.0;127.39;-35.35;14.17;0.4;35.329;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;6134;2014-11-21 17:38:03:673
-1.9025;6.0017;7.3256;-2.1679;5.7694;7.6279;0.3075;0.1278;0.0487;-0.0757;-0.1881;0.0929;63.0;-11.4;-28.9;-23.0;125.77;-36.07;16.39;0.4;34.881;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;6675;2014-11-21 17:38:04:214
