ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.8434,-9.3654,3.0106,2.5328,-9.2993,1.8106,-1.6894,-0.0661,1.2,-0.4594,0.0012,-0.5742,1771.0,14.8,14.6,-47.6,257.64,71.52,-54.06,,61.288,,,,NaN,,,,0 / 0,8,2014-12-14 04:49:44:413
0.9611,-9.2967,3.1087,2.5412,-9.2986,1.8026,-1.6096,-0.0766,1.2669,-0.4508,-0.0281,-0.5803,1771.0,14.8,15.0,-48.1,258.23,71.48,-54.65,,61.288,,,,NaN,,,,0 / 0,63,2014-12-14 04:49:44:468
0.912,-9.4242,2.991,2.5733,-9.2902,1.8002,-1.6613,-0.134,1.1909,-0.4655,0.0171,-0.5742,1771.0,14.4,15.0,-47.6,258.29,71.47,-54.71,,61.288,,,,NaN,,,,0 / 0,108,2014-12-14 04:49:44:513
0.8532,-9.3654,2.991,2.5933,-9.293,1.7565,-1.6715,-0.0527,1.2737,-0.4789,-0.011,-0.5693,1771.0,14.8,14.6,-47.6,259.47,71.37,-55.89,,61.288,,,,NaN,,,,0 / 0,158,2014-12-14 04:49:44:563
0.912,-9.4928,3.1381,2.5982,-9.2952,1.7376,-1.6862,-0.1977,1.4006,-0.474,-0.0171,-0.5852,1771.0,14.8,15.0,-48.1,259.79,71.41,-56.23,,61.288,,,,NaN,,,,0 / 0,208,2014-12-14 04:49:44:613
0.9316,-9.4046,2.9616,2.6036,-9.2952,1.7293,-1.672,-0.1094,1.2323,-0.4911,-0.0367,-0.5962,1771.0,14.4,15.0,-47.1,259.79,71.41,-56.23,,61.288,,,,NaN,,,,0 / 0,259,2014-12-14 04:49:44:664
0.9905,-9.4144,2.9812,2.634,-9.2959,1.6791,-1.6435,-0.1185,1.3021,-0.496,-0.0379,-0.5889,1771.0,14.8,15.5,-47.6,261.36,71.43,-57.48,,40.066,,,,NaN,,,,0 / 0,308,2014-12-14 04:49:44:713
0.9611,-8.7671,2.687,2.6621,-9.2967,1.6296,-1.6436,0.1165,1.2237,-0.551,0.0318,-0.5742,1771.0,14.4,15.5,-47.6,261.34,71.44,-58.53,,40.066,,,,NaN,,,,0 / 0,358,2014-12-14 04:49:44:763
1.0199,-8.8848,2.9616,2.6757,-9.2985,1.5967,-1.6558,0.4137,1.3649,-0.5644,-0.0684,-0.5852,1771.0,14.0,15.5,-47.1,261.34,71.44,-58.53,,40.066,,,,NaN,,,,0 / 0,408,2014-12-14 04:49:44:813
-0.4805,-7.404,4.5699,2.6663,-9.2673,1.7827,-2.8821,1.2847,3.2481,-0.6133,-0.3238,-0.4789,1771.0,13.5,15.9,-47.6,259.33,70.91,-56.23,,40.066,,,,NaN,,,,0 / 0,458,2014-12-14 04:49:44:863
0.4903,-9.7576,3.9619,2.351,-9.3146,1.97,-1.8606,-0.443,1.9918,-0.617,0.0745,-0.4643,1771.0,14.0,15.9,-46.6,259.33,70.91,-56.23,,40.066,,,,NaN,,,,0 / 0,508,2014-12-14 04:49:44:913
2.589,-9.6694,5.8644,2.3979,-9.2852,2.0507,0.1911,-0.3841,3.8137,-0.336,-0.9835,-0.4337,1771.0,14.4,15.9,-47.6,252.56,71.23,-49.46,,40.066,,,,NaN,,,,0 / 0,558,2014-12-14 04:49:44:963
2.8145,-8.8064,5.4917,2.688,-9.1253,2.382,0.1265,0.3189,3.1097,-0.2529,-0.4459,-0.3922,1771.0,14.4,15.5,-48.6,252.34,68.52,-48.45,,40.066,,,,NaN,,,,0 / 0,608,2014-12-14 04:49:45:013
2.9812,-8.7475,4.7955,3.0016,-8.9351,2.7064,-0.0204,0.1876,2.0891,-0.2382,-0.0599,-0.5168,1771.0,14.8,15.0,-49.6,252.34,68.52,-48.45,,40.066,,,,NaN,,,,0 / 0,658,2014-12-14 04:49:45:063
2.9224,-8.875,5.1681,3.0589,-8.9043,2.7436,-0.1365,0.0293,2.4245,-0.1845,-0.1014,-0.573,1771.0,14.0,15.0,-49.6,252.63,65.23,-48.11,,40.066,,,,NaN,,,,0 / 0,709,2014-12-14 04:49:45:114
2.0202,-8.267,5.3937,3.2721,-8.7207,3.0681,-1.2519,0.4537,2.3256,0.0794,0.0342,-0.5877,1771.0,14.8,15.0,-50.1,253.52,62.78,-46.84,,40.066,,,,NaN,,,,0 / 0,759,2014-12-14 04:49:45:164
1.8535,-6.7274,6.9529,3.5085,-7.7714,4.8441,-1.6551,1.0441,2.1088,1.6835,-0.055,-0.9859,1530.0,15.3,13.7,-53.0,246.83,52.42,-35.92,,57.157,,,,NaN,,,,0 / 0,808,2014-12-14 04:49:45:213
0.2256,-7.4236,8.5514,3.6331,-7.2929,5.4576,-3.4075,-0.1308,3.0938,1.7385,-0.0244,-1.1509,1530.0,15.3,12.9,-54.0,246.37,48.04,-33.65,,57.157,,,,NaN,,,,0 / 0,858,2014-12-14 04:49:45:263
0.2256,-7.4236,8.5514,3.6331,-7.2929,5.4576,-3.4075,-0.1308,3.0938,1.7385,-0.0244,-1.1509,1530.0,15.3,12.9,-54.0,246.37,48.04,-33.65,,57.157,,,,NaN,,,,0 / 0,909,2014-12-14 04:49:45:314
-1.8829,-9.483,7.2863,3.5184,-6.7907,6.1382,-5.4013,-2.6923,1.1482,1.2853,-1.4062,-0.931,1530.0,15.3,12.0,-57.4,243.72,43.83,-29.82,,57.157,,,,NaN,,,,0 / 0,958,2014-12-14 04:49:45:363
5.1387,2.4419,7.306,3.9659,-6.4225,6.2605,1.1728,8.8643,1.0454,-1.8473,-0.8638,-0.1234,1530.0,14.0,12.4,-60.8,246.03,40.91,-32.35,,57.157,,,,NaN,,,,0 / 0,1008,2014-12-14 04:49:45:413
6.6881,2.0594,-5.276,5.0296,-6.0599,5.8438,1.6585,8.1193,-11.1198,-3.2938,1.5345,0.6109,932.0,16.6,15.9,-56.4,262.17,38.17,-40.72,,57.157,,,,NaN,,,,0 / 0,1059,2014-12-14 04:49:45:464
5.2564,-15.3474,-5.325,5.4458,-6.454,4.9859,1.4973,-9.2268,-0.2198,-2.5155,3.4147,-0.1491,932.0,20.0,15.9,-51.5,262.17,38.17,-40.72,,57.157,,,,NaN,,,,0 / 0,1108,2014-12-14 04:49:45:513
2.1771,-6.9235,-4.0698,4.5975,-7.8355,3.693,-2.4204,0.912,-7.7628,-3.4147,4.5558,-0.5547,932.0,24.4,17.6,-36.9,279.4,53.03,-51.23,,57.157,,,,NaN,,,,0 / 0,1158,2014-12-14 04:49:45:563
