ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1373,-9.9636,0.2256,0.5237,-9.7926,0.0143,-0.3864,-0.1709,0.2112,0.0318,-0.011,-0.0012,0.0,37.1,8.2,37.0,43.15,86.94,-88.43,0.4,57.33,,,,NaN,,,,0 / 0,9,2014-12-14 04:39:51:934
0.1569,-9.9636,0.1961,0.5176,-9.793,0.0083,-0.4195,-0.1412,0.1977,0.0293,-0.0024,0.011,0.0,37.6,8.2,36.6,43.15,86.94,-88.43,0.4,57.33,,,,NaN,,,,0 / 0,58,2014-12-14 04:39:51:983
0.1569,-9.9145,0.2452,0.5187,-9.7929,0.0049,-0.3618,-0.1216,0.2402,0.0342,-0.0183,0.0037,0.0,37.1,8.6,36.6,44.13,86.97,-89.46,0.4,57.33,,,,NaN,,,,0 / 0,108,2014-12-14 04:39:52:033
0.1275,-9.9341,0.2354,0.5186,-9.7929,6.0E-4,-0.3911,-0.1412,0.2347,0.0318,-0.0134,0.0061,0.0,37.1,8.2,37.0,44.65,86.97,-89.93,0.4,57.33,,,,NaN,,,,0 / 0,159,2014-12-14 04:39:52:084
0.1765,-9.9341,0.2648,0.5198,-9.7929,-0.0118,-0.3911,-0.1412,0.2347,0.0318,-0.0134,0.0061,0.0,37.1,8.2,37.0,44.65,86.97,-89.93,0.4,57.33,,,,NaN,,,,0 / 0,209,2014-12-14 04:39:52:134
0.1079,-9.9439,0.4609,0.5261,-9.7925,-0.0028,-0.4183,-0.1514,0.4637,0.0232,0.0086,-0.0159,0.0,37.1,8.2,36.1,44.23,86.92,-90.3,0.4,57.33,,,,NaN,,,,0 / 0,259,2014-12-14 04:39:52:184
0.1373,-9.9439,0.7061,0.5318,-9.7922,0.0241,-0.3945,-0.1518,0.682,0.0012,0.0305,-0.0195,0.0,36.7,8.2,37.5,43.53,86.92,-89.57,0.4,57.33,,,,NaN,,,,0 / 0,308,2014-12-14 04:39:52:233
0.1373,-9.9439,0.7061,0.5318,-9.7922,0.0241,-0.3945,-0.1518,0.682,0.0012,0.0305,-0.0195,0.0,36.7,8.2,37.5,43.53,86.92,-89.57,0.4,57.33,,,,NaN,,,,0 / 0,370,2014-12-14 04:39:52:295
0.0588,-9.9145,0.3334,0.5404,-9.7915,0.0735,-0.4816,-0.1231,0.2599,-0.0916,0.11,-0.0806,0.0,37.1,8.6,37.0,36.97,86.81,-82.26,0.4,57.33,,,,NaN,,,,0 / 0,408,2014-12-14 04:39:52:333
-0.7257,-9.9047,0.0883,0.5461,-9.7912,-0.0654,-1.3404,-0.3489,-0.2876,-0.1759,0.3885,-0.1393,0.0,36.7,8.2,38.5,36.97,86.81,-82.26,0.4,57.33,,,,NaN,,,,0 / 0,459,2014-12-14 04:39:52:384
