ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT ( lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY ( cm),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.5982,-9.9636,0.3138,0.825,-9.7711,-0.1259,-0.2268,-0.1925,0.4397,0.0,-0.0244,-0.0073,0.0,36.9,-2.1,11.0,27.75,85.12,-99.11,,54.244,,,,NaN,,,,0 / 0,11,2014-12-14 04:40:40:172
0.6374,-9.9636,0.3236,0.8288,-9.7708,-0.1213,-0.1914,-0.1927,0.445,-0.0098,-0.0342,-0.0061,0.0,36.4,-2.1,11.5,26.97,85.1,-98.33,,38.635,,,,NaN,,,,0 / 0,61,2014-12-14 04:40:40:222
0.559,-9.9145,0.2059,0.8448,-9.7695,-0.117,-0.2858,-0.145,0.323,-0.0086,-0.0293,-0.0049,0.0,36.4,-2.1,11.0,25.07,85.01,-97.89,,38.635,,,,NaN,,,,0 / 0,111,2014-12-14 04:40:40:272
0.4903,-9.9145,0.1863,0.843,-9.7696,-0.122,-0.3527,-0.1449,0.3083,0.0086,-0.0501,0.0037,0.0,36.9,-2.6,11.5,25.07,85.01,-97.89,,38.635,,,,NaN,,,,0 / 0,161,2014-12-14 04:40:40:322
0.4413,-9.9341,0.255,0.8394,-9.7698,-0.128,-0.3981,-0.1643,0.383,-0.0037,-0.0794,0.0073,0.0,36.4,-1.7,11.0,25.86,85.03,-98.67,,38.635,,,,NaN,,,,0 / 0,211,2014-12-14 04:40:40:372
0.3334,-9.9243,0.2942,0.8256,-9.771,-0.1283,-0.4922,-0.1533,0.4225,0.0012,-0.1136,0.0171,0.0,36.4,-2.6,11.0,26.08,85.11,-98.83,,38.635,,,,NaN,,,,0 / 0,262,2014-12-14 04:40:40:423
0.2059,-9.9439,0.0981,0.7623,-9.7762,-0.1268,-0.5564,-0.1678,0.2249,0.0061,-0.204,-0.0342,0.0,36.4,-2.6,12.0,28.12,85.48,-99.44,,38.635,,,,NaN,,,,0 / 0,311,2014-12-14 04:40:40:472
0.608,-9.8851,-0.1373,0.7446,-9.7772,-0.148,-0.372,-0.0392,0.0402,0.0122,-0.1759,-0.0428,0.0,37.3,-2.1,10.6,28.12,85.48,-99.44,,38.635,,,,NaN,,,,0 / 0,361,2014-12-14 04:40:40:522
0.9414,-9.9832,-0.049,0.7468,-9.7764,-0.1877,-0.0309,-0.1774,0.119,-0.0208,-0.1393,-0.011,0.0,37.3,-2.6,10.6,30.92,85.5,-104.11,,38.635,,,,NaN,,,,0 / 0,412,2014-12-14 04:40:40:573
0.9905,-9.9047,-0.0686,0.8336,-9.7678,-0.2567,0.2844,-0.2154,0.1488,-0.1063,0.077,-0.0452,0.0,36.9,-2.6,11.0,30.92,85.5,-104.11,,38.635,,,,NaN,,,,0 / 0,461,2014-12-14 04:40:40:622
0.3236,-9.8066,-0.1667,0.9735,-9.7516,-0.36,-0.7675,-0.0747,0.2031,-0.0965,0.088,-0.0415,0.0,36.9,-2.1,12.0,38.62,83.92,-110.3,,35.475,,,,NaN,,,,0 / 0,512,2014-12-14 04:40:40:673
0.2256,-9.9243,-0.0883,0.8083,-9.7638,-0.4306,-0.5828,-0.1605,0.3423,-0.0538,-0.0611,-0.1002,0.0,36.0,-2.1,14.0,49.63,84.64,-118.04,,35.475,,,,NaN,,,,0 / 0,561,2014-12-14 04:40:40:722
0.2256,-9.9243,-0.0883,0.8083,-9.7638,-0.4306,-0.5828,-0.1605,0.3423,-0.0538,-0.0611,-0.1002,0.0,36.0,-2.1,13.5,52.19,84.31,-120.57,,35.475,,,,NaN,,,,0 / 0,612,2014-12-14 04:40:40:773
0.7061,-9.7968,-0.3432,0.9171,-9.7479,-0.5556,-0.211,-0.049,0.2124,-0.077,-0.0012,-0.11,0.0,36.0,-2.1,13.5,52.19,84.31,-120.57,,35.475,,,,NaN,,,,0 / 0,661,2014-12-14 04:40:40:822
0.6276,-9.8263,-0.3138,0.9334,-9.7456,-0.5681,-0.3058,-0.0807,0.2543,-0.0892,-0.0012,-0.1491,0.0,36.0,-1.7,13.0,51.62,83.6,-121.33,,35.475,,,,NaN,,,,0 / 0,711,2014-12-14 04:40:40:872
0.3923,-9.8459,-0.2354,1.0114,-9.7321,-0.6582,-0.6191,-0.1138,0.4228,-0.1051,0.0415,-0.1503,0.0,35.6,-1.7,14.5,51.62,83.6,-121.33,,35.475,,,,NaN,,,,0 / 0,761,2014-12-14 04:40:40:922
0.3923,-9.8459,-0.2354,1.0114,-9.7321,-0.6582,-0.6191,-0.1138,0.4228,-0.1075,0.0623,-0.1491,0.0,34.7,-1.7,14.5,56.76,82.93,-123.05,,35.475,,,,NaN,,,,0 / 0,811,2014-12-14 04:40:40:972
0.1569,-10.1695,0.8924,1.0168,-9.7359,-0.5899,-0.8599,-0.4336,1.4824,0.1283,-0.0281,-0.1283,0.0,35.1,-1.3,14.0,55.3,82.85,-123.13,,35.475,,,,NaN,,,,0 / 0,861,2014-12-14 04:40:41:022
0.1569,-10.1695,0.8924,1.0168,-9.7359,-0.5899,-0.8599,-0.4336,1.4824,0.1283,-0.0281,-0.1283,0.0,35.1,-1.3,14.0,55.3,82.85,-123.13,,35.475,,,,NaN,,,,0 / 0,912,2014-12-14 04:40:41:073
-0.0981,-12.68,1.52,0.8975,-9.765,-0.0957,-2.0743,-1.3655,2.1551,0.4019,-0.1478,-0.0452,0.0,34.3,-0.4,12.5,27.11,84.72,-96.09,,35.475,,,,NaN,,,,0 / 0,962,2014-12-14 04:40:41:123
1.2258,-12.5329,2.6772,0.2773,-9.7445,1.0667,0.9486,-2.7884,1.6106,1.6493,-0.7343,0.3531,0.0,37.7,1.3,4.2,290.62,83.55,-14.57,,43.208,,,,NaN,,,,0 / 0,1012,2014-12-14 04:40:41:173
1.9319,-9.1986,0.3334,0.5941,-9.6124,1.849,1.3378,0.4138,-1.5155,0.9187,-0.1491,0.347,0.0,40.8,1.8,-4.1,282.54,78.58,-17.81,,43.208,,,,NaN,,,,0 / 0,1061,2014-12-14 04:40:41:222
0.8434,-9.2084,0.049,0.71,-9.6009,1.8676,0.408,0.3141,-1.8186,0.5705,-0.1295,0.3152,0.0,42.1,1.8,-6.5,282.96,78.24,-20.81,,43.208,,,,NaN,,,,0 / 0,1112,2014-12-14 04:40:41:273
0.5786,-6.3449,0.8434,0.6643,-9.6705,1.4868,-0.0857,3.3256,-0.6434,0.0086,-0.3311,0.2089,0.0,44.3,1.3,-10.9,280.11,80.44,-24.07,,43.208,,,,NaN,,,,0 / 0,1165,2014-12-14 04:40:41:326
