ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2354,-9.8557,0.814,-1.5219,-9.3925,2.3739,1.7573,-0.4632,-1.56,0.7563,0.7123,0.6573,0.0,-5.5,-26.3,11.7,334.64,73.29,32.66,0.4,54.929,,,,NaN,,,,0 / 0,9,2014-12-14 04:36:25:991
0.2354,-9.8557,0.814,-1.5219,-9.3925,2.3739,1.7573,-0.4632,-1.56,0.7563,0.7123,0.6573,0.0,-5.5,-26.3,11.7,334.64,73.29,32.66,0.4,54.929,,,,NaN,,,,0 / 0,60,2014-12-14 04:36:26:042
0.304,-9.9538,0.8826,-1.5267,-9.3927,2.37,1.8503,-0.463,-1.4874,0.7526,0.6976,0.6597,0.0,-6.4,-26.3,11.7,344.66,73.29,32.79,0.4,54.929,,,,NaN,,,,0 / 0,109,2014-12-14 04:36:26:091
0.304,-9.9636,0.8434,-1.5261,-9.3927,2.3705,1.8007,-0.5317,-1.5075,0.7538,0.6903,0.6646,0.0,-6.0,-26.3,11.7,344.66,73.29,32.79,0.4,54.929,,,,NaN,,,,0 / 0,160,2014-12-14 04:36:26:142
0.2452,-10.042,0.8238,-1.5229,-9.3948,2.364,1.8073,-0.6178,-1.5697,0.7538,0.7159,0.6707,0.0,-6.0,-26.7,12.2,343.88,73.34,32.79,0.4,54.929,,,,NaN,,,,0 / 0,210,2014-12-14 04:36:26:192
0.1863,-9.9341,0.8532,-1.5506,-9.3906,2.3629,1.7467,-0.5632,-1.5195,0.7636,0.6781,0.6756,0.0,-6.0,-25.9,11.2,348.27,73.32,32.89,0.4,54.929,,,,NaN,,,,0 / 0,260,2014-12-14 04:36:26:242
0.2942,-9.8557,0.863,-1.5671,-9.3886,2.3598,1.8613,-0.4671,-1.4968,0.7599,0.6744,0.6707,0.0,-6.0,-25.9,11.7,348.27,73.32,32.89,0.4,39.493,,,,NaN,,,,0 / 0,310,2014-12-14 04:36:26:292
0.1765,-10.0224,0.8924,-1.5597,-9.3857,2.3761,1.7362,-0.6367,-1.4837,0.777,0.672,0.6891,0.0,-6.0,-26.3,12.7,332.48,73.2,33.5,0.4,39.493,,,,NaN,,,,0 / 0,360,2014-12-14 04:36:26:342
0.5099,-9.6301,1.0493,-1.5573,-9.3803,2.399,2.0672,-0.2498,-1.3497,0.7831,0.7013,0.6658,0.0,-5.5,-26.3,12.2,333.28,73.04,32.99,0.4,39.493,,,,NaN,,,,0 / 0,410,2014-12-14 04:36:26:392
0.5099,-9.6301,1.0493,-1.5573,-9.3803,2.399,2.0672,-0.2498,-1.3497,0.7831,0.7013,0.6658,0.0,-5.5,-26.3,12.2,333.28,73.04,32.99,0.4,39.493,,,,NaN,,,,0 / 0,459,2014-12-14 04:36:26:441
