ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT ( lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY ( cm),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1079,-10.0126,0.6178,-3.3955,-8.4842,3.558,3.523,-1.499,-2.9304,1.2266,1.2022,1.2046,534.0,-86.6,3.4,31.2,29.68,59.9,43.66,,54.885,,,,NaN,,,,0 / 0,11,2014-12-14 04:23:43:422
0.049,-9.9538,0.6178,-3.3806,-8.5017,3.5303,3.3904,-1.4717,-2.9713,1.2291,1.2339,1.1863,534.0,-87.0,3.4,31.7,28.91,60.1,43.76,,54.885,,,,NaN,,,,0 / 0,62,2014-12-14 04:23:43:473
0.0785,-9.9538,0.5982,-3.3797,-8.506,3.5209,3.3904,-1.4717,-2.9713,1.2291,1.2339,1.1863,534.0,-87.0,3.4,31.7,28.91,60.1,43.76,,54.885,,,,NaN,,,,0 / 0,111,2014-12-14 04:23:43:522
0.0588,-9.8753,0.6767,-3.38,-8.5052,3.5224,3.4389,-1.3701,-2.8457,1.2291,1.2168,1.2058,534.0,-86.1,3.4,31.2,29.23,60.15,43.82,,40.88,,,,NaN,,,,0 / 0,161,2014-12-14 04:23:43:572
0.2059,-9.9341,1.0101,-3.3704,-8.5014,3.5407,3.5763,-1.4327,-2.5306,1.2364,1.2168,1.1655,534.0,-87.0,3.4,31.7,29.1,60.1,43.59,,40.88,,,,NaN,,,,0 / 0,211,2014-12-14 04:23:43:622
0.0392,-9.8851,0.9611,-3.271,-8.5081,3.617,3.3102,-1.377,-2.656,1.1154,1.2388,1.0788,534.0,-87.0,3.4,31.2,31.25,60.18,42.12,,40.88,,,,NaN,,,,0 / 0,261,2014-12-14 04:23:43:672
-0.3825,-9.9145,1.1768,-3.2631,-8.5233,3.5883,2.8807,-1.3912,-2.4115,1.1081,1.3402,1.0678,534.0,-87.0,3.9,32.1,30.26,60.36,42.28,,40.88,,,,NaN,,,,0 / 0,312,2014-12-14 04:23:43:723
-0.353,-10.091,1.5396,-3.2927,-8.4952,3.6277,2.8459,-1.5461,-2.1665,1.2963,1.2217,1.0165,534.0,-87.0,3.9,32.1,30.39,60.03,42.23,,40.88,,,,NaN,,,,0 / 0,362,2014-12-14 04:23:43:773
-0.353,-10.091,1.5396,-3.2927,-8.4952,3.6277,3.1221,-1.4885,-2.2668,1.3024,1.3525,1.0116,534.0,-87.0,3.9,32.1,30.39,60.03,42.23,,40.88,,,,NaN,,,,0 / 0,412,2014-12-14 04:23:43:823
-0.1275,-9.8066,1.2454,-3.2959,-8.4604,3.7053,3.1684,-1.3463,-2.4599,1.3024,1.3525,1.0116,534.0,-87.9,3.9,32.1,31.32,59.62,41.65,,40.88,,,,NaN,,,,0 / 0,461,2014-12-14 04:23:43:872
