ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2256,-10.0224,-0.049,0.4494,-9.7924,-0.2785,-0.2329,-0.23,0.2294,0.0195,-0.0415,-0.0122,212.0,-84.4,33.0,74.1,169.84,86.91,-121.77,,57.3,,,,NaN,,,,0 / 0,11,2014-12-14 04:27:15:764
0.2256,-9.993,-0.1079,0.4477,-9.7925,-0.2781,-0.2221,-0.2005,0.1703,0.0354,-0.022,0.0037,212.0,-84.4,33.4,73.6,170.31,86.92,-121.85,,57.3,,,,NaN,,,,0 / 0,61,2014-12-14 04:27:15:814
0.3432,-9.9243,-0.0785,0.4475,-9.7924,-0.2797,-0.1435,-0.1417,0.2307,0.0257,-0.0281,-0.0049,212.0,-84.8,33.0,74.1,170.31,86.92,-121.85,,40.085,,,,NaN,,,,0 / 0,111,2014-12-14 04:27:15:864
0.3334,-9.9832,-0.0392,0.4673,-9.7913,-0.2861,-0.1374,-0.2308,0.2563,0.0159,-0.0049,-0.0098,212.0,-84.8,33.4,73.6,170.58,86.83,-121.79,,40.085,,,,NaN,,,,0 / 0,160,2014-12-14 04:27:15:913
0.3825,-9.9439,-0.049,0.4715,-9.7912,-0.2846,-0.089,-0.1528,0.2356,0.0244,0.0061,-0.0012,212.0,-84.0,33.0,73.1,169.94,86.78,-121.12,,40.085,,,,NaN,,,,0 / 0,211,2014-12-14 04:27:15:964
0.3628,-9.9832,-0.0981,0.5059,-9.7887,-0.309,-0.2019,-0.0866,0.358,-0.0073,0.0147,-0.0159,212.0,-85.3,33.0,74.6,169.8,86.53,-121.42,,40.085,,,,NaN,,,,0 / 0,261,2014-12-14 04:27:16:014
0.1961,-9.9145,0.1863,0.5054,-9.789,-0.2993,-0.2896,-0.1843,0.4268,-0.0195,-0.011,-0.044,212.0,-84.4,33.0,74.6,169.8,86.53,-121.42,,40.085,,,,NaN,,,,0 / 0,310,2014-12-14 04:27:16:063
0.2746,-9.9341,0.049,0.5212,-9.7884,-0.2925,-0.2466,-0.1457,0.3415,-0.0391,0.0635,-0.0684,212.0,-84.8,33.0,75.1,167.64,86.51,-119.3,,40.085,,,,NaN,,,,0 / 0,360,2014-12-14 04:27:16:113
0.2256,-9.8361,0.1569,0.5395,-9.7872,-0.3006,-0.3139,-0.0489,0.4575,-0.1136,0.1637,-0.0684,212.0,-85.3,33.0,74.6,167.64,86.51,-119.3,,40.085,,,,NaN,,,,0 / 0,410,2014-12-14 04:27:16:163
-0.7159,-10.1205,0.0098,0.5212,-9.7876,-0.3189,-1.2371,-0.3329,0.3287,-0.1161,0.1417,-0.088,212.0,-85.3,33.0,74.6,169.83,86.43,-121.46,,40.085,,,,NaN,,,,0 / 0,461,2014-12-14 04:27:16:214
