ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.1513,-0.2865,9.6734,-0.4266,-0.35,9.7911,-5.0E-4,5.0E-4,-0.0261,12.12,4.68,-37.33,291.19,2.04,2.47,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,5,2014-12-14 15:12:10:311
2.6229,-1.1294,9.6351,-0.3945,-0.3469,9.7926,0.6067,0.0706,-0.0155,10.62,5.43,-36.95,291.32,2.05,2.49,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,55,2014-12-14 15:12:10:361
-0.0401,-0.3248,9.6734,-0.3683,-0.3694,9.7928,0.3637,-0.3095,-0.0334,11.37,4.3,-37.39,285.72,2.03,2.31,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,105,2014-12-14 15:12:10:411
-0.4233,-0.3248,9.6734,-0.3602,-0.3663,9.7932,-0.08,0.0272,0.0059,10.31,4.3,-38.14,286.61,2.14,2.11,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,155,2014-12-14 15:12:10:461
-1.4578,0.8439,9.6543,-0.4066,-0.3521,9.7919,-0.5028,0.2232,0.0067,10.62,3.93,-36.45,286.61,2.14,2.11,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,205,2014-12-14 15:12:10:511
-0.1359,-1.5126,9.5776,-0.451,-0.2491,9.7931,-0.0189,0.2258,0.0151,10.31,1.74,-37.33,274.44,2.06,2.38,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,257,2014-12-14 15:12:10:563
-0.8064,-0.6122,9.6543,-0.3983,-0.3085,9.7937,0.3212,-0.6195,-0.0062,9.93,1.36,-37.14,270.34,1.46,2.64,2.0,40.079,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,305,2014-12-14 15:12:10:611
-1.1513,-1.1486,9.5968,-0.4158,-0.2821,9.7938,-0.176,0.4225,0.0166,7.68,-1.57,-35.89,270.34,1.46,2.64,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,355,2014-12-14 15:12:10:661
-0.2892,-0.2482,10.0566,-0.4334,-0.4003,9.7889,0.0614,-0.5786,-0.0197,6.62,-2.32,-37.58,240.06,1.65,2.43,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,404,2014-12-14 15:12:10:710
-2.4349,-6.0531,-0.059,-0.6157,-0.1916,9.7854,-9.3258,0.0731,-7.9046,-19.88,-5.26,-42.89,104.39,1.12,3.6,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,455,2014-12-14 15:12:10:761
2.5654,-4.3672,7.4894,0.1831,-0.8536,9.7677,5.1864,-2.7861,-4.3528,-20.63,-4.89,-42.83,104.39,1.12,3.6,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,505,2014-12-14 15:12:10:811
5.6882,-0.3439,9.3094,0.3262,-0.7807,9.7701,4.9108,0.5789,-0.9842,-19.13,-2.32,-45.83,114.93,4.99,-1.07,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,554,2014-12-14 15:12:10:860
4.7495,-1.1486,13.2177,1.0975,-0.7961,9.7125,4.8993,-0.6912,2.1971,-20.25,-3.76,-42.33,111.66,4.57,-1.91,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,605,2014-12-14 15:12:10:911
4.328,-1.3593,14.3672,1.2222,-0.8637,9.6918,-0.7476,-0.29,-0.3221,-8.13,-6.76,-42.83,167.73,4.92,-7.48,2.0,48.25,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,655,2014-12-14 15:12:10:961
-0.0401,-0.2098,7.2978,1.4293,-0.7868,9.67,0.1339,-0.2801,0.0642,5.49,-10.76,-39.02,167.73,4.92,-7.48,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,704,2014-12-14 15:12:11:010
0.4005,1.3611,10.2865,1.2038,-0.7737,9.7017,-1.9647,0.4849,-2.4477,13.62,-11.14,-34.33,234.35,4.6,-8.41,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,755,2014-12-14 15:12:11:061
-2.3966,-0.9187,6.8763,0.7714,-0.2865,9.7721,-2.853,2.2929,-1.6862,25.74,-13.7,-25.08,242.27,1.67,-4.51,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,805,2014-12-14 15:12:11:111
-4.6572,2.9321,7.9683,0.3959,-0.2791,9.7947,-2.8415,0.5792,-1.2566,30.87,-13.01,-22.45,242.27,1.67,-4.51,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,854,2014-12-14 15:12:11:160
-3.4503,2.0317,7.2403,-0.2848,0.042,9.8024,-4.226,1.2,0.5083,34.93,-10.76,-16.83,252.21,1.63,-2.31,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,905,2014-12-14 15:12:11:211
-6.6497,1.5719,10.4781,-1.2628,0.4258,9.7157,-4.7515,0.6227,-0.6546,38.62,-5.26,-20.7,263.16,-1.15,2.96,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,954,2014-12-14 15:12:11:260
-4.1783,0.0775,12.6813,-1.9164,0.4016,9.6092,-2.2569,-0.4721,3.158,37.5,-3.45,-20.2,263.16,-1.15,2.96,2.0,61.124,35.17803,126.90888,,155.56332963278172,,66.05161,,0 / 20,1005,2014-12-14 15:12:11:311
