ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9907,-10.6319,2.2975,0.2009,-9.8041,-0.1002,1.1105,-0.452,1.2405,-16.01,55.65,-11.42,296.71,88.46,-168.24,0.0,55.321,35.178192,126.90871,,NaN,,83.87097,,0 / 22,3,2014-12-14 14:44:35:351
2.8336,-10.881,2.8531,0.5929,-9.7819,0.3663,2.3769,-1.0188,2.4261,-15.26,56.71,-15.92,224.52,88.24,-84.46,0.0,55.321,35.178192,126.90871,,NaN,,83.87097,,0 / 22,53,2014-12-14 14:44:35:401
2.4505,-11.1875,2.7764,0.8575,-9.7462,0.6678,1.6071,-1.3112,2.1933,-16.01,57.84,-20.67,199.58,83.64,-52.09,0.0,55.321,35.178192,126.90871,,NaN,,83.87097,,0 / 22,104,2014-12-14 14:44:35:452
0.9753,-11.2067,1.5312,0.9183,-9.7322,0.7823,1.0097,-1.1692,1.7655,-14.88,58.96,-24.11,199.58,83.64,-52.09,0.0,55.321,35.178192,126.90871,,NaN,,83.87097,,0 / 22,153,2014-12-14 14:44:35:501
-0.9214,-9.5974,-0.9019,0.5246,-9.7772,0.549,-1.7076,0.6004,-1.5422,-14.88,59.34,-29.67,207.55,82.93,-49.57,0.0,55.321,35.178192,126.90871,,NaN,,83.87097,,0 / 22,203,2014-12-14 14:44:35:551
0.2856,-8.0073,-1.0935,0.4149,-9.7941,0.2701,-0.4403,0.2437,-1.2687,-13.76,58.59,-36.05,206.58,86.29,-45.24,0.0,55.321,35.178192,126.90871,,NaN,,83.87097,,0 / 22,253,2014-12-14 14:44:35:601
-0.4424,-6.8003,-0.9403,0.3559,-9.7996,0.1063,-0.3076,2.2388,-1.3038,-11.57,57.84,-42.11,239.94,87.83,-73.37,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,303,2014-12-14 14:44:35:651
-0.4041,-6.0723,-0.8062,0.2514,-9.8033,-0.0434,-0.6853,3.1593,-0.8326,-11.95,56.71,-41.24,239.94,87.83,-73.37,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,353,2014-12-14 14:44:35:701
2.2397,-6.3405,0.2284,0.3147,-9.8002,-0.1643,0.9498,2.8055,-0.5022,-10.82,57.46,-42.55,267.37,88.51,-99.8,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,403,2014-12-14 14:44:35:751
1.6458,-5.4017,1.4354,0.4656,-9.7944,-0.1528,1.7585,2.2521,0.176,-10.45,56.4,-41.24,267.37,88.51,-99.8,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,453,2014-12-14 14:44:35:801
-0.5765,-7.6432,0.1134,0.6643,-9.7834,0.1155,-0.5359,2.407,0.6886,-6.01,61.15,-38.17,280.48,87.14,-108.17,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,503,2014-12-14 14:44:35:851
-0.0784,-8.697,-0.2697,0.3978,-9.7982,0.0819,-0.377,-0.8914,-0.2872,-5.7,62.28,-34.67,248.66,87.13,-73.69,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,553,2014-12-14 14:44:35:901
-1.3429,-10.7086,0.1709,0.2423,-9.8033,0.0791,-1.0501,-1.6715,0.0592,-3.82,64.84,-29.17,247.12,88.51,-71.92,0.0,63.656,35.178192,126.90871,,NaN,,83.87097,,0 / 22,603,2014-12-14 14:44:35:951
0.8412,-14.5977,-2.3197,0.0063,-9.8062,0.0903,0.073,-4.2682,-0.6015,-2.7,64.84,-26.43,247.12,88.51,-71.92,0.0,59.607,35.178192,126.90871,,NaN,,83.87097,,0 / 22,653,2014-12-14 14:44:36:001
