ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.458,-9.7315,0.2859,0.5676,-9.7902,-0.0087,-0.2887,-0.023,0.075,-6.51,40.9,5.58,126.61,86.37,-90.35,0.0,66.515,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,2,2014-12-14 14:34:09:964
1.0519,-9.6357,0.6116,0.5964,-9.7879,0.1053,0.3519,-0.1102,0.6481,-6.2,41.34,4.45,130.1,86.71,-88.32,0.0,66.515,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,52,2014-12-14 14:34:10:014
1.3968,-9.425,0.5924,0.6672,-9.7824,0.1755,0.5548,0.0728,0.5058,-6.57,41.71,7.2,130.1,86.71,-88.32,0.0,66.515,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,102,2014-12-14 14:34:10:064
1.8949,-9.6166,0.669,0.8915,-9.7627,0.2575,1.1548,-0.0836,0.4664,-5.82,39.84,5.33,101.2,85.97,-75.26,0.0,66.515,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,152,2014-12-14 14:34:10:114
1.665,-9.4058,0.3433,1.0193,-9.7486,0.3094,0.8087,0.0243,0.32,-6.2,39.46,5.7,88.0,83.76,-73.11,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,203,2014-12-14 14:34:10:165
1.3968,-9.5208,0.784,1.0882,-9.7385,0.3853,0.0278,0.0873,0.4604,-5.45,40.59,7.33,73.39,83.24,-70.5,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,252,2014-12-14 14:34:10:214
2.8528,-10.038,1.2438,1.178,-9.7254,0.4463,1.0263,-0.2125,0.4985,-6.57,39.09,5.76,73.39,83.24,-70.5,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,302,2014-12-14 14:34:10:264
4.213,-9.8656,1.1288,1.2982,-9.7073,0.504,1.7431,-0.389,0.829,-4.7,39.84,5.95,70.53,82.62,-69.25,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,352,2014-12-14 14:34:10:314
1.2627,-11.8198,2.5849,1.8385,-9.6157,0.5734,2.5457,-0.576,-0.0293,-6.51,38.34,3.83,70.61,78.67,-72.68,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,402,2014-12-14 14:34:10:364
-0.27,-12.2221,3.9834,1.5801,-9.6296,0.9716,-0.4685,-1.944,4.4448,-8.01,37.59,2.51,89.08,79.75,-73.16,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,452,2014-12-14 14:34:10:414
1.0902,-11.5515,3.9451,1.3238,-9.6208,1.3631,-1.7341,-1.8059,2.4489,-8.76,34.65,-0.05,89.08,79.75,-73.16,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,502,2014-12-14 14:34:10:464
2.5463,-10.7852,3.1596,1.2394,-9.6129,1.4922,-1.095,-1.2834,2.1698,-8.76,35.03,0.08,84.43,78.83,-44.16,0.0,58.652,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,552,2014-12-14 14:34:10:514
3.1593,-7.1835,3.811,1.6865,-9.4574,1.9705,1.3287,2.655,1.4221,-11.7,31.71,-5.49,122.44,76.47,-40.28,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,608,2014-12-14 14:34:10:570
2.5079,-6.8386,4.5965,1.6865,-9.4574,1.9705,1.3287,2.655,1.4221,-11.7,31.71,-7.61,122.44,76.47,-40.28,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,652,2014-12-14 14:34:10:614
1.6267,-6.3788,4.9605,1.8752,-9.2918,2.5133,-0.0299,3.0054,2.3063,-10.63,31.34,-9.86,162.89,74.66,-40.56,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,702,2014-12-14 14:34:10:664
2.5271,-5.7466,4.2899,2.0054,-9.0721,3.1378,0.412,2.6209,0.9953,-9.88,27.65,-11.61,152.06,67.68,-32.58,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,752,2014-12-14 14:34:10:714
1.6458,-3.1027,3.5045,2.2376,-8.8519,3.5788,-0.1877,4.4305,0.53,-12.45,27.28,-10.42,152.06,67.68,-32.58,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,802,2014-12-14 14:34:10:764
-7.416,6.1507,-15.673,1.8204,-9.0878,3.2043,-7.3564,11.7348,-12.4871,-9.13,26.53,-7.68,70.64,64.51,-32.02,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,852,2014-12-14 14:34:10:814
6.9335,-23.3531,37.0698,1.1673,-9.6137,1.5442,-8.5321,10.523,-19.3411,-10.63,26.9,-4.86,70.64,64.51,-32.02,0.0,67.643,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,902,2014-12-14 14:34:10:864
-0.155,-9.9422,-2.8561,1.0139,-9.5152,2.1454,-4.9174,12.132,-5.1195,-7.63,25.78,2.33,97.42,78.62,-37.09,0.0,68.261,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,952,2014-12-14 14:34:10:914
-2.7031,-15.7855,-2.4921,0.2584,-9.7158,1.3061,-5.6146,-12.4323,-2.4867,-4.32,25.03,3.76,33.98,76.0,-25.29,0.0,68.261,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1002,2014-12-14 14:34:10:964
-2.0709,-10.8235,-5.5191,-0.2565,-9.7953,0.3959,-2.3965,-0.6176,-3.5093,-0.63,27.65,8.58,7.94,84.33,-3.98,0.0,68.261,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1052,2014-12-14 14:34:11:014
0.2473,-15.1533,-9.868,-0.4236,-9.7845,-0.5044,-0.6333,-3.0156,-7.3879,3.43,23.21,7.33,7.94,84.33,-3.98,0.0,68.261,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1102,2014-12-14 14:34:11:064
6.991,-32.0701,3.6194,-0.339,-9.7401,-1.089,0.9322,-6.2867,0.794,8.24,19.53,12.7,187.2,86.15,139.98,0.0,68.261,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1152,2014-12-14 14:34:11:114
8.7152,-10.996,5.7843,0.2785,-9.7325,-1.1712,7.245,-21.3274,0.794,11.55,17.65,13.89,119.83,82.95,-166.62,0.0,68.261,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1202,2014-12-14 14:34:11:164
10.0372,-6.0148,12.6046,1.7918,-9.6216,0.6207,5.6741,7.458,11.0533,11.55,16.53,13.89,119.83,82.95,-166.62,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1252,2014-12-14 14:34:11:214
14.3669,-4.8653,8.9454,2.9144,-9.2254,1.6028,10.5945,6.355,7.2468,13.8,18.03,14.76,31.41,78.85,-70.89,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1302,2014-12-14 14:34:11:264
10.1713,-14.4828,-6.6111,3.9042,-8.7014,2.2831,3.3142,2.8881,-1.616,13.43,20.96,12.95,10.29,66.14,-59.17,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1352,2014-12-14 14:34:11:314
3.7149,-29.8286,5.746,3.8578,-8.8803,1.5581,1.8026,-14.8413,0.147,5.3,26.15,8.95,19.5,64.9,-68.01,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1402,2014-12-14 14:34:11:364
-5.6726,-28.4108,-5.5574,1.7579,-9.6235,0.684,-12.38,-16.6431,-6.2014,1.24,29.09,6.33,19.5,64.9,-68.01,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1455,2014-12-14 14:34:11:417
-5.6726,-20.2111,-7.5307,1.0701,-9.7478,0.0792,-7.003,-5.1757,-7.4045,-8.01,27.65,8.51,62.12,78.91,-68.74,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1502,2014-12-14 14:34:11:464
-10.0024,-2.9495,-6.592,0.7253,-9.7774,-0.2161,-8.745,2.3224,-7.2275,-8.76,30.21,7.33,153.44,85.57,-106.59,0.0,72.825,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1552,2014-12-14 14:34:11:514
-8.4506,4.4839,-8.9867,-0.0889,-9.7751,-0.7811,-9.5485,16.1451,-5.7769,-10.63,29.09,9.01,153.44,85.57,-106.59,0.0,72.715,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1603,2014-12-14 14:34:11:565
16.072,-10.8044,14.7504,-1.2016,-9.32,-2.8045,11.1998,5.1211,7.3882,-10.95,30.59,16.08,236.41,85.4,173.51,0.0,72.715,35.178024,126.90881,,156.55228501486238,,64.51613,,0 / 22,1652,2014-12-14 14:34:11:614
