ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.186,-9.7698,0.5158,0.1314,-9.8036,0.206,0.2462,0.4317,0.189,7.55,58.4,-32.86,245.48,88.97,-50.67,0.0,70.561,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,3,2014-12-14 14:30:16:679
1.2052,-9.6357,0.2476,0.2762,-9.7999,0.2385,1.1485,-0.2798,0.1568,9.74,59.53,-32.42,231.9,88.57,-32.53,0.0,70.561,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,53,2014-12-14 14:30:16:729
0.8603,-10.0955,1.7611,0.4242,-9.7934,0.284,0.4591,0.0602,0.517,11.24,56.53,-30.86,261.95,87.3,-57.77,0.0,56.291,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,103,2014-12-14 14:30:16:779
1.6841,-10.6894,2.2783,0.4242,-9.7934,0.284,0.4591,0.0602,0.517,11.99,57.65,-29.49,264.18,87.02,-56.2,0.0,56.291,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,153,2014-12-14 14:30:16:829
4.9027,-10.9193,3.3129,0.9646,-9.7208,0.8641,3.6521,-0.9666,2.3596,13.12,59.53,-29.92,264.18,87.02,-56.2,0.0,56.291,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,203,2014-12-14 14:30:16:879
-2.1858,-9.3483,-0.672,1.7486,-9.5693,1.2418,0.0974,-1.0121,0.4249,13.12,59.53,-31.05,264.64,82.41,-48.15,0.0,56.291,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,253,2014-12-14 14:30:16:929
-2.2433,-8.6012,3.6769,1.3387,-9.6329,1.2593,-3.0853,1.4898,1.3995,13.43,56.53,-35.55,263.11,79.2,-46.75,0.0,56.291,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,303,2014-12-14 14:30:16:979
1.2818,-11.5707,1.7036,1.0322,-9.6796,1.1876,0.1503,-1.5494,-0.7792,14.18,54.34,-36.42,263.11,79.2,-46.75,0.0,56.291,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,353,2014-12-14 14:30:17:029
2.5463,-10.881,2.3358,1.086,-9.6707,1.2118,0.9399,-1.0991,0.5149,12.74,53.21,-39.05,251.08,80.77,-41.0,0.0,70.349,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,403,2014-12-14 14:30:17:079
1.6075,-6.1106,4.1942,1.3864,-9.5517,1.7362,0.2369,3.6107,2.2218,11.62,48.46,-40.24,251.14,78.91,-41.82,0.0,70.349,35.178055,126.90888,,155.44231814965815,,79.66451,,0 / 22,453,2014-12-14 14:30:17:129
