ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.094,-9.5782,0.6307,-0.0063,-9.7766,0.7677,0.07,0.0261,-0.0704,-4.57,38.4,-3.55,93.2,85.48,-3.19,0.0,72.174,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,18,2014-12-14 14:52:37:086
0.3431,-9.7124,0.42,0.0324,-9.7795,0.7291,0.2795,-0.1452,-0.2537,-4.57,38.78,-1.8,77.63,85.51,0.47,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,69,2014-12-14 14:52:37:137
0.1515,-9.5399,0.8989,0.0275,-9.7799,0.7238,0.0419,0.0777,0.2352,-4.2,38.09,0.08,93.62,85.73,-2.54,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,118,2014-12-14 14:52:37:186
-0.4424,-9.4058,0.2859,0.0088,-9.7794,0.7303,-0.2054,-0.0408,0.0196,-4.2,37.71,0.08,56.41,85.76,-2.18,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,168,2014-12-14 14:52:37:236
-0.7681,-9.1376,0.1518,-0.1015,-9.7853,0.6382,-0.6513,0.2617,-0.5354,-3.13,37.71,0.33,46.81,85.89,1.76,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,217,2014-12-14 14:52:37:285
-0.3658,-9.789,0.0943,-0.1436,-9.7899,0.5551,-0.1291,-0.2243,-0.5946,-1.63,38.03,1.51,46.81,85.89,1.76,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,268,2014-12-14 14:52:37:336
-0.5191,-9.6932,0.056,-0.1624,-9.7919,0.5119,-0.2577,-0.0795,-0.587,-0.51,38.03,2.08,6.06,86.65,14.5,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,318,2014-12-14 14:52:37:386
-0.8448,-9.5591,-0.8253,-0.2919,-9.7976,0.3034,-0.609,0.0608,-1.0997,-2.01,37.71,4.82,357.29,87.17,25.45,0.0,58.106,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,368,2014-12-14 14:52:37:436
-0.3083,-9.789,-0.4422,-0.3157,-9.7986,0.2419,-0.3281,-0.0986,-0.8387,-0.88,38.09,1.39,357.29,87.17,25.45,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,417,2014-12-14 14:52:37:485
-0.6723,-9.4825,-1.1893,-0.3397,-9.8008,0.0024,0.0018,-0.2045,-0.6688,-0.2,38.09,6.14,317.44,87.68,52.55,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,468,2014-12-14 14:52:37:536
-1.3046,-9.4633,-1.8215,-0.384,-9.7986,-0.0983,-0.6015,0.1988,-1.3805,-0.88,39.53,5.7,317.44,87.68,52.55,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,518,2014-12-14 14:52:37:586
-1.9176,-9.3483,-2.1281,-0.6801,-9.7652,-0.5904,-1.2533,0.2206,-1.7007,0.55,38.09,5.7,260.62,87.68,104.36,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,568,2014-12-14 14:52:37:636
-1.113,-9.5208,-1.9365,-0.7944,-9.7463,-0.7408,-0.6365,0.1276,-1.0065,1.3,37.34,7.39,236.06,84.73,130.96,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,618,2014-12-14 14:52:37:686
-1.7452,-9.2142,-1.9748,-0.8638,-9.7267,-0.9032,-0.6592,0.1717,-1.0882,1.3,36.59,7.39,252.81,83.64,133.0,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,668,2014-12-14 14:52:37:736
-1.1704,-9.5208,-1.994,-1.0244,-9.682,-1.1743,-0.239,-0.0226,-0.779,0.55,35.84,8.45,255.42,81.53,137.65,0.0,67.574,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,718,2014-12-14 14:52:37:786
-1.8985,-9.2909,-2.2047,-1.0695,-9.663,-1.2854,-0.4601,0.0787,-0.8629,1.3,35.46,9.08,255.42,81.53,137.65,0.0,66.504,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,768,2014-12-14 14:52:37:836
-2.09,-9.1759,-2.4538,-1.124,-9.6478,-1.3519,-0.7529,0.1696,-0.919,1.68,38.03,9.39,249.26,80.18,140.24,0.0,66.504,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,818,2014-12-14 14:52:37:886
-1.4578,-9.425,-2.4346,-1.3129,-9.5813,-1.6262,-0.26,0.0553,-0.8551,1.3,35.84,10.2,259.83,78.53,140.29,0.0,66.504,35.178223,126.908745,,155.843274515097,,143.26451,,0 / 22,868,2014-12-14 14:52:37:936
