ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.155,-10.2296,1.6461,-0.3428,-9.8001,-0.1024,0.2052,-0.4458,1.6153,-3.82,52.71,10.51,262.9,87.13,130.11,0.0,63.521,35.17821,126.90864,,NaN,,125.80645,,0 / 22,4,2014-12-14 14:44:50:040
0.8412,-10.6128,1.8568,-0.3319,-9.801,0.0117,0.1357,-0.4731,1.5835,-2.7,54.15,10.14,262.9,87.13,130.11,0.0,63.521,35.17821,126.90864,,NaN,,125.80645,,0 / 22,54,2014-12-14 14:44:50:090
2.3547,-11.0534,2.9489,-0.173,-9.8017,0.2574,1.5141,-0.8954,1.8204,-3.07,53.09,8.33,302.75,88.06,87.97,0.0,63.521,35.17821,126.90864,,NaN,,125.80645,,0 / 22,105,2014-12-14 14:44:50:141
4.5579,-12.6053,5.9759,0.9222,-9.6671,1.3666,3.7335,-2.0292,4.2989,-5.7,55.65,7.2,42.87,84.39,-26.03,0.0,63.521,35.17821,126.90864,,NaN,,125.80645,,0 / 22,154,2014-12-14 14:44:50:190
1.8757,-14.1762,2.4316,1.0523,-9.635,1.4935,0.7134,-3.3674,0.6112,-7.51,56.4,4.2,42.87,84.39,-26.03,0.0,63.521,35.17821,126.90864,,NaN,,125.80645,,0 / 22,204,2014-12-14 14:44:50:240
1.0136,-12.0497,0.1901,1.0413,-9.6719,1.2408,-0.6361,-0.7942,-1.0907,-11.57,56.4,-0.67,75.41,79.51,-36.8,0.0,63.521,35.17821,126.90864,,NaN,,125.80645,,0 / 22,255,2014-12-14 14:44:50:291
-0.5574,-11.2259,1.627,0.8539,-9.6917,1.2295,-1.5129,0.1054,0.2654,-14.13,57.15,-3.24,75.41,79.51,-36.8,0.0,63.552,35.17821,126.90864,,NaN,,125.80645,,0 / 22,304,2014-12-14 14:44:50:340
-0.9597,-8.3138,2.5274,0.7624,-9.6921,1.2858,-1.6007,1.4574,0.7183,-16.7,57.15,-8.3,128.12,81.22,-34.78,0.0,63.552,35.17821,126.90864,,NaN,,125.80645,,0 / 22,355,2014-12-14 14:44:50:391
-0.4041,-6.2639,1.5886,0.4623,-9.6749,1.5337,-0.9248,3.697,0.0144,-20.76,53.78,-14.86,133.55,80.89,-22.37,0.0,63.552,35.17821,126.90864,,NaN,,125.80645,,0 / 22,404,2014-12-14 14:44:50:440
-0.8639,-4.2714,0.9947,0.4164,-9.6714,1.5685,-0.8492,4.1307,-0.1498,-23.01,53.84,-16.93,133.55,80.89,-22.37,0.0,63.552,35.17821,126.90864,,NaN,,125.80645,,0 / 22,454,2014-12-14 14:44:50:490
0.1132,-3.371,1.4354,0.2414,-9.6502,1.7277,-1.1283,5.1199,-0.4939,-23.32,52.71,-17.86,128.89,80.47,-14.87,0.0,63.552,35.17821,126.90864,,NaN,,125.80645,,0 / 22,504,2014-12-14 14:44:50:540
