ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3275,-9.5974,-0.4805,0.1269,-9.8015,-0.292,-0.145,-0.0818,-0.1298,-8.32,32.34,2.26,233.47,88.19,-151.83,0.0,67.749,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,3,2014-12-14 14:13:45:397
-0.3083,-9.5591,-0.308,0.1269,-9.8015,-0.292,-0.145,-0.0818,-0.1298,-8.7,34.15,3.14,233.47,88.19,-151.83,0.0,67.749,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,53,2014-12-14 14:13:45:447
-0.0784,-9.6166,-0.308,0.0202,-9.8014,-0.3204,-0.1571,-0.0271,0.0259,-7.26,35.28,3.83,241.33,88.11,-173.84,0.0,67.749,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,103,2014-12-14 14:13:45:497
-0.0784,-9.1759,-0.7487,0.0044,-9.8005,-0.3461,-0.1109,0.334,-0.3558,-7.26,35.28,4.01,241.33,88.11,-173.84,0.0,67.749,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,153,2014-12-14 14:13:45:547
0.4197,-10.3254,0.6499,0.0014,-9.7997,-0.3689,-0.0409,0.3765,-0.2995,-6.51,34.53,4.58,240.97,87.98,-179.28,0.0,67.749,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,204,2014-12-14 14:13:45:598
1.4734,-10.0189,0.4391,0.0558,-9.8034,-0.2452,0.4644,-0.7507,1.1096,-6.51,33.09,2.51,239.49,88.53,-167.19,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,253,2014-12-14 14:13:45:647
1.6458,-10.1721,0.669,0.4205,-9.7976,0.019,1.3352,-0.5322,0.8784,-6.88,33.4,1.51,239.49,88.53,-167.19,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,304,2014-12-14 14:13:45:698
3.7724,-11.4941,2.8531,0.7286,-9.7747,0.3083,2.5625,-1.5165,2.2563,-6.13,32.34,0.45,153.15,87.54,-87.41,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,353,2014-12-14 14:13:45:747
2.6612,-11.6473,3.696,1.1535,-9.7051,0.8072,1.469,-1.3004,2.805,-6.13,32.34,-1.67,162.2,84.0,-63.16,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,404,2014-12-14 14:13:45:798
-1.1704,-9.0226,-2.3771,1.0566,-9.7241,0.7045,-1.955,0.4948,-2.4494,-6.88,31.21,-3.36,157.87,82.56,-56.31,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,453,2014-12-14 14:13:45:847
-1.5153,-10.8427,-1.1319,0.6265,-9.7826,0.2806,-1.9914,-0.6039,-1.2631,-8.32,30.84,-3.24,157.87,82.56,-56.31,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,503,2014-12-14 14:13:45:897
-1.0746,-9.6166,0.305,0.535,-9.7887,0.2574,-1.4947,0.7006,0.0263,-9.07,30.09,-5.99,191.88,85.99,-65.87,0.0,64.583,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,553,2014-12-14 14:13:45:947
-0.1742,-7.2984,0.4583,0.2124,-9.7982,0.3469,-0.7,2.6532,0.3881,-8.7,28.65,-5.92,173.11,87.43,-50.25,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,603,2014-12-14 14:13:45:997
0.5538,-7.5666,0.7457,0.2247,-9.7967,0.3795,0.2223,1.9599,0.2293,-8.32,28.96,-5.55,173.11,87.43,-50.25,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,653,2014-12-14 14:13:46:047
0.6879,-7.6049,2.2975,0.2519,-9.7945,0.4175,0.3235,1.8227,0.44,-9.07,29.34,-6.42,150.93,87.42,-30.63,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,703,2014-12-14 14:13:46:097
1.1286,-8.4287,3.5619,0.4552,-9.7431,1.0173,0.7272,0.9376,2.2457,-7.95,27.53,-4.67,131.16,83.47,-24.11,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,753,2014-12-14 14:13:46:147
1.5309,-10.0764,4.4049,0.5083,-9.7169,1.2225,0.6847,0.351,2.6478,-8.32,26.78,-5.67,131.16,83.47,-24.11,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,803,2014-12-14 14:13:46:197
1.2435,-8.6012,2.7573,0.6438,-9.6456,1.6488,1.0501,-1.0419,2.8579,-8.32,26.4,-2.36,124.83,79.6,-21.33,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,853,2014-12-14 14:13:46:247
0.6879,-8.8311,4.4624,0.7971,-9.5125,2.2465,-0.1854,0.2773,2.2221,-8.32,24.21,-1.92,85.05,77.35,-21.49,0.0,65.841,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,903,2014-12-14 14:13:46:297
-7.3203,-17.7971,3.7918,0.6113,-9.6025,1.8942,-2.6016,1.3967,-4.8612,-6.88,24.59,-0.36,65.98,78.29,-17.89,0.0,65.037,35.178043,126.90887,,47.4644089,,20.0,,0 / 20,953,2014-12-14 14:13:46:347
