ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.6304,-9.6166,0.9373,0.107,-9.782,0.6873,0.5075,-0.0249,0.3058,14.93,34.46,-28.11,216.92,86.29,-5.75,0.0,69.629,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,4,2014-12-14 14:17:21:976
1.4351,-9.8656,1.9526,0.2514,-9.7715,0.7903,1.0062,-0.2179,0.7792,16.74,33.71,-28.49,223.07,85.93,-8.85,0.0,69.629,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,54,2014-12-14 14:17:22:026
1.4926,-9.789,1.8952,0.477,-9.7436,1.003,1.0394,-0.1013,1.0521,18.24,33.71,-28.55,223.07,85.93,-8.85,0.0,69.629,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,104,2014-12-14 14:17:22:076
1.9715,-10.1338,2.719,0.6184,-9.71,1.2262,0.9893,-0.2371,1.587,18.24,34.09,-28.24,242.89,83.5,-25.44,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,154,2014-12-14 14:17:22:126
3.0252,-10.517,2.24,0.7916,-9.6746,1.3948,1.4933,-0.3999,1.0982,17.87,35.96,-24.99,256.35,80.59,-29.58,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,204,2014-12-14 14:17:22:176
3.6191,-11.8772,1.8952,1.2286,-9.6225,1.4379,2.2995,-1.5615,0.1307,16.74,34.46,-28.05,263.59,78.88,-40.51,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,254,2014-12-14 14:17:22:226
-1.3812,-10.3446,0.1326,1.128,-9.6457,1.3631,-2.5555,-0.1992,-1.3557,16.74,35.59,-27.61,263.59,78.88,-40.51,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,304,2014-12-14 14:17:22:276
1.0519,-10.4978,0.3817,0.8538,-9.668,1.4042,-1.8261,0.4897,0.1289,18.24,35.21,-30.61,260.07,79.61,-39.61,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,355,2014-12-14 14:17:22:327
0.5921,-9.9231,0.1709,0.8538,-9.668,1.4042,-1.8261,0.4897,0.1289,16.43,32.96,-31.49,260.07,79.61,-39.61,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,404,2014-12-14 14:17:22:376
0.1898,-7.3559,-0.0781,0.8145,-9.6981,1.2054,-0.2916,0.5522,-1.0878,17.87,31.9,-30.86,251.67,81.47,-34.05,0.0,52.199,35.178024,126.90889,,155.50996414713632,,68.06774,,0 / 20,454,2014-12-14 14:17:22:426
