sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.5405;-9.235;2.7713;8;2014-12-10 14:45:17:175
0.0473;-9.2997;2.575;57;2014-12-10 14:45:17:224
-0.1203;-9.2494;2.3547;107;2014-12-10 14:45:17:274
0.3633;-9.235;2.1751;157;2014-12-10 14:45:17:324
0.0856;-9.5415;2.0099;208;2014-12-10 14:45:17:375
0.4567;-9.1967;1.2869;257;2014-12-10 14:45:17:424
0.3537;-9.7594;1.6149;307;2014-12-10 14:45:17:474
0.6746;-9.3093;1.3515;357;2014-12-10 14:45:17:524
0.6674;-9.5104;1.3731;407;2014-12-10 14:45:17:574
0.5405;-9.6899;1.3467;457;2014-12-10 14:45:17:624
0.6961;-9.7115;0.4489;508;2014-12-10 14:45:17:675
0.4447;-9.7833;0.4561;558;2014-12-10 14:45:17:725
0.3968;-10.3795;-0.401;608;2014-12-10 14:45:17:775
1.5796;-9.5367;0.255;658;2014-12-10 14:45:17:825
0.1359;-9.8384;0.7314;707;2014-12-10 14:45:17:874
0.9499;-8.9621;0.2382;757;2014-12-10 14:45:17:924
0.2556;-9.4242;0.1281;807;2014-12-10 14:45:17:974
0.2987;-9.4816;0.3579;858;2014-12-10 14:45:18:025
0.574;-9.2757;-0.2981;908;2014-12-10 14:45:18:075
0.7081;-9.5606;0.0778;958;2014-12-10 14:45:18:125
0.6003;-9.3954;0.1736;1008;2014-12-10 14:45:18:175
0.2556;-9.0794;0.0299;1057;2014-12-10 14:45:18:224
1.0792;-8.6652;0.2598;1107;2014-12-10 14:45:18:274
-1.0181;-9.3883;4.4592;1158;2014-12-10 14:45:18:325
2.645;-9.5271;2.3451;1207;2014-12-10 14:45:18:374
1.9435;-9.0148;6.5326;1257;2014-12-10 14:45:18:424
-2.1266;-3.9989;1.2294;1307;2014-12-10 14:45:18:474
-1.5185;-4.5448;2.2996;1358;2014-12-10 14:45:18:525
-1.3629;-2.311;-6.0226;1408;2014-12-10 14:45:18:575
5.7646;-7.2383;2.0315;1457;2014-12-10 14:45:18:624
-1.3821;-10.6021;3.6236;1507;2014-12-10 14:45:18:674
-3.793;-0.6614;-5.3379;1558;2014-12-10 14:45:18:725
5.1493;-12.8838;7.677;1607;2014-12-10 14:45:18:774
0.0186;-7.3245;5.8407;1658;2014-12-10 14:45:18:825
-2.3996;-16.9851;1.069;1707;2014-12-10 14:45:18:874
-2.9479;-17.4424;-11.1678;1757;2014-12-10 14:45:18:924
1.2923;7.0599;-2.144;1808;2014-12-10 14:45:18:975
6.7702;-4.2407;-0.1999;1857;2014-12-10 14:45:19:024
5.5396;-15.6299;-0.5255;1907;2014-12-10 14:45:19:074
5.8676;-4.2479;-4.1216;1957;2014-12-10 14:45:19:124
9.2626;-5.7802;-5.199;2007;2014-12-10 14:45:19:174
3.3752;-4.2096;2.63;2058;2014-12-10 14:45:19:225
10.1125;-0.3549;-8.6874;2107;2014-12-10 14:45:19:274
11.2426;-4.5017;-5.527;2157;2014-12-10 14:45:19:324
9.4469;-1.6837;-4.7896;2207;2014-12-10 14:45:19:374
6.7199;-0.1897;-8.9938;2257;2014-12-10 14:45:19:424
-0.7715;0.3035;-3.7481;2307;2014-12-10 14:45:19:474
4.8429;2.0105;-8.9986;2358;2014-12-10 14:45:19:525
6.6888;-0.0054;-8.2636;2408;2014-12-10 14:45:19:575
7.5747;-2.0931;-6.0202;2458;2014-12-10 14:45:19:625
7.8691;-1.0852;-5.2852;2507;2014-12-10 14:45:19:674
7.5842;-2.4092;-5.1727;2557;2014-12-10 14:45:19:724
7.4765;-2.8138;-5.788;2607;2014-12-10 14:45:19:774
7.3879;-2.8329;-5.8023;2658;2014-12-10 14:45:19:825
7.51;-2.9574;-5.4624;2707;2014-12-10 14:45:19:874
7.5411;-2.3469;-5.7569;2758;2014-12-10 14:45:19:925
7.5052;-2.3589;-5.7401;2808;2014-12-10 14:45:19:975
7.3161;-2.0692;-5.5964;2857;2014-12-10 14:45:20:024
7.3065;-2.1482;-5.4217;2907;2014-12-10 14:45:20:074
7.5244;-2.414;-5.9843;2957;2014-12-10 14:45:20:124
7.3783;-2.3996;-5.527;3007;2014-12-10 14:45:20:174
7.5028;-2.6653;-5.8885;3058;2014-12-10 14:45:20:225
7.3496;-2.4547;-5.9508;3107;2014-12-10 14:45:20:274
7.3352;-2.4044;-5.6826;3157;2014-12-10 14:45:20:324
7.4119;-2.2631;-5.5845;3207;2014-12-10 14:45:20:374
7.2921;-2.232;-5.527;3258;2014-12-10 14:45:20:425
7.4526;-2.3349;-5.5462;3307;2014-12-10 14:45:20:474
7.4573;-2.3086;-5.5845;3358;2014-12-10 14:45:20:525
7.5627;-2.6773;-5.7305;3407;2014-12-10 14:45:20:574
7.2945;-2.4044;-5.843;3457;2014-12-10 14:45:20:624
7.3544;-2.4163;-5.6371;3507;2014-12-10 14:45:20:674
7.364;-2.2559;-5.8454;3558;2014-12-10 14:45:20:725
7.3855;-2.2535;-5.6419;3607;2014-12-10 14:45:20:774
7.2874;-2.469;-5.709;3657;2014-12-10 14:45:20:824
7.3065;-2.5193;-5.879;3708;2014-12-10 14:45:20:875
7.2826;-2.3828;-5.7688;3757;2014-12-10 14:45:20:924
7.3089;-2.378;-5.8119;3808;2014-12-10 14:45:20:975
7.3735;-2.5073;-5.8526;3857;2014-12-10 14:45:21:024
7.3065;-2.4666;-5.8071;3907;2014-12-10 14:45:21:074
7.3711;-2.4427;-5.6467;3957;2014-12-10 14:45:21:124
7.3089;-2.4379;-5.8095;4007;2014-12-10 14:45:21:174
7.3807;-2.3948;-5.6156;4057;2014-12-10 14:45:21:224
7.4119;-2.6318;-5.7473;4107;2014-12-10 14:45:21:274
