ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.19171,-8.97646,4.31315,0.22505,-9.14854,3.52501,0.14066,0.26306,0.77138,-0.20458,0.03993,0.05178,105.0,-4.2,34.2,-0.66,19.525,68.889,-3.653,1.97,32.5585,,,,NaN,,,,0 / 0,4,2014-12-14 13:39:18:412
1.34734,-8.6724,4.63637,0.25259,-9.16261,3.48611,1.09475,0.49021,1.15026,-0.2163,-0.03038,0.00598,105.0,-3.9,33.72,0.06,19.525,68.889,-3.653,1.97,32.5585,,,,NaN,,,,0 / 0,54,2014-12-14 13:39:18:462
0.04729,-8.3013,4.35386,0.29254,-9.17772,3.44301,-0.24526,0.87643,0.91084,-0.27595,0.12728,0.03261,105.0,-3.72,33.48,1.14,17.81,69.198,-5.051,1.97,28.9723,,,,NaN,,,,0 / 0,104,2014-12-14 13:39:18:512
-0.1227,-8.2989,4.10007,0.2469,-9.19673,3.39543,-0.3696,0.89783,0.70464,-0.31004,0.07402,0.07841,115.0,-4.02,33.78,1.14,18.047,69.687,-4.159,1.97,28.9723,,,,NaN,,,,0 / 0,154,2014-12-14 13:39:18:562
-0.72604,-8.51677,3.87262,0.19632,-9.23084,3.30535,-0.92237,0.71407,0.56728,-0.45066,-0.10921,0.08054,115.0,-4.38,33.78,1.14,18.047,69.687,-4.159,1.97,28.9723,,,,NaN,,,,0 / 0,204,2014-12-14 13:39:18:612
0.01616,-8.3396,4.36104,0.16505,-9.27035,3.19446,-0.14889,0.93075,1.16657,-0.48262,-0.15075,0.07628,115.0,-4.5,33.6,0.84,18.379,70.267,-3.399,1.97,28.9723,,,,NaN,,,,0 / 0,253,2014-12-14 13:39:18:661
0.13108,-8.03314,3.39139,0.07916,-9.38347,2.8488,0.05192,1.35033,0.54259,-0.76704,-0.18164,0.1679,115.0,-4.02,33.18,3.0,18.285,73.106,-1.592,1.97,28.9723,,,,NaN,,,,0 / 0,304,2014-12-14 13:39:18:712
0.65541,-8.52874,3.57574,-0.03247,-9.4987,2.43805,0.73771,0.68459,1.18752,-0.84054,-0.12412,0.28081,129.0,-4.32,32.4,3.72,18.285,73.106,-1.592,1.97,28.9723,,,,NaN,,,,0 / 0,354,2014-12-14 13:39:18:762
1.45029,-8.35397,3.85347,-0.02858,-9.59446,2.02924,1.43024,0.10071,1.3846,-0.8448,-0.37765,0.15405,129.0,-3.84,31.62,4.2,18.373,75.603,0.763,1.97,28.9723,,,,NaN,,,,0 / 0,403,2014-12-14 13:39:18:811
-1.1546,-7.43699,4.27724,-0.07602,-9.63187,1.84174,0.40058,1.89052,1.72248,-1.02697,0.16989,0.31171,129.0,-3.48,30.3,5.34,14.664,79.166,2.363,1.97,41.7937,,,,NaN,,,,0 / 0,454,2014-12-14 13:39:18:862
