ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.20488,-6.25904,4.04022,0.5592,-9.3956,2.75348,-2.92781,2.95235,1.61728,-0.83202,0.77922,0.19453,97.0,29.82,37.98,-18.0,270.199,72.473,-11.661,1.97,53.9153,,,,NaN,,,,0 / 0,4,2014-12-14 13:39:32:198
-3.47698,-7.69077,4.09049,0.32845,-9.44692,2.61148,-3.80543,1.75615,1.47902,-0.8757,0.14859,0.26484,113.0,29.94,38.88,-17.28,266.099,74.431,-7.169,1.97,53.9153,,,,NaN,,,,0 / 0,54,2014-12-14 13:39:32:248
1.93631,-9.34996,5.369,0.05492,-9.55705,2.19788,1.88139,0.2071,3.17112,-0.73082,-0.34463,0.14446,113.0,30.18,39.12,-15.48,260.393,77.045,-1.431,1.97,43.4541,,,,NaN,,,,0 / 0,104,2014-12-14 13:39:32:298
2.87244,-9.26377,4.35864,0.15966,-9.58519,2.0662,2.71278,0.32142,2.29245,-0.96731,0.14539,-0.02172,113.0,30.54,39.3,-14.58,260.393,77.045,-1.431,1.97,43.4541,,,,NaN,,,,0 / 0,154,2014-12-14 13:39:32:348
-2.50733,-7.06349,-1.68911,0.05282,-9.71836,1.31232,-2.56015,2.65487,-3.00143,-1.34441,-0.02398,0.13381,127.0,31.14,40.2,-13.8,264.329,79.169,-5.596,1.97,43.4541,,,,NaN,,,,0 / 0,204,2014-12-14 13:39:32:398
-2.17214,-9.74021,-6.61159,-0.03187,-9.7869,0.62174,-2.14027,0.04669,-7.23333,-2.96894,1.16379,0.32769,127.0,30.96,40.8,-12.42,264.329,79.169,-5.596,1.97,43.4541,,,,NaN,,,,0 / 0,253,2014-12-14 13:39:32:447
3.20524,-19.51813,-4.75848,-0.28596,-9.6223,-1.87137,3.4912,-9.89583,-2.88711,-4.18441,2.36327,0.72396,127.0,30.6,41.04,-9.96,103.485,88.69,145.387,1.97,43.4541,,,,NaN,,,,0 / 0,304,2014-12-14 13:39:32:498
0.91638,-18.67058,6.49906,0.10534,-8.92618,-4.06012,0.81104,-9.7444,10.55918,-3.79772,1.66659,-0.42226,59.0,31.14,41.04,-8.34,60.623,72.68,175.935,1.97,43.4541,,,,NaN,,,,0 / 0,354,2014-12-14 13:39:32:548
-9.98442,-10.81042,17.02158,1.01634,-8.19864,-5.28415,-2.59666,-2.37206,17.91461,-2.29037,3.18992,-0.21027,59.0,31.92,41.16,-3.12,60.623,72.68,175.935,1.97,43.4541,,,,NaN,,,,0 / 0,403,2014-12-14 13:39:32:597
-7.89668,-6.12018,13.00411,1.43488,-8.21121,-5.16624,-7.79163,3.96046,15.82867,1.2314,1.60054,0.00704,59.0,32.28,39.0,11.94,55.345,56.722,-169.113,1.97,56.0767,,,,NaN,,,,0 / 0,454,2014-12-14 13:39:32:648
-7.63571,-9.44333,0.46567,1.57284,-8.83445,-3.95612,-9.20855,-0.60888,4.42179,1.56908,0.98269,-0.06859,59.0,30.72,36.06,17.94,70.108,58.513,-161.354,1.97,56.0767,,,,NaN,,,,0 / 0,503,2014-12-14 13:39:32:697
0.71287,-16.03696,-4.48314,1.22419,-9.15393,-3.29816,-0.51131,-6.88303,-1.18498,2.58535,-2.43681,0.89654,51.0,25.08,31.98,24.78,94.054,68.977,-159.636,1.97,56.0767,,,,NaN,,,,0 / 0,554,2014-12-14 13:39:32:748
-1.70527,-19.51813,2.57018,0.66843,-9.72929,-1.03295,-2.3737,-9.78884,3.60312,3.74755,-3.91966,0.00385,51.0,23.22,31.74,25.38,94.054,68.977,-159.636,1.97,56.0767,,,,NaN,,,,0 / 0,604,2014-12-14 13:39:32:798
-0.27593,-19.51813,-0.42497,0.71392,-9.74814,0.79787,-0.98985,-9.76999,-1.22284,5.79179,0.02928,0.65579,51.0,23.04,35.28,18.84,97.221,82.793,-147.093,1.97,56.0767,,,,NaN,,,,0 / 0,653,2014-12-14 13:39:32:847
2.54444,-19.51813,-5.06733,0.25618,-8.97377,3.94654,-0.00539,-10.54436,-11.0226,5.75131,0.69507,0.90293,51.0,24.36,36.78,12.72,324.802,78.337,-17.769,1.97,56.0767,,,,NaN,,,,0 / 0,704,2014-12-14 13:39:32:898
-1.03968,-4.25031,-9.03691,-0.03846,-8.38539,5.08469,0.81597,-2.5591,-13.26926,3.1755,-0.8698,1.09574,51.0,25.26,37.98,2.46,324.802,78.337,-17.769,1.97,56.0767,,,,NaN,,,,0 / 0,754,2014-12-14 13:39:32:948
-1.43951,4.65134,-9.26676,-0.01826,-7.52049,6.29376,-1.42126,12.17182,-15.56051,1.59039,-1.84559,0.86245,69.0,25.92,33.6,-10.98,300.545,53.386,1.78,1.97,62.0203,,,,NaN,,,,0 / 0,804,2014-12-14 13:39:32:998
3.21003,5.8221,-13.07354,0.42572,-7.45779,6.35376,2.78431,13.27989,-19.4273,-1.26878,-1.78593,-0.19536,69.0,27.84,29.16,-15.6,285.628,49.507,-3.833,1.97,62.0203,,,,NaN,,,,0 / 0,854,2014-12-14 13:39:33:048
5.45579,-1.33177,14.0408,0.78799,-8.05709,5.53465,4.6678,6.72531,8.50615,-2.219,1.81573,-0.35621,69.0,29.94,24.96,-18.36,285.628,49.507,-3.833,1.97,62.0203,,,,NaN,,,,0 / 0,903,2014-12-14 13:39:33:097
-7.58543,-19.51813,18.94891,0.60858,-7.91314,5.7603,-8.19401,-11.60499,13.18861,-0.22056,-0.8517,0.75912,89.0,29.4,18.48,-23.34,266.446,55.245,-8.103,1.97,62.0203,,,,NaN,,,,0 / 0,954,2014-12-14 13:39:33:148
-2.93589,-17.48785,-19.40141,0.39325,-8.06726,5.56188,-6.02022,-5.55395,-21.97533,-1.31778,0.77283,-0.26673,89.0,28.86,19.98,-23.04,262.374,53.796,-6.031,1.97,62.0203,,,,NaN,,,,0 / 0,1004,2014-12-14 13:39:33:198
2.53726,-19.51813,-0.88226,0.38502,-8.82922,4.25061,8.44181,-10.68891,-6.53348,-3.52181,-0.83146,0.50878,89.0,28.86,22.2,-21.0,262.374,53.796,-6.031,1.97,62.0203,,,,NaN,,,,0 / 0,1054,2014-12-14 13:39:33:248
-5.78499,-16.30751,-7.22211,0.66454,-9.48747,2.39121,-7.52453,-9.05382,-7.78415,-4.83422,1.01039,-0.27419,141.0,30.78,24.48,-16.86,261.733,64.201,-5.176,1.97,62.0203,,,,NaN,,,,0 / 0,1104,2014-12-14 13:39:33:298
2.15418,-19.51813,13.15973,0.57865,-9.76101,0.74864,-0.09801,-9.75712,7.80704,-4.73302,1.57817,-0.27632,141.0,29.82,25.92,-14.82,285.225,84.463,-37.702,1.97,67.2374,,,,NaN,,,,0 / 0,1154,2014-12-14 13:39:33:348
1.25875,-7.78894,10.17895,0.75208,-9.68544,-1.3409,0.50667,1.89651,11.51985,-3.6571,1.24901,-0.40096,141.0,28.5,27.78,-13.02,285.225,84.463,-37.702,1.97,67.2374,,,,NaN,,,,0 / 0,1203,2014-12-14 13:39:33:397
-6.88393,-2.72041,12.0153,0.81672,-9.61706,-1.73729,-5.62009,6.20951,10.34804,-1.40407,0.74407,-0.42759,141.0,26.1,31.86,-3.6,36.9,80.98,-150.713,1.97,67.2374,,,,NaN,,,,0 / 0,1253,2014-12-14 13:39:33:447
