sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.8015;-8.0523;3.8199;1.2691;-9.2522;2.9928;-0.1157;1.0587;1.0044;-0.425;-0.2718;0.2006;27.0;-70.14;3.54;-61.5;152.32;70.64;-22.98;2.0;62.114;;;;;;0 / 0;87.3;16.0;3.617;10;2014-11-21 15:46:50:613
-7.006;-18.2396;-9.4176;0.5088;-8.9355;-4.0089;6.6756;-10.5827;12.8423;-2.3883;1.8502;0.2166;27.0;-67.92;3.66;-59.34;247.67;85.27;-116.46;2.0;71.389;;;;;;0 / 0;87.3;16.0;3.617;512;2014-11-21 15:46:51:115
2.6426;-6.1585;10.5668;0.2821;-8.7924;4.3343;3.8976;21.4188;-17.2378;-1.3827;-0.3676;-0.6378;27.0;-66.66;-3.24;-43.26;124.3;63.71;-3.72;2.0;65.47;;;;;;0 / 0;87.3;16.0;3.617;1013;2014-11-21 15:46:51:616
3.957;-2.8282;7.6243;1.1666;-9.6816;-1.0388;-5.0099;-9.8366;2.5459;-0.6828;-0.5232;-0.1169;17.0;-69.96;1.62;-67.8;285.57;72.87;-151.74;2.0;62.58;;;;;;0 / 0;87.3;16.0;3.617;1513;2014-11-21 15:46:52:116
-0.7548;-19.5181;3.5614;0.6662;-9.448;2.5425;-1.421;-10.0702;1.0189;-3.0829;0.0553;-0.3789;27.0;-74.82;1.98;-57.72;141.15;74.45;-14.68;2.0;66.704;;;;;;0 / 0;87.3;16.0;3.617;2021;2014-11-21 15:46:52:624
-0.173;-9.3859;-13.6936;1.1898;-8.784;4.1949;-1.3627;-0.6018;-17.8886;4.8853;-0.6446;-0.3044;35.0;-84.6;2.88;-55.26;135.03;63.6;-15.83;2.0;67.411;;;;;;0 / 0;87.3;16.0;3.617;2526;2014-11-21 15:46:53:129
-8.3659;-3.8194;6.4464;0.3123;-9.7902;-0.4763;6.3606;6.0141;14.2156;-1.6448;-0.0332;-0.0721;19.0;-84.54;10.14;-61.38;272.73;86.67;-146.75;2.0;67.338;;;;;;0 / 0;87.3;16.0;3.617;3027;2014-11-21 15:46:53:630
-3.702;3.0305;-19.4014;-1.0015;-7.8112;5.8441;7.2812;6.4268;-18.4557;-0.8213;0.2129;0.436;43.0;-84.6;3.12;-54.84;107.83;52.8;9.72;2.0;69.269;;;;;;0 / 0;87.3;16.0;3.617;3527;2014-11-21 15:46:54:130
1.1055;-11.1432;-11.6538;-0.2818;-8.2326;5.3213;1.3993;-4.7995;-19.1265;3.4813;-1.4031;2.101;77.0;-95.16;-2.7;-59.34;109.45;79.36;15.38;2.0;69.638;;;;;;0 / 0;87.3;16.0;3.617;4042;2014-11-21 15:46:54:645
0.1478;-7.9446;2.7497;0.4627;-6.9921;6.8606;0.1634;2.1774;-3.572;-2.3116;2.6055;-0.7603;123.0;-91.62;11.22;-72.12;112.94;32.69;-7.41;2.0;60.905;;;;;;0 / 0;87.3;16.0;3.617;4542;2014-11-21 15:46:55:145
2.2069;2.8677;-7.1239;-0.9131;-3.4952;9.117;0.5869;-5.4501;6.9134;-0.0927;-0.8321;0.2826;123.0;-94.92;14.76;-79.14;94.16;22.39;12.11;2.0;67.01;;;;;;0 / 0;87.3;16.0;3.617;5051;2014-11-21 15:46:55:654
0.064;-8.3947;4.7704;-0.3976;-6.2936;7.5102;0.1655;-2.1213;-2.5778;-0.0245;0.0638;0.1388;123.0;-89.22;16.98;-81.48;110.01;37.77;2.55;2.0;53.337;;;;;;0 / 0;87.3;16.0;3.617;5571;2014-11-21 15:46:56:174
-3.0867;-8.3635;5.7305;0.3825;-7.3023;6.5345;-1.602;-1.3252;-0.9988;-0.3292;1.1844;0.2443;127.0;-88.5;17.1;-82.08;114.26;45.63;4.04;2.0;58.959;;;;;;0 / 0;87.3;16.0;3.617;6086;2014-11-21 15:46:56:689
