sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.7608;-9.9054;2.5678;2.1379;-9.2982;2.2682;-1.3771;-0.6072;0.2996;-0.4112;0.2641;0.469;9.0;-15.6;19.44;-28.92;198.69;71.47;-43.31;2.0;62.534;;;;;;0 / 0;91.0;8.0;3.572;13;2014-11-21 16:39:44:238
9.6432;-7.3963;7.0282;2.3574;-9.4867;0.7856;7.2859;2.0904;6.2426;1.4125;1.0406;-1.6359;9.0;-7.2;24.96;-14.82;248.73;75.32;-71.57;2.0;72.595;;;;;;0 / 0;91.0;8.0;3.572;514;2014-11-21 16:39:44:739
7.3568;-18.582;11.4359;3.056;-9.07;2.1368;2.1555;-8.9015;9.6103;-0.1406;-2.201;0.3018;9.0;1.02;43.2;-36.42;262.42;54.8;-22.15;2.0;64.338;;;;;;0 / 0;91.0;8.0;3.572;1030;2014-11-21 16:39:45:255
7.0096;-12.2086;8.3378;3.6775;-8.6998;2.6383;4.522;-9.4513;8.5606;-0.1683;0.0904;-0.2862;9.0;-3.48;45.72;-12.6;309.77;69.24;-67.15;2.0;70.574;;;;;;0 / 0;91.0;8.0;3.572;1547;2014-11-21 16:39:45:772
5.5085;-12.1775;2.8311;3.2944;-8.8808;2.5392;1.8521;-8.0813;3.424;0.2365;0.5943;-0.3065;15.0;-2.76;54.48;-41.64;273.21;56.81;-30.98;2.0;61.994;;;;;;0 / 0;91.0;8.0;3.572;2050;2014-11-21 16:39:46:275
4.7375;-9.077;5.1822;3.3305;-9.0661;1.6979;1.2541;-0.1232;3.216;0.4005;0.2651;-0.5632;11.0;-11.76;55.68;-24.96;276.52;69.82;-68.07;2.0;66.44;;;;;;0 / 0;91.0;8.0;3.572;2557;2014-11-21 16:39:46:782
5.6761;-6.4769;5.4911;3.535;-8.6788;2.8901;4.6165;3.3459;0.8779;-0.8618;-0.5871;0.2421;19.0;-11.94;48.18;-49.62;241.71;59.51;-43.72;2.0;73.108;;;;;;0 / 0;91.0;8.0;3.572;3069;2014-11-21 16:39:47:294
0.1143;-5.9143;1.3108;3.2718;-9.1806;1.0874;-3.8268;2.1174;1.6809;-0.0213;0.5314;-0.429;13.0;-19.8;45.12;-32.34;247.19;71.21;-76.29;2.0;70.935;;;;;;0 / 0;91.0;8.0;3.572;3582;2014-11-21 16:39:47:807
3.155;-7.2455;3.8702;4.0315;-8.0252;3.9386;0.9469;1.3319;2.4819;-1.502;-0.0907;0.4935;13.0;-28.2;40.86;-35.4;203.07;54.92;-45.67;2.0;71.458;;;;;;0 / 0;91.0;8.0;3.572;4099;2014-11-21 16:39:48:324
3.3585;-8.7227;3.4608;3.1421;-9.0311;2.1766;-0.6541;0.863;1.006;-0.1673;-0.2771;0.0493;13.0;-28.98;37.62;-41.64;210.37;67.14;-54.41;2.0;55.441;;;;;;0 / 0;91.0;8.0;3.572;4604;2014-11-21 16:39:48:829
2.8006;-8.8448;2.5486;3.3645;-8.843;2.5796;-0.0711;-0.1751;-0.1667;-0.0043;-0.0055;-0.0423;13.0;-31.2;38.4;-35.82;200.83;64.39;-52.52;2.0;59.479;;;;;;0 / 0;91.0;8.0;3.572;5120;2014-11-21 16:39:49:345
3.6937;-8.8208;1.9261;3.5995;-8.8648;2.1518;-0.5971;-0.1407;-0.7037;-0.0021;-0.0981;-0.0263;13.0;-32.58;38.22;-38.28;210.17;64.68;-59.13;2.0;60.344;;;;;;0 / 0;91.0;8.0;3.572;5629;2014-11-21 16:39:49:854
