ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.31544,-8.66043,2.33554,0.40387,-9.45725,2.56314,-0.08844,0.79682,-0.2276,-0.3207,0.10918,0.05498,1327.0,-10.26,44.28,-40.38,172.559,74.657,-8.954,1.97,41.9145,,,,NaN,,,,0 / 0,4,2014-12-14 13:59:13:937
-1.11151,-9.3715,1.55025,0.35045,-9.50558,2.38597,-1.46196,0.13408,-0.83573,-0.45279,-0.14009,0.12849,1327.0,-10.32,44.34,-40.14,172.559,74.657,-8.954,1.97,41.9145,,,,NaN,,,,0 / 0,54,2014-12-14 13:59:13:987
2.37445,-8.93097,1.84952,0.38876,-9.54553,2.21404,1.98569,0.61456,-0.36452,-0.23548,-0.16673,-0.09096,1327.0,-10.14,44.34,-39.72,170.891,76.573,-7.422,1.97,41.9145,,,,NaN,,,,0 / 0,104,2014-12-14 13:59:14:037
-0.06524,-8.82084,2.15598,0.43066,-9.56873,2.10361,-0.4959,0.74789,0.05237,-0.47516,0.35951,0.00705,1327.0,-9.42,44.82,-39.06,178.047,77.352,-11.57,1.97,41.9145,,,,NaN,,,,0 / 0,153,2014-12-14 13:59:14:086
-1.42754,-8.7538,3.50152,0.23837,-9.61332,1.92299,-1.28524,0.9912,1.33432,-0.41764,0.55233,-0.04515,1327.0,-9.9,45.3,-38.52,178.047,77.352,-11.57,1.97,41.9145,,,,NaN,,,,0 / 0,203,2014-12-14 13:59:14:136
0.79906,-8.10737,3.5087,0.23074,-9.6214,1.88349,-0.07811,1.24109,1.66592,-0.27702,0.12303,-0.14529,1299.0,-10.92,45.3,-37.56,168.015,78.604,-7.066,1.97,41.9145,,,,NaN,,,,0 / 0,253,2014-12-14 13:59:14:186
2.23319,-7.80809,2.97958,0.40986,-9.62708,1.82304,2.26073,1.87286,0.61217,-0.2962,0.49267,-0.19961,1299.0,-10.92,46.08,-36.12,174.234,79.016,-12.671,1.97,41.9145,,,,NaN,,,,0 / 0,305,2014-12-14 13:59:14:238
1.59155,-7.87273,2.45047,0.64269,-9.63442,1.71365,1.41378,1.70572,1.04776,-0.25678,0.55552,-0.41054,1299.0,-9.9,46.98,-35.94,174.234,79.016,-12.671,1.97,49.5855,,,,NaN,,,,0 / 0,353,2014-12-14 13:59:14:286
-1.54007,-7.31488,0.8248,0.71901,-9.63606,1.67355,-2.14416,2.47994,-0.95693,-0.12363,0.37975,-0.42119,1177.0,-9.0,46.26,-36.24,186.728,79.244,-20.558,1.97,49.5855,,,,NaN,,,,0 / 0,404,2014-12-14 13:59:14:337
-1.50655,-7.86076,0.8248,0.70599,-9.65581,1.56117,-1.7337,1.80702,0.0202,-0.23868,0.12516,-0.19642,1177.0,-9.12,46.62,-35.46,192.705,79.518,-23.936,1.97,49.5855,,,,NaN,,,,0 / 0,453,2014-12-14 13:59:14:386
1.04806,-7.6812,3.70263,0.74714,-9.66255,1.49937,-0.14679,2.14895,0.47465,-0.34946,0.28495,-0.2582,1177.0,-9.0,47.22,-35.1,192.705,79.518,-23.936,1.97,49.5855,,,,NaN,,,,0 / 0,504,2014-12-14 13:59:14:437
1.22044,-16.46552,18.08221,0.98641,-9.56693,1.91626,2.21883,-1.51164,14.30805,1.84392,0.9795,-0.75994,1117.0,-8.52,46.44,-35.34,199.191,79.997,-29.076,1.97,49.5855,,,,NaN,,,,0 / 0,553,2014-12-14 13:59:14:486
-0.28311,-19.51813,17.56267,1.1341,-9.36986,2.66295,-1.41722,-10.14827,14.89972,3.05619,1.07857,-0.50321,1117.0,-8.04,46.56,-35.46,197.716,72.834,-23.068,1.97,49.5855,,,,NaN,,,,0 / 0,603,2014-12-14 13:59:14:536
-3.81456,-19.51813,8.4216,0.27054,-8.69544,4.52609,-4.08511,-10.82269,3.89552,2.35631,1.66446,2.15569,1117.0,-7.86,45.48,-35.82,197.716,72.834,-23.068,1.97,49.5855,,,,NaN,,,,0 / 0,653,2014-12-14 13:59:14:586
1.90758,-8.64606,-3.90135,-0.03502,-7.83069,5.90335,1.9426,-0.81538,-9.8047,2.11982,-1.36408,0.1466,1117.0,-7.02,40.98,-40.44,155.753,62.461,-3.421,1.97,47.9824,,,,NaN,,,,0 / 0,703,2014-12-14 13:59:14:636
4.4167,-6.36439,-3.9636,0.0425,-7.63526,6.154,4.37421,1.27087,-10.1176,0.63058,0.04739,0.6281,1117.0,-4.5,36.84,-44.46,161.52,51.131,-0.396,1.97,47.9824,,,,NaN,,,,0 / 0,753,2014-12-14 13:59:14:686
3.52845,-0.53929,-3.36505,0.05956,-7.58139,6.22014,3.4689,7.0421,-9.58519,-0.03308,0.76431,0.07948,1117.0,0.0,30.48,-47.76,161.52,51.131,-0.396,1.97,47.9824,,,,NaN,,,,0 / 0,804,2014-12-14 13:59:14:737
1.1558,1.19411,-3.43688,0.48931,-7.89922,5.79083,0.66649,9.09333,-9.2277,-1.5351,-1.09031,-0.34556,1149.0,0.18,21.9,-51.12,184.178,50.632,-0.549,1.97,47.9824,,,,NaN,,,,0 / 0,853,2014-12-14 13:59:14:786
-0.38367,-2.28946,-1.13126,0.64404,-8.22453,5.30211,-1.02771,5.93508,-6.43337,-2.08265,-0.34143,-0.16766,1149.0,-0.42,20.16,-51.72,190.953,57.0,-6.926,1.97,47.9824,,,,NaN,,,,0 / 0,904,2014-12-14 13:59:14:837
