ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.31663,-9.30447,3.00113,-0.0609,-9.60329,1.98629,-0.25573,0.29883,1.01484,-0.43149,-0.1646,0.03368,543.0,6.84,35.46,23.52,345.717,78.309,1.756,1.97,50.9931,,,,NaN,,,,0 / 0,3,2014-12-14 13:57:21:130
-0.01975,-9.58219,2.51511,-0.05477,-9.6226,1.89052,0.03502,0.0404,0.62459,-0.39207,-0.02505,0.00385,507.0,7.56,35.28,24.18,345.717,78.309,1.756,1.97,50.9931,,,,NaN,,,,0 / 0,53,2014-12-14 13:57:21:180
-0.39325,-9.13927,-0.14964,-0.08829,-9.65941,1.6912,-0.30496,0.52014,-1.84084,-0.55719,0.17416,0.06777,507.0,7.26,34.74,24.18,344.285,80.056,2.988,1.97,50.9931,,,,NaN,,,,0 / 0,104,2014-12-14 13:57:21:231
0.09278,-9.48882,1.26773,-0.15338,-9.73348,1.18618,0.24615,0.24466,0.08155,-0.79368,0.33288,-0.00467,507.0,8.76,33.72,25.26,336.279,82.995,7.368,1.97,50.9931,,,,NaN,,,,0 / 0,153,2014-12-14 13:57:21:280
-0.06524,-8.99083,1.93092,-0.15981,-9.76176,0.92416,0.09457,0.77093,1.00676,-0.85972,0.43941,0.00491,481.0,9.48,33.78,25.8,336.279,82.995,7.368,1.97,47.8501,,,,NaN,,,,0 / 0,204,2014-12-14 13:57:21:331
-1.10193,-8.45452,2.891,-0.28551,-9.79034,0.49051,-0.81642,1.33582,2.40049,-0.78622,0.77177,0.09227,481.0,8.58,31.8,27.84,334.4,84.512,9.811,1.97,47.8501,,,,NaN,,,,0 / 0,253,2014-12-14 13:57:21:380
-1.43712,-8.64845,0.67636,-0.34462,-9.79588,0.30795,-1.0925,1.14742,0.36841,-0.82244,0.62903,0.04113,481.0,8.58,30.6,28.44,296.491,87.299,48.215,1.97,47.8501,,,,NaN,,,,0 / 0,304,2014-12-14 13:57:21:431
1.01215,-11.38742,-1.25336,-0.15892,-9.79199,-0.51296,1.17106,-1.59544,-0.74041,-1.07278,0.80799,-0.33171,511.0,7.2,29.34,30.12,238.683,87.924,109.87,1.97,47.8501,,,,NaN,,,,0 / 0,353,2014-12-14 13:57:21:480
0.63626,-13.0873,-1.35632,-0.00524,-9.76804,-0.87044,0.6415,-3.31926,-0.48587,-1.17824,0.9486,-0.43504,511.0,5.52,27.84,31.5,238.683,87.924,109.87,1.97,47.8501,,,,NaN,,,,0 / 0,403,2014-12-14 13:57:21:530
-5.62458,-19.51813,9.69532,0.16715,-9.72046,-1.28748,-5.79172,-9.79767,10.9828,0.97466,-0.18484,-0.01639,511.0,5.46,26.34,33.0,162.53,83.124,-172.869,1.97,47.8501,,,,NaN,,,,0 / 0,453,2014-12-14 13:57:21:580
-1.7771,-14.74409,7.70334,0.08395,-9.77223,-0.81777,-1.86104,-4.97186,8.52111,2.19759,-0.78245,0.09759,511.0,3.72,24.48,34.8,166.829,85.191,-174.139,1.97,47.8501,,,,NaN,,,,0 / 0,504,2014-12-14 13:57:21:631
-3.72837,-16.3099,3.0969,0.05222,-9.80575,0.13243,0.46193,-3.53534,3.26853,2.28813,-0.5662,0.02622,561.0,3.24,23.52,35.16,166.829,85.191,-174.139,1.97,62.3148,,,,NaN,,,,0 / 0,553,2014-12-14 13:57:21:680
-1.2384,-14.43524,-0.52792,6.0E-4,-9.68709,1.5272,-3.54222,-6.29959,0.48034,3.29907,-1.08818,0.3213,561.0,3.24,22.56,35.58,16.608,89.168,-21.522,1.97,62.3148,,,,NaN,,,,0 / 0,603,2014-12-14 13:57:21:730
2.89639,-15.12716,0.64045,-0.29299,-8.94444,4.01014,3.18938,-6.18273,-3.36969,3.82851,0.1944,0.70053,561.0,7.2,27.3,30.9,346.606,65.794,4.179,1.97,62.3148,,,,NaN,,,,0 / 0,654,2014-12-14 13:57:21:781
-0.29987,-11.36348,-0.37948,-0.59002,-8.4451,4.95001,0.29015,-2.91838,-5.32949,3.74968,0.93049,1.01372,561.0,8.94,29.1,28.68,346.606,65.794,4.179,1.97,62.3148,,,,NaN,,,,0 / 0,703,2014-12-14 13:57:21:830
1.41198,-2.65816,-2.17992,-1.02786,-7.7644,5.90156,0.13422,-0.21847,-6.38878,3.48975,-0.09322,1.24488,561.0,12.3,32.58,23.46,336.617,52.349,9.88,1.97,62.3148,,,,NaN,,,,0 / 0,754,2014-12-14 13:57:21:881
2.24516,-2.30861,-2.67313,-0.39624,-5.94585,7.78849,2.91195,3.10573,-10.43049,2.04206,-1.67727,-0.27845,561.0,15.54,35.46,12.36,334.389,37.323,2.912,1.97,62.3148,,,,NaN,,,,0 / 0,803,2014-12-14 13:57:21:930
3.08792,-1.18573,-3.03226,0.15951,-5.64702,8.01594,2.94038,3.52516,-11.77842,0.99384,-1.07007,-0.38923,561.0,16.56,36.0,8.22,334.389,37.323,2.912,1.97,62.3148,,,,NaN,,,,0 / 0,853,2014-12-14 13:57:21:980
5.07271,-14.58607,19.82459,0.48587,-6.24094,7.54892,4.58684,-8.34514,12.27567,-1.83551,0.62689,-0.48617,561.0,16.8,36.84,-1.8,331.478,35.693,-3.464,1.97,53.7022,,,,NaN,,,,0 / 0,904,2014-12-14 13:57:22:031
0.67696,-4.74112,-13.10466,0.49859,-6.60111,7.23513,0.17837,1.86,-20.33979,-2.58119,-0.07085,-0.25288,561.0,16.92,37.14,-5.16,325.087,42.309,-3.942,1.97,53.7022,,,,NaN,,,,0 / 0,954,2014-12-14 13:57:22:081
-0.26157,-11.40897,4.24851,0.44038,-7.68299,6.07858,-0.70195,-3.72598,-1.83007,-2.24776,0.40958,-0.2891,561.0,16.8,37.8,-4.86,320.046,51.577,-4.144,1.97,53.7022,,,,NaN,,,,0 / 0,1004,2014-12-14 13:57:22:131
1.47184,-9.11772,3.27168,0.33609,-8.12816,5.47644,1.13575,-0.98955,-2.20476,-2.10502,0.99654,-0.3413,561.0,16.8,38.22,-3.18,320.046,51.577,-4.144,1.97,53.7022,,,,NaN,,,,0 / 0,1053,2014-12-14 13:57:22:180
-3.54162,-10.82718,0.72425,0.32711,-8.47607,4.92143,-3.86873,-2.35111,-4.19718,-2.17639,0.56298,-0.46061,561.0,16.8,38.7,-0.18,323.202,55.98,-3.512,1.97,53.7022,,,,NaN,,,,0 / 0,1103,2014-12-14 13:57:22:230
-1.22404,-8.22947,2.83593,0.21174,-9.10335,3.64068,-1.43577,0.87388,-0.80475,-1.56386,-0.12412,-0.22625,553.0,16.44,38.58,6.84,324.536,68.169,-3.328,1.97,53.7022,,,,NaN,,,,0 / 0,1154,2014-12-14 13:57:22:281
