ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.97983,-9.34756,1.55503,0.49246,-9.54897,2.17827,-1.47228,0.20141,-0.62324,-0.64885,0.07067,0.07114,107.0,-8.46,30.6,5.82,39.578,76.837,-12.739,1.97,38.3518,,,,NaN,,,,0 / 0,5,2014-12-14 13:27:26:685
-0.88885,-9.85753,0.14485,0.394,-9.63412,1.78892,-1.28284,-0.22341,-1.64407,-0.91303,-0.00283,0.02533,107.0,-8.76,30.06,6.36,39.578,76.837,-12.739,1.97,38.3518,,,,NaN,,,,0 / 0,54,2014-12-14 13:27:26:734
0.2891,-9.4984,0.46807,0.4326,-9.7435,1.02412,-0.1435,0.24511,-0.55605,-1.1932,0.37001,-0.07374,107.0,-7.98,29.94,7.56,47.789,81.555,-16.652,1.97,41.9228,,,,NaN,,,,0 / 0,105,2014-12-14 13:27:26:785
-0.03172,-8.93336,0.65242,0.435,-9.77822,0.60843,-0.46672,0.84485,0.04399,-1.27842,0.59798,-0.11422,107.0,-7.74,29.64,8.46,69.658,85.626,-35.563,1.97,41.9228,,,,NaN,,,,0 / 0,154,2014-12-14 13:27:26:834
-0.39325,-8.84238,1.89501,0.43589,-9.79513,0.18974,-0.82914,0.95274,1.70527,-1.38921,0.78121,-0.09504,107.0,-7.86,28.98,9.06,69.658,85.626,-35.563,1.97,41.9228,,,,NaN,,,,0 / 0,204,2014-12-14 13:27:26:884
0.5764,-8.98364,0.2885,0.37783,-9.77897,-0.63252,0.19857,0.79532,0.92102,-1.13248,1.1679,0.1308,107.0,-7.98,27.0,11.34,135.998,87.394,-105.193,1.97,41.9228,,,,NaN,,,,0 / 0,255,2014-12-14 13:27:26:935
2.5612,-9.19194,-1.1552,0.46896,-9.74739,-0.97025,2.09223,0.55545,-0.18495,-1.09093,1.49493,-0.05882,107.0,-8.52,26.52,12.36,193.874,83.691,-154.203,1.97,41.9228,,,,NaN,,,,0 / 0,304,2014-12-14 13:27:26:984
-1.14742,-9.94132,-3.87262,0.69686,-9.64489,-1.63165,-1.84428,-0.29643,-2.24097,-1.43288,1.41823,-0.3017,65.0,-10.08,24.9,15.48,194.362,79.577,-156.873,1.97,41.9228,,,,NaN,,,,0 / 0,355,2014-12-14 13:27:27:035
0.11193,-13.29081,1.18154,0.66783,-9.53221,-2.20536,-0.5559,-3.7586,3.3869,-1.05897,0.52661,-0.11954,65.0,-10.74,23.88,16.26,194.362,79.577,-156.873,1.97,41.9228,,,,NaN,,,,0 / 0,405,2014-12-14 13:27:27:085
2.07757,-13.06336,3.77446,0.80864,-9.50707,-2.26566,1.26893,-3.55629,6.04012,-0.6872,1.2691,-0.21968,65.0,-11.64,23.04,16.68,202.056,75.8,-160.358,1.97,50.4004,,,,NaN,,,,0 / 0,454,2014-12-14 13:27:27:134
-4.60704,-17.15505,9.76236,1.04896,-9.53685,-2.02968,-5.656,-7.6182,11.79204,-0.59771,1.15192,-0.30703,65.0,-12.6,22.38,16.8,202.056,75.8,-160.358,1.97,50.4004,,,,NaN,,,,0 / 0,505,2014-12-14 13:27:27:185
