ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.32501,-8.83281,3.46561,0.29164,-9.2705,3.18504,0.06404,0.39594,0.40357,-0.10105,-0.01175,0.0406,121.0,23.64,27.96,-18.3,257.41,70.936,-5.28,1.97,52.4345,,,,NaN,,,,0 / 0,4,2014-12-14 13:28:45:676
0.12151,-8.73704,3.68109,0.28012,-9.27753,3.16558,-0.15862,0.54049,0.5155,-0.12875,-0.06821,0.04699,121.0,23.58,28.14,-17.76,256.996,71.091,-5.057,1.97,52.4345,,,,NaN,,,,0 / 0,54,2014-12-14 13:28:45:726
-0.24002,-8.33721,3.72897,0.21742,-9.28412,3.15092,-0.45744,0.94691,0.57805,-0.23208,-0.23759,0.11517,121.0,23.04,27.84,-17.04,256.996,71.091,-5.057,1.97,52.4345,,,,NaN,,,,0 / 0,104,2014-12-14 13:28:45:776
0.24361,-8.88548,3.41054,0.19228,-9.33634,2.9944,0.05133,0.45086,0.41614,-0.43128,-0.41549,0.11943,121.0,22.62,27.84,-16.62,256.588,71.447,-3.77,1.97,52.4345,,,,NaN,,,,0 / 0,154,2014-12-14 13:28:45:826
1.79266,-8.93815,3.13521,0.22131,-9.36926,2.88756,1.72383,0.46477,1.02711,-0.5964,-0.06821,0.06829,121.0,23.04,27.48,-17.28,254.893,72.824,-4.383,1.97,20.3347,,,,NaN,,,,0 / 0,204,2014-12-14 13:28:45:876
-0.22805,-8.61494,3.03465,0.23942,-9.48194,2.49117,-0.46747,0.867,0.54348,-0.63049,0.18213,0.1141,121.0,23.04,27.24,-17.46,254.893,72.824,-4.383,1.97,20.3347,,,,NaN,,,,0 / 0,253,2014-12-14 13:28:45:925
-1.86329,-9.09856,1.30604,0.12465,-9.53311,2.29664,-1.98794,0.43455,-0.9906,-0.63901,0.13313,0.15991,143.0,23.16,28.5,-17.1,253.876,75.215,-5.49,1.97,20.3347,,,,NaN,,,,0 / 0,303,2014-12-14 13:28:45:975
-0.27833,-10.54945,0.19992,0.0012,-9.63187,1.84383,-0.27952,-0.91758,-1.64392,-0.92343,-0.37714,0.10025,143.0,22.8,28.8,-17.04,243.987,79.163,-0.037,1.97,20.3347,,,,NaN,,,,0 / 0,354,2014-12-14 13:28:46:026
1.57957,-9.14166,0.35793,0.1025,-9.73063,1.21506,1.47707,0.58897,-0.85712,-1.18336,0.02447,-0.01373,143.0,22.92,28.32,-16.2,243.987,79.163,-0.037,1.97,20.3347,,,,NaN,,,,0 / 0,404,2014-12-14 13:28:46:076
0.36093,-8.91182,2.92212,0.18765,-9.79618,0.41405,0.17328,0.88436,2.50808,-1.44435,0.64765,-0.07232,161.0,22.92,28.62,-14.28,252.652,85.443,-11.265,1.97,20.3347,,,,NaN,,,,0 / 0,454,2014-12-14 13:28:46:126
