sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.9559;-9.35;1.816;-0.2931;-9.662;1.6532;-0.6627;0.312;0.1628;-0.6605;-0.3666;0.3103;137.0;-44.28;30.54;-35.52;113.96;80.14;10.06;2.0;50.999;;;;;;0 / 0;84.0;20.0;3.614;13;2014-11-21 15:16:02:461
0.0042;-10.4561;2.3475;-0.0058;-9.7547;-1.0083;0.01;-0.7014;3.3558;-0.6477;0.6806;-0.1211;79.0;-40.02;24.24;-23.4;302.68;84.1;179.67;2.0;65.092;;;;;;0 / 0;84.0;20.0;3.614;543;2014-11-21 15:16:02:991
-3.6518;-17.6435;16.9569;0.1018;-9.1294;3.5799;-3.7535;-8.5141;13.377;0.2482;-0.6201;0.2506;79.0;-49.56;26.58;-25.44;106.64;68.58;-1.63;2.0;64.082;;;;;;0 / 0;84.0;20.0;3.614;1050;2014-11-21 15:16:03:498
-1.0828;-10.8487;0.006;-0.3012;-9.4535;-2.5907;-0.7816;-1.3952;2.5967;-1.338;1.1727;0.1196;87.0;-36.06;33.48;-58.62;352.72;81.92;156.3;2.0;55.363;;;;;;0 / 0;84.0;20.0;3.614;1551;2014-11-21 15:16:03:999
1.7472;-4.0181;-4.9141;-0.4601;-9.2724;3.1596;2.2073;5.2544;-8.0737;0.7904;-1.9645;0.4403;123.0;-42.96;14.88;-34.68;114.81;71.0;8.29;2.0;65.881;;;;;;0 / 0;84.0;20.0;3.614;2052;2014-11-21 15:16:04:500
2.4702;-9.4385;-0.2215;-0.3795;-9.7977;0.1847;2.8497;0.3591;-0.4061;-1.6842;0.4728;0.0695;179.0;-41.7;21.9;-40.38;68.7;87.53;64.05;2.0;54.055;;;;;;0 / 0;84.0;20.0;3.614;2552;2014-11-21 15:16:05:000
-0.8481;-11.8208;-3.3722;-0.5481;-9.6385;1.7235;-0.3;-2.1823;-5.0958;2.5225;-0.6286;0.3039;95.0;-51.48;13.14;-15.0;86.19;79.37;17.64;2.0;62.343;;;;;;0 / 0;84.0;20.0;3.614;3060;2014-11-21 15:16:05:508
0.3083;-9.8288;-0.978;-0.1891;-9.7402;1.1242;0.4974;-0.0886;-2.1023;-1.2879;0.1671;0.2411;437.0;-57.78;29.46;-42.18;113.73;83.32;9.55;2.0;54.266;;;;;;0 / 0;84.0;20.0;3.614;3583;2014-11-21 15:16:06:031
2.3792;-15.2277;8.7257;0.255;-9.6676;-1.6258;2.1243;-5.5601;10.3515;0.0479;0.5442;0.0781;123.0;-48.72;30.78;-39.42;303.25;80.34;-171.09;2.0;64.192;;;;;;0 / 0;84.0;20.0;3.614;4086;2014-11-21 15:16:06:534
2.9155;-13.468;1.0786;0.4848;-9.1141;3.5871;2.4307;-4.3539;-2.5085;-0.0874;-0.9152;0.191;623.0;-60.84;21.78;-38.4;114.85;66.43;-1.74;2.0;63.53;;;;;;0 / 0;84.0;20.0;3.614;4586;2014-11-21 15:16:07:034
-0.7907;-10.4561;-1.3946;-0.5607;-9.5123;-2.3179;0.463;1.2496;-0.0138;-1.2314;1.3954;0.3103;523.0;-66.12;22.68;-61.62;327.92;75.93;166.4;2.0;61.124;;;;;;0 / 0;84.4;20.0;3.614;5087;2014-11-21 15:16:07:535
1.3593;-4.3293;-4.0474;-0.1954;-9.0821;3.6943;1.5547;4.7528;-7.7417;1.6778;-1.5448;0.3987;571.0;-69.42;11.88;-47.34;116.48;67.84;3.03;2.0;67.04;;;;;;0 / 0;84.4;20.0;3.614;5592;2014-11-21 15:16:08:040
-1.1809;-8.8256;-1.3084;0.1577;-9.2838;3.1554;-5.6626;2.3855;-7.6457;0.0905;0.1107;0.0642;1231.0;-63.54;7.2;-64.32;135.26;71.21;-2.86;2.0;67.134;;;;;;0 / 0;84.4;20.0;3.614;6092;2014-11-21 15:16:08:540
-1.9136;-8.7227;4.1934;-0.7329;-9.3426;2.8897;-1.1806;0.6199;1.3038;0.033;0.2992;0.0429;1163.0;-56.1;0.0;-71.22;126.46;74.57;14.26;2.0;59.29;;;;;;0 / 0;84.4;20.0;3.614;6592;2014-11-21 15:16:09:040
-0.477;-9.0507;3.7266;-0.5026;-9.2308;3.2726;0.0256;0.1802;0.454;0.0266;0.0403;-0.0221;881.0;-54.06;-1.86;-71.58;132.99;70.27;8.73;2.0;54.219;;;;;;0 / 0;84.4;20.0;3.614;7094;2014-11-21 15:16:09:542
