sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.019154;0.019154;10.160992;-0.146646;-0.039965;9.805472;0.1658;0.059119;0.35552;9.16E-4;0.022602;0.060476;307.0;-24.3;-11.28;-45.12;114.3825;0.2335;0.8568;3.15;1018.22;23.86357;;;;;;0 / 0;84.0;42.0;3.673;41;2014-11-17 18:13:52:233
-2.202665;-2.183512;10.390836;-0.172298;-0.110998;9.804508;-2.030368;-2.072514;0.586328;-0.013439;-0.027489;-0.069944;304.0;-24.72;-11.46;-44.94;113.5117;0.2309;0.8916;3.15;1018.22;23.86357;;;;;;0 / 0;84.0;42.0;3.673;150;2014-11-17 18:13:52:342
1.484405;1.580173;13.771448;0.005725;-0.083351;9.806294;1.47868;1.663525;3.965154;-0.3992;-2.525317;0.900721;304.0;-24.9;-11.7;-44.4;116.3564;0.487;-0.0335;3.15;1018.17;39.73668;;;;;;0 / 0;84.0;42.0;3.673;215;2014-11-17 18:13:52:407
2.710236;-1.340753;2.422932;1.425198;-0.315974;9.69739;1.285039;-1.024779;-7.274457;-0.004276;-2.985604;0.514654;260.0;-29.28;-10.8;-41.16;118.6859;1.8464;-8.3607;3.15;1018.17;39.73668;;;;;;0 / 0;84.0;42.0;3.673;284;2014-11-17 18:13:52:476
1.963245;-1.963245;10.43872;0.418681;-0.470588;9.786402;1.544565;-1.492657;0.652319;-1.075123;2.214387;-1.167363;182.0;-33.96;-9.36;-37.92;118.6859;1.8464;-8.3607;3.15;1018.17;39.73668;;;;;;0 / 0;84.0;42.0;3.673;338;2014-11-17 18:13:52:530
-0.124498;-1.8579;13.512876;-0.1875;-0.735966;9.777198;0.063002;-1.121934;3.735678;-1.320996;1.643533;-1.025643;233.0;-34.38;-8.52;-37.56;108.7357;4.304;1.0986;3.15;1018.13;39.73668;;;;;;0 / 0;84.0;42.0;3.673;395;2014-11-17 18:13:52:587
0.076614;-2.786851;11.31021;-0.193512;-0.571335;9.78808;0.270127;-2.215516;1.522129;1.262964;5.592471;0.16585;255.0;-27.24;-7.26;-42.3;108.6727;3.3399;1.1326;3.15;1018.13;39.73668;;;;;;0 / 0;84.0;42.0;3.673;461;2014-11-17 18:13:52:653
-3.198653;-2.001553;11.492168;-0.862332;-0.647584;9.747174;-2.336321;-1.353969;1.744994;0.947452;4.893947;0.304516;324.0;-19.98;-7.56;-45.66;108.6727;3.3399;1.1326;3.15;1018.13;39.73668;;;;;;0 / 0;84.0;42.0;3.673;525;2014-11-17 18:13:52:717
-6.876147;1.915361;8.686164;-1.476023;-0.221681;9.6924;-5.400123;2.137043;-1.006235;2.505769;3.984369;0.651182;335.0;-0.78;-10.5;-49.68;128.4844;3.7863;5.0558;3.15;1018.09;51.67597;;;;;;0 / 0;84.0;42.0;3.673;584;2014-11-17 18:13:52:776
-8.599972;2.202666;6.272809;-2.103872;0.07511;9.57802;-6.4961;2.127556;-3.305211;-1.09467;-3.584863;-0.53695;222.0;25.2;-29.64;-37.26;196.021;0.9258;11.0533;3.15;1018.11;51.67597;;;;;;0 / 0;84.0;42.0;3.673;798;2014-11-17 18:13:52:990
-3.974375;1.80044;7.891289;-2.978301;0.3744;9.335948;-0.996073;1.42604;-1.444659;-1.10475;-3.218649;-0.187841;387.0;23.7;-30.36;-37.44;207.5777;-0.4388;12.3886;3.15;1018.11;51.67597;;;;;;0 / 0;84.0;42.0;3.673;881;2014-11-17 18:13:53:073
-2.863465;0.047884;9.184158;-2.939418;0.216429;9.353254;0.075953;-0.168545;-0.169097;-0.694248;-3.349069;0.270919;390.0;12.54;-31.32;-40.2;180.445;-2.188;17.6934;3.15;1018.11;55.20511;;;;;;0 / 0;84.0;42.0;3.673;932;2014-11-17 18:13:53:124
-4.156334;-0.45011;11.980586;-3.194942;0.096845;9.271104;-0.961392;-0.546955;2.709482;-0.445015;-1.525025;-1.14018;390.0;1.68;-30.42;-43.2;180.445;-2.188;17.6934;3.15;1018.11;55.20511;;;;;;0 / 0;84.0;42.0;3.673;995;2014-11-17 18:13:53:187
0.861913;1.714248;12.325352;-2.78738;0.485855;9.389614;3.649293;1.228394;2.935737;1.873524;-0.500909;-1.640479;387.0;-7.26;-29.94;-43.5;147.2213;-0.5658;19.0146;3.15;1018.11;55.20511;;;;;;0 / 0;84.0;42.0;3.673;1063;2014-11-17 18:13:53:255
-2.317587;1.905785;11.750742;-2.643106;0.646086;9.421622;0.325519;1.259699;2.329121;1.326494;-1.755627;-1.223868;376.0;-8.1;-31.56;-42.3;147.0699;-3.7775;15.6707;3.15;1018.11;55.20511;;;;;;0 / 0;84.0;42.0;3.673;1120;2014-11-17 18:13:53:312
-1.896208;3.447651;10.62068;-2.556169;0.962586;9.41859;0.659961;2.485065;1.20209;1.870469;-0.886365;-0.618196;274.0;-8.76;-33.54;-40.56;147.0699;-3.7775;15.6707;3.15;1018.11;55.20511;;;;;;0 / 0;84.0;42.0;3.673;1172;2014-11-17 18:13:53:364
-0.737414;3.936068;10.170568;-2.542066;1.416648;9.364902;1.804652;2.519419;0.805666;2.558915;0.325897;-1.0345;149.0;-9.48;-39.3;-35.34;150.1335;-5.633;15.1841;3.15;1018.11;55.20511;;;;;;0 / 0;84.0;42.0;3.673;1225;2014-11-17 18:13:53:417
