sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.057461;-9.662998;0.086191;0.278573;-9.767644;0.828202;-0.221113;0.104646;-0.74201;0.031765;0.093768;-0.008552;335.0;-25.86;44.88;-10.86;124.6916;84.888;-18.5909;0.0;1017.81;44.21547;;;;;;0 / 0;85.8;45.0;3.667;17;2014-11-17 16:55:51:935
0.057461;-9.586384;0.775721;0.323019;-9.767144;0.817891;-0.265558;0.18076;-0.042169;-0.102014;-0.068417;-0.117592;335.0;-25.92;44.82;-11.16;127.8767;84.8554;-21.5511;0.0;1017.81;44.21547;;;;;;0 / 0;85.8;45.0;3.667;68;2014-11-17 16:55:51:986
0.411803;-9.691728;1.273715;0.430716;-9.767528;0.761773;-0.018913;0.075799;0.511942;-0.128587;0.092241;-0.104763;336.0;-25.92;44.82;-11.52;127.8767;84.8554;-21.5511;0.0;1017.82;44.21547;;;;;;0 / 0;85.8;45.0;3.667;124;2014-11-17 16:55:52:042
0.584185;-9.873688;1.857901;0.532227;-9.7644;0.737301;0.051958;-0.109287;1.1206;-0.111483;0.078802;-0.114843;332.0;-26.22;44.64;-11.7;138.8413;84.8804;-29.4843;0.0;1017.82;44.21547;;;;;;0 / 0;85.8;45.0;3.667;199;2014-11-17 16:55:52:117
-0.114922;-9.720458;2.30801;0.618835;-9.760706;0.718362;-0.733756;0.040247;1.589649;-0.079718;0.246179;-0.074526;329.0;-26.58;44.52;-11.4;148.284;84.4517;-40.7433;0.0;1017.82;44.93733;;;;;;0 / 0;85.8;45.0;3.667;254;2014-11-17 16:55:52:172
-1.120486;-10.850522;4.041412;0.619953;-9.753818;0.805675;-1.740439;-1.096704;3.235737;0.313068;0.096211;0.146913;336.0;-26.64;44.1;-10.74;144.3572;84.0499;-37.5777;0.0;1017.77;44.93733;;;;;;0 / 0;85.8;45.0;3.667;313;2014-11-17 16:55:52:231
0.555455;-9.921572;2.03986;0.526977;-9.728812;1.114842;0.028478;-0.192759;0.925018;0.967611;0.101404;0.398284;340.0;-26.52;43.8;-10.74;144.3572;84.0499;-37.5777;0.0;1017.77;44.93733;;;;;;0 / 0;85.8;45.0;3.667;376;2014-11-17 16:55:52:294
0.833182;-10.218452;1.168371;0.365146;-9.654494;1.681606;0.468036;-0.563957;-0.513235;1.042442;-0.413556;0.445015;349.0;-26.16;43.44;-11.64;131.7083;82.7763;-25.2997;0.0;1017.77;44.93733;;;;;;0 / 0;85.8;45.0;3.667;427;2014-11-17 16:55:52:345
-0.287304;-8.255207;0.459687;0.167578;-9.55768;2.189308;-0.454882;1.302473;-1.729621;0.609338;0.152716;0.482889;347.0;-25.2;41.82;-13.02;102.0028;77.0618;-4.3771;0.0;1017.76;44.93733;;;;;;0 / 0;85.8;45.0;3.667;489;2014-11-17 16:55:52:407
-0.009577;-8.590396;1.80044;-0.061427;-9.486358;2.485078;0.05185;0.895963;-0.684638;0.386067;-0.466701;0.443183;349.0;-24.36;40.08;-13.32;94.3711;75.3162;1.416;0.0;1017.76;44.93733;;;;;;0 / 0;85.8;45.0;3.667;548;2014-11-17 16:55:52:466
