sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.373495;-9.107542;0.009577;1.092877;-9.56798;1.851973;-0.719382;0.460437;-1.842397;0.763887;-0.419664;0.54703;267.0;32.22;45.42;-20.52;290.2899;78.7536;-40.7212;0.0;1018.05;54.5885;;;;;;0 / 0;83.8;44.0;3.687;17;2014-11-17 16:58:37:061
-0.507571;-8.504204;2.432509;0.755804;-9.546124;2.114399;-1.263375;1.041919;0.31811;0.317039;-0.214108;0.771828;269.0;32.52;39.9;-20.46;282.8018;77.3333;-30.5455;0.0;1018.13;54.5885;;;;;;0 / 0;83.8;44.0;3.687;81;2014-11-17 16:58:37:125
0.6608;-7.431602;2.212242;0.405962;-9.520068;2.318161;0.254838;2.088467;-0.105919;0.203418;-0.510989;0.622472;266.0;32.76;38.4;-20.22;262.8991;76.1144;-9.9331;0.0;1018.13;54.5885;;;;;;0 / 0;83.8;44.0;3.687;135;2014-11-17 16:58:37:179
-0.057461;-7.881712;2.662352;0.189718;-9.517608;2.35575;-0.247179;1.635896;0.306602;-0.164934;-0.307265;0.467006;260.0;33.18;37.2;-19.2;262.8991;76.1144;-9.9331;0.0;1018.13;54.5885;;;;;;0 / 0;83.8;44.0;3.687;193;2014-11-17 16:58:37:237
-1.37906;-7.517793;1.905785;0.052833;-9.542814;2.258826;-1.431893;2.025021;-0.353041;-0.340557;-0.404393;0.229685;252.0;33.0;35.4;-17.7;258.2907;76.0546;-4.6043;0.0;1018.06;54.5885;;;;;;0 / 0;83.8;44.0;3.687;270;2014-11-17 16:58:37:314
0.277727;-10.13226;3.505111;0.026245;-9.580142;2.095372;0.251482;-0.552119;1.409739;-0.502437;-0.768774;9.16E-4;241.0;31.68;33.84;-15.78;256.9757;76.6794;-1.3399;0.0;1018.06;54.5885;;;;;;0 / 0;83.8;44.0;3.687;334;2014-11-17 16:58:37:378
-1.647211;-9.758766;3.524265;0.113608;-9.630048;1.849237;-1.760819;-0.128718;1.675028;-0.397368;-1.059546;-0.134085;224.0;30.78;33.78;-14.52;258.6214;79.1099;-3.5156;0.0;1018.09;52.57443;;;;;;0 / 0;83.8;44.0;3.687;386;2014-11-17 16:58:37:430
0.047884;-16.816874;3.725378;0.304781;-9.66306;1.644004;-0.256896;-7.153812;2.081374;-0.426995;-0.629802;-0.132252;224.0;29.7;33.48;-13.44;258.6214;79.1099;-3.5156;0.0;1018.09;52.57443;;;;;;0 / 0;83.8;44.0;3.687;438;2014-11-17 16:58:37:482
4.165911;-5.24809;-5.468356;0.433487;-9.711966;1.288479;3.732424;4.463876;-6.756836;-0.458149;-0.346055;0.504269;224.0;26.88;33.96;-10.32;268.1295;80.1832;-10.5028;0.0;1018.09;52.57443;;;;;;0 / 0;83.8;44.0;3.687;495;2014-11-17 16:58:37:539
-0.229843;-10.745176;-2.145205;0.313853;-9.774506;0.728651;-0.543696;-0.970672;-2.873856;-1.137126;0.554055;-0.150578;223.0;26.34;34.74;-6.06;281.5098;82.0317;-18.5946;0.0;1018.09;52.57443;;;;;;0 / 0;83.8;44.0;3.687;561;2014-11-17 16:58:37:605
-0.71826;-8.96389;-2.585738;0.548982;-9.791268;0.008452;-1.267242;0.827377;-2.59419;-0.739452;-0.032681;-0.106596;220.0;26.22;35.46;-3.9;351.0239;86.7905;-89.118;0.0;1018.04;52.57443;;;;;;0 / 0;83.8;44.0;3.687;615;2014-11-17 16:58:37:659
-0.067038;-9.902418;-1.80044;0.608783;-9.77537;-0.491876;-0.675821;-0.127048;-1.308563;-1.09803;0.51557;0.054367;216.0;25.8;36.48;0.42;35.3535;85.4223;-128.937;0.0;1018.04;52.57443;;;;;;0 / 0;83.8;44.0;3.687;688;2014-11-17 16:58:37:732
0.641646;-9.030928;-1.80044;0.650333;-9.723114;-1.099327;-0.008687;0.692185;-0.701113;-1.056186;0.93218;0.010996;216.0;25.2;36.6;2.82;35.3535;85.4223;-128.937;0.0;1018.16;52.57443;;;;;;0 / 0;83.8;44.0;3.687;746;2014-11-17 16:58:37:790
-0.986411;-10.170568;-1.015141;0.803632;-9.633674;-1.648316;-1.790043;-0.536895;0.633175;-1.105666;0.578489;-0.227853;219.0;24.96;37.32;7.32;61.302;82.5161;-149.3925;0.0;1018.16;62.27924;;;;;;0 / 0;83.8;44.0;3.687;807;2014-11-17 16:58:37:851
0.641646;-9.165004;-0.995988;1.018813;-9.504944;-2.188253;-0.377167;0.339941;1.192265;-0.921796;0.332005;-0.192117;222.0;24.78;37.5;9.78;68.1251;75.7508;-155.0341;0.0;1018.16;62.27924;;;;;;0 / 0;83.8;44.0;3.687;869;2014-11-17 16:58:37:913
-0.92895;-9.758766;-1.206678;1.199965;-9.368118;-2.639849;-2.128915;-0.390647;1.433172;-0.680504;0.6072;-0.238543;224.0;23.7;38.28;14.22;72.8151;72.8008;-155.5554;0.0;1018.06;62.27924;;;;;;0 / 0;83.8;44.0;3.687;944;2014-11-17 16:58:37:988
-0.229843;-9.299078;-3.055001;1.44217;-9.229684;-2.983866;-1.672014;-0.069394;-0.071135;-0.493579;0.481362;0.07422;224.0;23.34;38.34;16.74;72.8151;72.8008;-155.5554;0.0;1018.06;62.27924;;;;;;0 / 0;83.8;44.0;3.687;994;2014-11-17 16:58:38:038
1.570596;-9.969456;-1.953669;1.545563;-9.144384;-3.187769;0.025033;-0.825071;1.234101;-0.57177;0.774883;0.144164;227.0;22.02;38.34;21.06;77.9954;70.2483;-154.2045;0.0;1018.06;62.27924;;;;;;0 / 0;83.8;44.0;3.687;1046;2014-11-17 16:58:38:090
-4.759673;-13.01488;0.201113;1.640989;-9.122386;-3.203069;-6.400662;-3.892494;3.404182;0.076358;1.36223;0.083994;227.0;21.48;38.1;23.52;84.2513;68.4698;-152.8731;0.0;1018.06;62.27924;;;;;;0 / 0;83.8;44.0;3.687;1101;2014-11-17 16:58:38:145
0.881066;-10.802638;1.810017;1.686575;-9.26643;-2.731143;-0.805509;-1.536208;4.54116;0.890336;0.648128;0.525955;230.0;19.68;38.76;27.06;88.1865;70.8937;-148.3032;0.0;1018.16;62.95119;;;;;;0 / 0;83.8;44.0;3.687;1163;2014-11-17 16:58:38:207
3.610456;-12.124236;-3.715801;1.245807;-9.588492;-1.636819;2.36465;-2.535745;-2.078982;2.274557;-0.009774;0.850935;235.0;20.1;40.02;27.9;88.1865;70.8937;-148.3032;0.0;1018.16;62.95119;;;;;;0 / 0;83.8;44.0;3.687;1220;2014-11-17 16:58:38:264
1.944092;-13.01488;-2.719813;0.798716;-9.767358;-0.362126;1.145376;-3.247521;-2.357687;2.309987;-0.342085;0.877508;247.0;23.16;44.22;24.84;89.5868;77.892;-142.7247;0.0;1018.16;62.95119;;;;;;0 / 0;83.8;44.0;3.687;1285;2014-11-17 16:58:38:329
0.354342;-10.151414;-2.212242;0.323486;-9.75651;0.936081;0.030855;-0.394904;-3.148323;2.194533;-0.198226;0.931264;247.0;25.56;46.26;21.06;331.657;84.2037;-19.0639;0.0;1018.16;62.95119;;;;;;0 / 0;83.8;44.0;3.687;1339;2014-11-17 16:58:38:383
0.220267;-8.092401;-2.126051;-0.140907;-9.58234;2.0807;0.361173;1.489939;-4.206751;1.928807;-0.523512;0.930959;249.0;28.08;47.82;17.1;331.657;84.2037;-19.0639;0.0;1018.16;62.95119;;;;;;0 / 0;83.8;44.0;3.687;1394;2014-11-17 16:58:38:438
0.603339;-5.66947;-1.742979;-0.406628;-9.310132;3.05393;1.009967;3.640662;-4.796909;1.180497;-1.063211;0.719294;249.0;34.38;48.96;7.32;303.4929;77.7218;3.8742;0.0;1018.16;62.95119;;;;;;0 / 0;83.8;44.0;3.687;1462;2014-11-17 16:58:38:506
-0.009577;-5.956774;0.727837;0.260005;-9.755932;-0.961564;-0.269582;3.799159;1.689402;0.018631;-0.1799;0.496023;244.0;39.9;47.76;-0.72;289.6905;71.6897;7.5843;0.0;1018.17;60.4726;;;;;;0 / 0;83.8;44.0;3.687;1536;2014-11-17 16:58:38:580
-0.402226;-7.489063;2.604892;0.229291;-9.78033;-0.680406;-0.631517;2.291268;3.285298;-0.852462;0.086437;0.143553;235.0;41.94;47.16;-2.88;63.1623;85.8013;-161.3766;0.0;1018.17;60.4726;;;;;;0 / 0;83.8;44.0;3.687;1593;2014-11-17 16:58:38:637
-3.715801;-11.520898;7.096414;-0.167613;-9.804338;0.131209;-3.548188;-1.716559;6.965205;-0.108123;-0.492357;0.110567;235.0;44.52;47.16;-3.48;214.9898;88.7562;51.9457;0.0;1018.05;60.4726;;;;;;0 / 0;83.8;44.0;3.687;1646;2014-11-17 16:58:38:690
-1.666364;-9.481038;4.453215;-0.317538;-9.782422;0.611367;-1.348827;0.301384;3.841848;-0.19059;-0.991129;0.072082;235.0;45.18;47.76;-3.84;214.9898;88.7562;51.9457;0.0;1018.05;60.4726;;;;;;0 / 0;83.8;44.0;3.687;1702;2014-11-17 16:58:38:746
4.070143;-10.01734;-6.378153;0.117517;-9.805708;-0.068085;3.952626;-0.211631;-6.310068;-1.658499;-0.322842;-0.526871;227.0;46.08;48.12;-7.32;240.0375;85.9717;27.4469;0.0;1018.05;60.4726;;;;;;0 / 0;83.8;44.0;3.687;1782;2014-11-17 16:58:38:826
-4.089296;-10.390836;-3.916914;-0.256753;-9.788802;-0.532717;-3.832543;-0.602033;-3.384197;-0.677755;-1.791057;-0.232129;227.0;45.9;48.48;-9.96;99.972;86.5428;154.2674;0.0;1018.03;60.4726;;;;;;0 / 0;83.8;44.0;3.687;1835;2014-11-17 16:58:38:879
4.817134;-6.799533;-2.806004;0.199111;-9.764894;-0.881794;4.618023;2.965362;-1.92421;-1.53877;0.090103;-0.414777;219.0;46.08;48.42;-10.62;99.972;86.5428;154.2674;0.0;1018.03;63.10843;;;;;;0 / 0;83.8;44.0;3.687;1902;2014-11-17 16:58:38:946
-0.948104;-10.477026;-0.497994;0.152466;-9.768284;-0.853102;-1.10057;-0.708742;0.355108;-1.087951;0.200364;-0.15913;216.0;45.36;49.86;-8.88;60.319;84.7108;-167.2759;0.0;1018.03;63.10843;;;;;;0 / 0;83.8;44.0;3.687;1957;2014-11-17 16:58:39:001
0.574608;-9.251194;-2.231396;0.15377;-9.757514;-0.968322;0.420839;0.50632;-1.263074;-0.973108;0.194561;-0.036041;213.0;45.42;50.7;-6.9;66.3304;84.2621;-170.9767;0.0;1018.04;63.10843;;;;;;0 / 0;83.8;44.0;3.687;2014;2014-11-17 16:58:39:058
-1.130063;-9.931148;-1.465251;0.040077;-9.752404;-1.029257;-1.17014;-0.178743;-0.435994;-1.042136;0.601091;-0.106901;213.0;46.08;52.74;-3.0;77.3054;83.9708;-177.7702;0.0;1018.04;63.10843;;;;;;0 / 0;83.8;44.0;3.687;2071;2014-11-17 16:58:39:115
-0.612916;-9.011774;-1.187524;-0.028429;-9.748536;-1.065655;-0.584487;0.736762;-0.121869;-0.981966;0.795957;-0.204945;216.0;47.34;53.88;1.56;86.7843;83.7593;178.4719;0.0;1018.04;63.10843;;;;;;0 / 0;83.8;44.0;3.687;2150;2014-11-17 16:58:39:194
-1.273715;-9.720458;-1.40779;-0.138498;-9.743046;-1.106472;-1.135217;0.022587;-0.301318;-0.972192;0.388205;-0.204029;222.0;47.28;54.24;4.26;86.7843;83.7593;178.4719;0.0;1018.04;63.10843;;;;;;0 / 0;83.8;44.0;3.687;2209;2014-11-17 16:58:39:253
