sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.972822;-8.475474;5.00867;0.162947;-9.724294;1.257753;-2.135769;1.24882;3.750917;0.800539;-0.224493;0.458149;523.0;-21.0;37.98;-17.7;133.9465;84.3207;-8.0429;0.0;1018.1;44.65799;;;;;;0 / 0;82.6;42.0;3.69;24;2014-11-17 17:04:22:258
1.206678;-8.90643;5.027824;0.01717;-9.634096;1.831479;1.189508;0.727666;3.196345;1.52136;-0.395841;0.546419;523.0;-21.36;36.3;-17.94;118.164;79.2358;-0.5371;0.0;1018.1;44.65799;;;;;;0 / 0;82.6;42.0;3.69;77;2014-11-17 17:04:22:311
-1.35033;-11.9327;6.320693;-0.266104;-9.385748;2.829723;-1.084225;-2.546953;3.49097;2.027462;-0.076053;1.070541;550.0;-21.78;34.86;-17.88;118.164;79.2358;-0.5371;0.0;1018.1;44.65799;;;;;;0 / 0;82.6;42.0;3.69;132;2014-11-17 17:04:22:366
-1.934515;-9.136272;6.981492;-1.277716;-8.108809;5.365169;-0.656799;-1.027464;1.616324;2.43888;-0.49419;1.13285;585.0;-21.12;29.7;-18.48;88.9338;64.8547;11.1801;0.0;1018.14;44.65799;;;;;;0 / 0;82.6;42.0;3.69;219;2014-11-17 17:04:22:453
-3.782838;-6.617573;5.803545;-1.661966;-7.311083;6.321103;-2.120873;0.69351;-0.517558;1.933083;-0.551306;1.240667;585.0;-20.64;28.2;-18.54;88.9338;64.8547;11.1801;0.0;1018.14;44.65799;;;;;;0 / 0;82.6;42.0;3.69;286;2014-11-17 17:04:22:520
0.938527;-4.807557;0.584185;-1.266802;-7.135645;6.606676;2.205329;2.328088;-6.02249;-0.490219;-1.937664;0.280998;484.0;-20.7;26.7;-15.72;69.7845;48.204;14.731;0.0;1018.25;44.65799;;;;;;0 / 0;82.6;42.0;3.69;352;2014-11-17 17:04:22:586
2.27928;-6.818686;5.707777;-0.73153;-8.97587;3.881882;3.01081;2.157184;1.825895;-1.392773;-0.06689;0.379347;321.0;-21.96;28.44;-9.54;62.3091;46.6884;10.8545;0.0;1018.25;64.45839;;;;;;0 / 0;82.6;42.0;3.69;426;2014-11-17 17:04:22:660
2.30801;1.015142;-2.154781;-0.767172;-9.096846;3.58179;3.075182;10.111988;-5.736571;-2.116342;0.832915;-0.172569;289.0;-22.32;29.28;-6.06;67.0015;68.0668;12.0893;0.0;1018.25;64.45839;;;;;;0 / 0;82.6;42.0;3.69;479;2014-11-17 17:04:22:713
-0.497994;-3.878607;5.477934;-0.539219;-8.90737;4.066742;0.041225;5.028764;1.411192;-2.527149;2.185371;-0.04215;285.0;-21.84;30.06;-1.44;67.0015;68.0668;12.0893;0.0;1017.88;64.45839;;;;;;0 / 0;82.6;42.0;3.69;533;2014-11-17 17:04:22:767
11.81778;0.067038;-13.484144;1.103639;-9.395864;2.582651;10.71414;9.462904;-16.066793;-0.173791;0.410501;0.332616;338.0;-21.42;29.4;0.48;54.8862;65.2713;7.5529;0.0;1017.88;64.45839;;;;;;0 / 0;82.6;42.0;3.69;603;2014-11-17 17:04:22:837
-1.225831;-19.201498;-1.37906;1.218801;-9.509932;2.060599;-2.444632;-9.691564;-3.439659;-3.026837;2.324342;-1.780672;430.0;-20.22;26.64;3.06;92.3782;75.8698;-30.6034;0.0;1017.88;64.45839;;;;;;0 / 0;82.6;42.0;3.69;666;2014-11-17 17:04:22:900
-8.092401;-18.550274;-9.442732;2.022143;-9.586394;0.42702;-10.114544;-8.963878;-9.869752;-4.882646;1.365895;-1.784337;408.0;-20.34;24.84;4.32;92.3782;75.8698;-30.6034;0.0;1017.88;69.96509;;;;;;0 / 0;82.6;42.0;3.69;717;2014-11-17 17:04:22:951
4.146757;-17.104177;1.647211;0.336082;-9.796946;0.277978;3.810676;-7.307231;1.369233;-4.804149;0.836885;-2.264783;249.0;-22.74;21.54;9.0;143.95;77.8338;-78.0759;0.0;1017.88;69.96509;;;;;;0 / 0;82.6;42.0;3.69;767;2014-11-17 17:04:23:001
-5.90889;-3.265691;14.010868;-0.456076;-9.632952;1.780061;-5.452813;6.367262;12.230808;-2.620612;1.375058;-0.174707;208.0;-25.14;20.28;14.58;42.1038;79.2001;14.3708;0.0;1017.88;69.96509;;;;;;0 / 0;82.6;42.0;3.69;839;2014-11-17 17:04:23:073
-0.833182;-5.334281;3.169923;-0.501932;-9.54662;2.186433;-0.33125;4.21234;0.98349;-0.725097;0.739147;-0.244957;208.0;-27.42;19.08;20.28;36.792;76.7763;12.9292;0.0;1017.87;69.96509;;;;;;0 / 0;82.6;42.0;3.69;893;2014-11-17 17:04:23:127
-3.639186;-1.005565;4.702213;-0.979607;-9.36233;2.749094;-2.659579;8.356767;1.953119;1.93461;0.847881;0.83322;215.0;-28.86;18.42;22.56;36.792;76.7763;12.9292;0.0;1017.87;69.96509;;;;;;0 / 0;82.6;42.0;3.69;963;2014-11-17 17:04:23:197
-5.0374;-16.06988;-1.120486;-1.353808;-9.447912;2.252669;-3.683592;-6.621968;-3.373155;2.984993;-1.234864;1.300532;235.0;-33.12;17.52;24.84;29.8322;72.6868;19.6129;0.0;1017.87;69.96509;;;;;;0 / 0;82.6;42.0;3.69;1038;2014-11-17 17:04:23:272
4.903325;-19.546263;-5.018246;-1.776971;-8.8083;3.927672;6.680296;-10.737962;-8.945918;4.149608;-2.007609;1.311833;253.0;-35.4;23.88;27.42;25.5595;63.922;24.3431;0.0;1017.87;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1089;2014-11-17 17:04:23:323
-1.877054;-19.546263;-1.704672;-2.223953;-7.403471;6.034323;0.346899;-12.142792;-7.738993;3.269656;-0.934624;1.933389;260.0;-32.52;30.36;25.68;25.1945;49.0205;20.2314;0.0;1017.87;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1147;2014-11-17 17:04:23:381
1.56102;-5.612008;-4.414908;-0.536982;-9.774362;0.586426;2.098001;4.162353;-5.001334;2.039679;-1.720502;0.710436;342.0;-27.72;36.9;21.3;25.1945;49.0205;20.2314;0.0;1017.87;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1199;2014-11-17 17:04:23:433
0.316035;2.576161;-4.491522;-0.734016;-9.700106;1.240806;1.050051;12.276268;-5.732328;-0.014966;-0.340863;0.397368;302.0;-16.62;42.78;8.52;11.7752;85.3493;42.4799;0.0;1018.08;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1251;2014-11-17 17:04:23:485
0.785298;-0.402226;-1.522712;-0.802453;-9.676382;1.376251;1.587751;9.274158;-2.898963;-0.679282;-0.335976;0.335365;233.0;-13.26;41.4;5.28;26.6179;80.6507;30.2452;0.0;1018.08;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1318;2014-11-17 17:04:23:552
-1.742979;-4.070143;4.242526;-0.596317;-9.785572;0.239555;-1.146661;5.71543;4.002971;-0.588263;1.118494;0.328646;213.0;-9.48;36.9;4.98;354.1864;86.2427;68.1135;0.0;1018.08;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1373;2014-11-17 17:04:23:607
-1.264138;-13.196838;16.654066;-0.814043;-9.759616;0.507537;-0.450096;-3.437222;16.146528;-0.081245;-0.354302;-0.00733;252.0;-7.26;34.44;6.42;354.1864;86.2427;68.1135;0.0;1018.04;67.63545;;;;;;0 / 0;82.6;42.0;3.69;1444;2014-11-17 17:04:23:678
2.126051;-6.301539;-17.238253;-0.610734;-9.782702;0.310079;2.736785;3.481164;-17.548332;-1.339627;1.466993;-0.507018;266.0;-3.36;31.2;10.56;340.4423;84.3862;58.0574;0.0;1018.04;68.68502;;;;;;0 / 0;82.6;42.0;3.69;1501;2014-11-17 17:04:23:735
-1.685518;-19.546263;-10.371682;0.151661;-9.692576;-1.483688;-1.837179;-9.853684;-8.887994;-4.334394;-1.046718;-2.055256;288.0;-2.22;29.7;13.68;183.4442;81.2524;-174.1636;0.0;1018.04;68.68502;;;;;;0 / 0;82.6;42.0;3.69;1565;2014-11-17 17:04:23:799
-2.786851;-18.454506;7.153875;1.232198;-8.830476;-4.083472;-4.019049;-9.624028;11.237348;-5.406462;1.712866;-1.342682;178.0;-3.72;26.88;23.16;162.8549;64.2183;-163.2087;0.0;1018.23;68.68502;;;;;;0 / 0;82.6;42.0;3.69;1620;2014-11-17 17:04:23:854
-6.904877;-6.512228;12.459426;-1.248163;-9.697886;0.750648;-5.656714;3.185657;11.708778;-1.802663;1.859474;-0.448681;175.0;-6.0;24.72;27.72;162.8549;64.2183;-163.2087;0.0;1018.23;68.68502;;;;;;0 / 0;82.6;42.0;3.69;1687;2014-11-17 17:04:23:921
-3.485957;-5.841852;9.011776;-1.507271;-9.527492;1.767878;-1.978686;3.685641;7.243898;-0.467312;0.251066;0.220217;190.0;-11.46;20.04;34.14;320.0524;81.4588;58.9772;0.0;1018.23;68.68502;;;;;;0 / 0;82.6;42.0;3.69;1744;2014-11-17 17:04:23:978
0.411803;0.411803;4.481946;-1.764037;-9.434898;2.010281;2.17584;9.846702;2.471664;2.303878;0.872621;0.377209;189.0;-16.8;17.46;35.22;342.1903;74.1735;41.2672;0.0;1017.88;68.68502;;;;;;0 / 0;82.6;42.0;3.69;1814;2014-11-17 17:04:24:048
-8.90643;-14.250288;-1.580173;-2.186385;-9.357354;1.957047;-6.720045;-4.892935;-3.53722;2.450181;0.05284;0.893085;213.0;-19.26;17.22;34.68;341.8384;72.5893;48.1681;0.0;1017.88;66.87454;;;;;;0 / 0;82.6;42.0;3.69;1869;2014-11-17 17:04:24:103
4.807557;-19.546263;-4.031835;-2.694657;-8.644978;3.764783;7.502215;-10.901284;-7.796618;5.081483;-3.384804;1.513724;208.0;-22.08;18.3;34.26;341.8384;72.5893;48.1681;0.0;1017.88;66.87454;;;;;;0 / 0;82.6;42.0;3.69;1921;2014-11-17 17:04:24:155
-4.855441;-19.546263;-3.41892;-2.863896;-6.817048;6.441766;-1.991545;-12.729214;-9.860684;4.550336;-0.163712;2.472477;172.0;-26.28;27.18;30.84;0.6505;61.829;35.5933;0.0;1018.08;66.87454;;;;;;0 / 0;82.6;42.0;3.69;1974;2014-11-17 17:04:24:208
3.045425;-4.874594;-7.220912;-1.270642;-9.72337;0.109229;4.316066;4.848776;-7.330141;2.285247;-2.724153;1.372309;189.0;-26.16;34.08;26.7;322.7083;82.5277;85.0867;0.0;1018.08;66.87454;;;;;;0 / 0;82.6;42.0;3.69;2047;2014-11-17 17:04:24:281
5.114015;5.765238;-8.944736;-0.737669;-9.720236;-1.06921;5.851683;15.485474;-7.875527;-0.649655;-0.872621;0.147219;191.0;-21.18;46.14;14.94;282.4051;82.3883;145.3975;0.0;1018.08;66.87454;;;;;;0 / 0;82.6;42.0;3.69;2098;2014-11-17 17:04:24:332
2.585738;-1.493982;-1.11091;-0.696219;-9.653552;-1.579435;3.281958;8.159571;0.468526;-1.354288;-1.591915;-0.52565;158.0;-18.84;49.08;11.94;282.4051;82.3883;145.3975;0.0;1018.3;66.87454;;;;;;0 / 0;82.6;42.0;3.69;2157;2014-11-17 17:04:24:391
-3.926491;-8.705316;11.587936;-0.809662;-9.770888;0.21107;-3.116828;1.065572;11.376866;-1.264796;2.015855;0.322842;142.0;-16.44;50.94;11.76;286.1115;79.8625;156.212;0.0;1018.3;67.60533;;;;;;0 / 0;82.6;42.0;3.69;2221;2014-11-17 17:04:24:455
5.6982;-1.628057;6.675035;-0.091049;-9.716416;1.32413;5.789249;8.08836;5.350905;1.256855;-0.174097;0.259618;150.0;-13.8;50.64;10.68;37.3298;82.2216;3.9335;0.0;1018.3;67.60533;;;;;;0 / 0;82.6;42.0;3.69;2295;2014-11-17 17:04:24:529
7.326257;-0.019154;-18.952501;-0.178028;-9.617356;1.909229;7.504286;9.598204;-20.86173;-1.49662;-0.010385;0.545503;155.0;-12.0;49.62;9.0;29.4801;78.7242;5.3272;0.0;1018.3;67.60533;;;;;;0 / 0;82.6;42.0;3.69;2351;2014-11-17 17:04:24:585
-3.246537;-19.536686;-14.39394;0.125782;-9.796682;0.423767;-3.372319;-9.740002;-14.817708;-3.984063;-0.304211;-1.857947;162.0;-11.22;47.52;9.42;59.7088;87.4165;-16.5319;0.0;1018.3;67.60533;;;;;;0 / 0;82.6;42.0;3.69;2404;2014-11-17 17:04:24:638
-3.428497;-19.546263;5.085284;1.270747;-9.489166;-2.123979;-4.699243;-10.057096;7.209263;-5.984341;0.624915;-1.868637;147.0;-12.3;45.24;13.08;59.7088;87.4165;-16.5319;0.0;1018.3;67.60533;;;;;;0 / 0;82.6;42.0;3.69;2459;2014-11-17 17:04:24:693
-1.40779;-9.059658;14.920666;-0.221985;-9.799074;-0.315006;-1.185805;0.739416;15.235672;-3.749796;3.503923;0.391565;139.0;-19.32;39.54;25.98;194.1376;75.3811;-149.1085;0.0;1018.03;67.60533;;;;;;0 / 0;82.6;42.0;3.69;2532;2014-11-17 17:04:24:766
-6.895301;-4.127603;6.38773;-0.970298;-9.73606;0.661837;-5.925002;5.608457;5.725893;0.037568;1.377501;0.493579;146.0;-25.44;34.5;32.7;253.3863;87.7479;144.8276;0.0;1018.03;70.18268;;;;;;0 / 0;82.6;42.0;3.69;2598;2014-11-17 17:04:24:832
-3.955221;-2.920926;6.359;-1.423313;-9.591866;1.463097;-2.531908;6.670941;4.895903;1.317025;1.34482;0.112094;155.0;-33.54;30.54;33.96;357.5229;77.9864;44.2103;0.0;1018.03;70.18268;;;;;;0 / 0;82.6;42.0;3.69;2658;2014-11-17 17:04:24:892
-2.671929;-5.554548;2.087744;-1.634809;-9.517546;1.707071;-1.03712;3.962999;0.380673;2.25226;-0.764192;0.943176;180.0;-37.8;30.24;33.18;4.7272;76.0531;43.7613;0.0;1017.91;70.18268;;;;;;0 / 0;82.6;42.0;3.69;2714;2014-11-17 17:04:24:948
-4.299986;-19.536686;-4.280833;-1.982536;-9.083042;3.120621;-2.317451;-10.453644;-7.401453;4.066225;-3.090367;1.755016;184.0;-42.24;31.38;33.42;4.7272;76.0531;43.7613;0.0;1017.91;70.18268;;;;;;0 / 0;82.6;42.0;3.69;2774;2014-11-17 17:04:25:008
1.704672;-19.546263;-6.042965;-1.973039;-7.726692;5.707516;3.677711;-11.81957;-11.75048;4.438853;0.115148;2.745534;147.0;-45.9;44.1;32.88;16.8895;67.8519;32.4279;0.0;1018.21;70.18268;;;;;;0 / 0;82.6;42.0;3.69;2846;2014-11-17 17:04:25:080
4.76925;3.859453;-9.854534;-0.221484;-9.65194;-1.720872;4.990734;13.511396;-8.133662;1.28862;-2.621833;0.548862;122.0;-36.24;65.34;16.2;317.6968;84.5898;114.2357;0.0;1018.21;70.18268;;;;;;0 / 0;82.6;42.0;3.69;2918;2014-11-17 17:04:25:152
3.284845;2.873042;-4.290409;0.276804;-9.495642;-2.43445;3.008041;12.368684;-1.855959;-0.839634;0.255647;-0.186314;122.0;-27.18;74.16;-1.44;317.6968;84.5898;114.2357;0.0;1018.21;68.54547;;;;;;0 / 0;82.6;42.0;3.69;2976;2014-11-17 17:04:25:210
-0.201113;-6.378153;11.482592;0.202265;-9.77326;-0.782876;-0.403378;3.395107;12.265468;-1.659415;0.153633;-0.020769;97.0;-24.78;74.04;-11.46;314.8945;75.5317;-173.5132;0.0;1018.08;68.54547;;;;;;0 / 0;82.6;42.0;3.69;3041;2014-11-17 17:04:25:275
-4.357447;-0.622492;-7.776367;-0.437256;-9.637812;-1.758349;-3.920191;9.01532;-6.018018;-1.6698;3.109915;0.733955;93.0;-25.38;73.38;-12.9;294.184;85.2704;-165.5137;0.0;1018.08;68.54547;;;;;;0 / 0;82.6;42.0;3.69;3101;2014-11-17 17:04:25:335
18.004396;-2.959233;-18.483236;-0.869022;-9.737608;-0.770828;18.873419;6.778375;-17.712408;2.055256;-0.109956;1.558012;92.0;-22.32;72.78;-19.14;359.4125;83.1972;131.5733;0.0;1018.08;68.54547;;;;;;0 / 0;82.6;42.0;3.69;3166;2014-11-17 17:04:25:400
-5.889736;-19.258959;-5.324704;-0.607116;-9.693254;-1.357446;-5.28262;-9.565704;-3.967258;-4.116315;4.011552;-0.788932;89.0;-18.72;71.22;-25.08;359.4125;83.1972;131.5733;0.0;1017.91;68.54547;;;;;;0 / 0;82.6;42.0;3.69;3234;2014-11-17 17:04:25:468
-2.576161;-19.479225;-3.849876;0.540146;-9.256816;-3.192173;-3.116307;-10.222408;-0.657704;-4.636467;-0.80848;-1.758376;92.0;-15.0;70.38;-30.0;357.5231;81.2783;155.9035;0.0;1017.91;68.54547;;;;;;0 / 0;82.6;42.0;3.69;3300;2014-11-17 17:04:25:534
-3.256114;-14.144942;4.367024;0.182979;-9.369802;-2.888548;-3.439093;-4.77514;7.255572;-4.601342;2.329535;-0.158214;86.0;-17.4;71.16;-25.56;334.86;70.7228;-170.396;0.0;1017.91;68.80095;;;;;;0 / 0;82.6;42.0;3.69;3357;2014-11-17 17:04:25:591
-8.24563;-2.614468;10.955868;-0.837646;-9.661128;-1.459915;-7.407984;7.04666;12.415782;-1.550681;0.789543;-0.19059;92.0;-23.22;73.38;-6.06;329.6165;80.1172;150.1543;0.0;1018.07;68.80095;;;;;;0 / 0;82.6;42.0;3.69;3426;2014-11-17 17:04:25:660
5.813122;-7.699753;5.88016;-0.133504;-9.789286;-0.567857;5.946626;2.089533;6.448017;-0.552528;0.627053;0.319177;103.0;-24.24;72.3;2.64;329.6165;80.1172;150.1543;0.0;1018.07;68.80095;;;;;;0 / 0;82.6;42.0;3.69;3478;2014-11-17 17:04:25:712
-2.662352;0.287304;5.209783;-0.024112;-9.80366;-0.240956;-2.638241;10.090964;5.45074;2.092519;0.719294;0.650877;99.0;-20.1;66.96;7.86;273.4858;86.5898;166.7699;0.0;1018.07;68.80095;;;;;;0 / 0;82.6;42.0;3.69;3547;2014-11-17 17:04:25:781
-16.366762;-19.153614;-7.211335;-0.363267;-9.748102;1.006429;-16.003494;-9.40551;-8.217765;2.674979;0.478918;1.370171;102.0;-13.98;56.46;-1.68;264.34;88.5852;174.2857;0.0;1018.01;68.80095;;;;;;0 / 0;82.6;42.0;3.69;3608;2014-11-17 17:04:25:842
8.992622;-19.546263;-6.493075;-1.426555;-9.198134;3.087014;10.419176;-10.348128;-9.58009;4.572326;-2.445294;1.128879;96.0;-12.66;49.08;-7.02;42.3868;69.7099;24.8024;0.0;1018.01;68.80095;;;;;;0 / 0;82.6;42.0;3.69;3672;2014-11-17 17:04:25:906
-4.979939;-19.479225;-4.175488;-1.903296;-7.850026;5.561019;-3.076644;-11.629198;-9.736506;3.441004;-2.04029;2.387262;62.0;-15.72;34.62;-9.36;44.5958;53.176;18.8939;0.0;1018.01;69.99477;;;;;;0 / 0;82.6;42.0;3.69;3728;2014-11-17 17:04:25:962
7.872135;0.201113;-8.93516;-0.482331;-9.579692;-2.041388;8.354467;9.780806;-6.893772;1.291675;-2.572964;0.693638;53.0;-19.56;32.88;-5.82;44.5958;53.176;18.8939;0.0;1018.03;69.99477;;;;;;0 / 0;82.6;42.0;3.69;3790;2014-11-17 17:04:26:024
8.829816;1.944092;-7.651869;0.580051;-9.297876;-3.063241;8.249765;11.24197;-4.588628;-0.559858;-0.381791;0.300546;48.0;-22.86;33.96;-2.52;305.1779;77.6493;166.7062;0.0;1018.03;69.99477;;;;;;0 / 0;82.6;42.0;3.69;3840;2014-11-17 17:04:26:074
-1.963245;-0.948104;1.666364;0.772062;-9.06981;-3.64868;-2.735308;8.121706;5.315045;-1.17897;-0.863458;-0.823752;48.0;-26.28;41.16;4.8;284.0136;67.6477;-168.0524;0.0;1018.03;69.99477;;;;;;0 / 0;82.6;42.0;3.69;3908;2014-11-17 17:04:26:142
-4.76925;-10.189722;11.425132;-0.25139;-9.725556;-1.233175;-4.51786;-0.464165;12.658306;-0.773355;2.24157;0.566578;42.0;-29.64;45.66;11.16;272.0975;82.6266;168.4778;0.0;1018.03;69.99477;;;;;;0 / 0;82.6;42.0;3.69;3965;2014-11-17 17:04:26:199
1.216255;-17.611748;-4.759673;-0.656204;-9.75111;-0.809699;1.872458;-7.860636;-3.949974;2.090686;-3.092505;-0.261145;40.0;-30.66;47.64;11.52;272.0975;82.6266;168.4778;0.0;1018.03;69.99477;;;;;;0 / 0;82.6;42.0;3.69;4037;2014-11-17 17:04:26:271
2.48997;-7.862558;-13.04361;0.096395;-9.45858;-2.587731;2.393575;1.596022;-10.455878;-3.067765;4.547587;-1.685683;42.0;-30.3;53.16;6.84;299.3779;83.8993;140.9777;0.0;1018.01;71.10231;;;;;;0 / 0;82.6;42.0;3.69;4107;2014-11-17 17:04:26:341
0.68953;-16.816874;-8.791508;1.243986;-8.916388;-3.888564;-0.554456;-7.900486;-4.902944;-1.444696;-0.237627;-0.982882;42.0;-31.08;55.44;5.7;288.2131;65.3976;-162.2601;0.0;1018.01;71.10231;;;;;;0 / 0;82.6;42.0;3.69;4157;2014-11-17 17:04:26:391
-2.911349;-19.517532;-3.20823;1.751945;-8.029754;-5.350153;-4.663294;-11.487778;2.141923;-4.637689;1.454165;-1.581225;40.0;-36.66;55.26;11.7;292.1724;54.9656;-161.8686;0.0;1018.01;71.10231;;;;;;0 / 0;82.6;42.0;3.69;4210;2014-11-17 17:04:26:444
-4.932055;-8.762778;5.889736;-0.422518;-9.511972;-2.348244;-4.509537;0.749194;8.23798;-3.906788;1.890323;-0.675922;28.0;-40.14;53.88;17.7;292.1724;54.9656;-161.8686;0.0;1018.01;71.10231;;;;;;0 / 0;82.6;42.0;3.69;4267;2014-11-17 17:04:26:501
2.5187;-4.367024;9.48104;-0.229248;-9.733846;-1.170506;2.747948;5.366823;10.651546;-0.673173;0.507629;0.177762;28.0;-43.32;51.6;22.92;267.6316;75.9186;169.7999;0.0;1017.94;71.10231;;;;;;0 / 0;82.6;42.0;3.69;4318;2014-11-17 17:04:26:552
-0.45011;-3.323152;2.70066;-0.084629;-9.693324;-1.484152;-0.365481;6.370172;4.184811;0.218079;2.987742;-0.428217;45.0;-46.2;49.68;27.18;250.8553;81.2811;176.7364;0.0;1017.94;71.10231;;;;;;0 / 0;82.6;42.0;3.69;4381;2014-11-17 17:04:26:615
-7.881712;-0.430956;8.896854;-1.210864;-9.72557;0.342767;-6.670847;9.294614;8.554088;0.778548;2.987742;0.047953;52.0;-47.46;49.8;24.9;250.8553;81.2811;176.7364;0.0;1017.94;67.46517;;;;;;0 / 0;82.6;42.0;3.69;4438;2014-11-17 17:04:26:672
-8.820238;-18.090588;-7.805097;-1.662678;-9.546408;1.507311;-7.157561;-8.54418;-9.312408;1.745242;0.128587;1.159117;67.0;-47.52;52.8;15.6;352.9922;82.6271;74.1944;0.0;1017.96;67.46517;;;;;;0 / 0;82.6;42.0;3.69;4498;2014-11-17 17:04:26:732
2.221819;-19.546263;-1.886631;-2.749187;-8.87328;3.142807;4.971007;-10.672982;-5.029437;4.202753;-2.054034;1.904373;64.0;-39.78;58.68;1.5;24.7256;76.7709;47.8059;0.0;1017.96;67.46517;;;;;;0 / 0;82.6;42.0;3.69;4568;2014-11-17 17:04:26:802
10.304646;-19.546263;-4.817134;-3.575938;-7.21333;5.599188;13.880584;-12.332932;-10.416322;4.594013;-0.482584;3.372893;49.0;-31.98;60.3;-6.78;32.1112;47.3541;32.5645;0.0;1017.96;67.46517;;;;;;0 / 0;82.6;42.0;3.69;4625;2014-11-17 17:04:26:859
7.565677;-5.420472;-6.904877;0.331611;-9.708136;-1.346311;7.234067;4.287663;-5.558566;0.659429;-0.721737;1.436755;48.0;-14.82;57.96;-21.78;322.455;81.8718;-166.1629;0.0;1018.05;67.46517;;;;;;0 / 0;82.6;42.0;3.69;4705;2014-11-17 17:04:26:939
6.426038;-3.246537;-4.156334;1.062488;-9.56161;-1.901867;5.363549;6.315074;-2.254467;-0.607811;-1.96607;-0.750448;42.0;-6.84;55.44;-26.1;322.455;81.8718;-166.1629;0.0;1018.05;67.46517;;;;;;0 / 0;82.6;42.0;3.69;4763;2014-11-17 17:04:26:997
-1.522712;-1.264138;0.009577;1.238012;-9.41926;-2.432132;-2.760724;8.155122;2.441709;-1.922698;0.061392;-0.671952;42.0;-5.82;54.78;-25.32;333.9178;73.8418;-153.0228;0.0;1018.05;68.94873;;;;;;0 / 0;82.6;42.0;3.69;4817;2014-11-17 17:04:27:051
-4.328717;-7.661445;5.286398;0.399112;-9.721024;-1.229957;-4.727829;2.059579;6.516355;-1.21104;0.150578;0.099876;45.0;-7.8;56.58;-19.62;330.0559;82.423;-162.0221;0.0;1017.99;68.94873;;;;;;0 / 0;82.6;42.0;3.69;4869;2014-11-17 17:04:27:103
1.264139;-8.954314;3.60088;0.510977;-9.771694;-0.650635;0.753162;0.81738;4.251515;-0.253815;-0.799012;-0.431882;42.0;-9.0;57.84;-16.92;330.0559;82.423;-162.0221;0.0;1017.99;68.94873;;;;;;0 / 0;82.6;42.0;3.69;4925;2014-11-17 17:04:27:159
3.361459;-6.885724;-1.130063;0.822572;-9.746312;-0.709341;2.538887;2.860588;-0.420722;-0.968221;0.422719;0.202196;42.0;-8.88;58.5;-15.18;304.4071;85.1607;-141.8556;0.0;1017.99;68.94873;;;;;;0 / 0;82.6;42.0;3.69;4977;2014-11-17 17:04:27:211
4.548983;-12.047622;-7.881712;1.11539;-9.642684;-1.394606;3.433594;-2.404938;-6.487106;1.883298;-0.762971;0.473421;41.0;-8.88;58.62;-14.04;315.3504;79.508;-141.3476;0.0;1017.91;68.94873;;;;;;0 / 0;82.6;42.0;3.69;5041;2014-11-17 17:04:27:275
-8.60955;-13.771448;-1.130063;0.142149;-9.711472;-1.355554;-8.751698;-4.059976;0.225491;-0.075442;0.126755;0.090408;42.0;-8.28;58.08;-14.82;315.3504;79.508;-141.3476;0.0;1017.91;68.94873;;;;;;0 / 0;82.6;42.0;3.69;5099;2014-11-17 17:04:27:333
-0.21069;-9.749188;1.197101;0.113215;-9.741556;-1.122346;-0.323905;-0.007632;2.319447;-0.499993;-0.934624;-0.237932;45.0;-6.84;57.24;-15.84;336.6069;82.0109;-174.0136;0.0;1017.91;68.94873;;;;;;0 / 0;82.6;42.0;3.69;5166;2014-11-17 17:04:27:400
-0.766144;-7.230489;4.52983;0.043963;-9.789442;-0.579023;-0.810107;2.558953;5.108853;-0.621861;0.265726;-0.257785;40.0;-7.14;57.54;-15.54;338.5268;83.3948;-174.2399;0.0;1018.1;65.19391;;;;;;0 / 0;82.6;42.0;3.69;5219;2014-11-17 17:04:27:453
