sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.905785;-9.059658;3.361459;0.118013;-9.661412;1.677364;-2.023797;0.601754;1.684096;0.371406;0.614225;0.502437;147.0;45.66;68.64;5.82;298.8056;81.7686;-10.3812;0.0;1018.0;50.22551;;;;;;0 / 0;82.6;42.0;3.69;10;2014-11-17 17:05:30:279
-0.21069;-12.459426;6.722919;-0.219546;-9.577228;2.097354;0.008857;-2.882197;4.625565;1.540297;-0.889114;0.404087;147.0;48.9;67.62;1.56;283.3154;77.5822;5.9758;0.0;1018.03;50.22551;;;;;;0 / 0;82.6;42.0;3.69;77;2014-11-17 17:05:30:346
0.057461;-11.061212;4.874595;-0.348461;-9.342618;2.96048;0.405922;-1.718594;1.914115;1.462411;-0.493579;0.647517;146.0;50.28;66.24;-1.56;283.3154;77.5822;5.9758;0.0;1018.03;50.22551;;;;;;0 / 0;82.6;42.0;3.69;129;2014-11-17 17:05:30:398
-0.306458;-13.742718;5.516241;-0.663829;-9.019842;3.791064;0.357371;-4.722874;1.725177;1.499063;0.193339;0.745867;147.0;52.02;64.2;-5.76;282.8331;66.8922;9.932;0.0;1018.03;50.22551;;;;;;0 / 0;82.6;42.0;3.69;182;2014-11-17 17:05:30:451
-1.877054;-4.941632;3.361459;-1.08106;-8.542506;4.693322;-0.795994;3.600875;-1.331863;0.884533;-0.005803;0.803593;147.0;55.2;58.44;-14.58;275.6822;60.5859;12.9713;0.0;1018.03;50.22551;;;;;;0 / 0;82.6;42.0;3.69;242;2014-11-17 17:05:30:511
-5.832275;-6.83784;7.565677;-1.506234;-8.296374;5.007178;-4.326041;1.458534;2.558499;0.090103;-0.011606;0.686002;146.0;56.52;54.96;-17.34;275.6822;60.5859;12.9713;0.0;1018.03;50.22551;;;;;;0 / 0;82.6;42.0;3.69;312;2014-11-17 17:05:30:581
-0.612916;-3.821146;3.811569;-1.514617;-8.221733;5.126346;0.901702;4.400587;-1.314777;0.102015;-1.157895;0.646295;146.0;57.3;51.84;-19.26;268.1835;57.7787;16.7421;0.0;1018.03;59.85477;;;;;;0 / 0;82.6;42.0;3.69;363;2014-11-17 17:05:30:632
0.536301;-4.970362;8.475474;-0.966948;-8.908582;3.984039;1.503249;3.938219;4.491435;-1.184468;-1.284955;0.014661;147.0;55.14;46.44;-21.6;256.0639;65.2883;13.6422;0.0;1018.1;59.85477;;;;;;0 / 0;82.6;42.0;3.69;424;2014-11-17 17:05:30:693
8.149863;-5.0374;-2.480393;0.012563;-9.070282;3.728301;8.1373;4.032882;-6.208693;0.316734;0.08491;0.094073;162.0;52.8;45.24;-22.98;256.0639;65.2883;13.6422;0.0;1018.1;59.85477;;;;;;0 / 0;82.6;42.0;3.69;486;2014-11-17 17:05:30:755
-10.563218;-17.401058;13.781026;-0.143353;-9.262924;3.216843;-10.419864;-8.138134;10.564182;0.001222;2.119702;-0.956004;161.0;50.64;43.8;-22.26;265.0922;67.655;-0.1931;0.0;1018.1;59.85477;;;;;;0 / 0;82.6;42.0;3.69;558;2014-11-17 17:05:30:827
0.373495;6.981492;-13.579912;-1.169918;-9.12439;3.398115;1.543413;16.105885;-16.978027;-0.662483;1.726;0.273057;183.0;51.24;43.32;-20.04;247.4926;68.5018;18.9978;0.0;1017.98;59.85477;;;;;;0 / 0;82.6;42.0;3.69;611;2014-11-17 17:05:30:880
6.521806;-18.128895;2.997541;-1.204704;-9.437098;2.37912;7.726509;-8.691794;0.61842;-1.385748;-0.869261;-0.89339;222.0;53.28;43.98;-10.98;244.1301;74.2207;26.8561;0.0;1017.98;59.85477;;;;;;0 / 0;82.6;42.0;3.69;661;2014-11-17 17:05:30:930
