sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.145205;-12.708422;4.721366;-0.625323;-8.876482;4.121579;-1.519882;-3.83194;0.599787;2.795625;-0.203724;1.222647;17.0;7.74;41.04;31.26;351.2272;74.3147;2.863;0.0;1018.25;62.676;;;;;;0 / 0;81.3;40.0;3.671;21;2014-11-17 17:12:40:967
-1.024718;-8.437166;3.39019;-1.085075;-7.96588;5.615849;0.060357;-0.471287;-2.225659;2.87015;-1.013425;1.160339;0.0;15.9;46.02;19.98;338.6563;64.8434;8.6271;0.0;1018.39;62.676;;;;;;0 / 0;81.3;40.0;3.671;95;2014-11-17 17:12:41:041
0.814029;-2.346318;1.532289;-1.191933;-6.813473;6.951709;2.005961;4.467156;-5.41942;1.747685;-0.367741;0.812145;20.0;20.22;47.7;13.38;331.9256;44.0098;9.7293;0.0;1018.39;62.676;;;;;;0 / 0;81.3;40.0;3.671;168;2014-11-17 17:12:41:114
-0.105345;-2.566584;1.436521;-1.288569;-6.000728;7.648611;1.183224;3.434144;-6.21209;0.729984;0.03207;0.514654;20.0;26.46;48.18;1.32;324.3105;37.7273;9.5629;0.0;1018.39;62.676;;;;;;0 / 0;81.3;40.0;3.671;226;2014-11-17 17:12:41:172
-1.599327;-2.03986;2.509123;-1.406982;-5.833008;7.756726;-0.192345;3.793149;-5.247602;-1.34818;0.221439;-0.234878;13.0;28.26;47.7;-2.04;324.3105;37.7273;9.5629;0.0;1018.48;62.676;;;;;;0 / 0;81.3;40.0;3.671;277;2014-11-17 17:12:41:223
-2.327164;-7.891289;3.916914;-0.755383;-9.4117;2.649466;-1.57178;1.520413;1.267448;-1.349096;0.576351;-0.025045;20.0;29.88;46.74;-2.04;319.6421;36.4985;10.281;0.0;1018.48;62.676;;;;;;0 / 0;81.3;40.0;3.671;334;2014-11-17 17:12:41:280
-4.472368;-16.816874;6.234502;-0.855759;-9.611608;1.74787;-3.61661;-7.205264;4.486632;-2.335949;1.159728;-0.164017;17.0;30.6;46.14;0.3;261.3577;78.5538;26.0864;0.0;1018.48;65.33028;;;;;;0 / 0;81.3;40.0;3.671;399;2014-11-17 17:12:41:345
0.967258;-9.911994;3.045425;-0.839286;-9.420684;2.591663;1.806544;-0.491311;0.453761;-2.672841;0.317345;-0.404087;20.0;30.66;45.12;5.16;284.2742;73.8718;17.9441;0.0;1018.28;65.33028;;;;;;0 / 0;81.3;40.0;3.671;454;2014-11-17 17:12:41:400
-0.248997;-13.512874;0.201113;-0.60318;-9.528834;2.237831;0.354183;-3.98404;-2.036718;-2.324037;0.101404;-0.617279;23.0;29.46;43.14;11.34;284.2742;73.8718;17.9441;0.0;1018.28;65.33028;;;;;;0 / 0;81.3;40.0;3.671;506;2014-11-17 17:12:41:452
-1.915361;-9.423578;0.909797;-0.804133;-9.546232;2.096001;-1.111228;0.122654;-1.186204;-2.303573;0.356134;-0.552222;17.0;27.78;41.82;15.48;298.6714;76.3294;15.0849;0.0;1018.28;65.33028;;;;;;0 / 0;81.3;40.0;3.671;566;2014-11-17 17:12:41:512
-1.8579;-9.62469;-0.316035;-0.85209;-9.59884;1.81841;-1.00581;-0.02585;-2.134444;-2.299602;-0.175318;-0.739758;20.0;24.36;38.16;23.7;300.8791;78.1837;25.1074;0.0;1018.23;65.33028;;;;;;0 / 0;81.3;40.0;3.671;639;2014-11-17 17:12:41:585
-1.130063;-7.594407;2.011129;-0.927201;-9.572444;1.918074;-0.202862;1.978036;0.093055;-1.934305;-0.492357;-0.420886;17.0;23.28;35.88;26.94;300.8791;78.1837;25.1074;0.0;1018.23;65.33028;;;;;;0 / 0;81.3;40.0;3.671;689;2014-11-17 17:12:41:635
-0.248997;-9.758766;1.656788;-0.935173;-9.57372;1.907812;0.686176;-0.185046;-0.251024;-1.52869;0.465479;0.065973;16.0;22.14;30.84;31.56;306.3529;77.4529;25.7992;0.0;1018.23;69.60323;;;;;;0 / 0;81.3;40.0;3.671;745;2014-11-17 17:12:41:691
-0.354342;-11.434708;-1.235408;-0.926641;-9.633052;1.586203;0.572299;-1.801656;-2.821611;-1.081842;1.208291;-0.065057;15.0;20.94;28.38;33.78;308.4423;77.4872;26.1132;0.0;1018.23;69.60323;;;;;;0 / 0;81.3;40.0;3.671;805;2014-11-17 17:12:41:751
-0.105345;-16.031574;2.585738;-0.651471;-9.65663;1.57972;0.546126;-6.374944;1.006018;-0.397368;0.099266;-0.424246;0.0;18.48;24.66;36.96;315.4934;79.9651;22.4111;0.0;1018.23;69.60323;;;;;;0 / 0;81.3;40.0;3.671;870;2014-11-17 17:12:41:816
-3.811569;-14.87278;8.360553;-0.952248;-9.472588;2.352381;-2.859321;-5.400192;6.008172;2.392148;-0.458454;0.464258;17.0;17.34;23.64;38.1;315.4934;79.9651;22.4111;0.0;1018.23;69.60323;;;;;;0 / 0;81.3;40.0;3.671;934;2014-11-17 17:12:41:880
1.896208;-17.918205;-6.703765;-1.071383;-8.899454;3.977718;2.967591;-9.01875;-10.681482;4.31332;0.408363;0.362243;17.0;17.28;25.68;36.42;318.6217;75.0021;22.0382;0.0;1018.13;69.60323;;;;;;0 / 0;81.3;40.0;3.671;994;2014-11-17 17:12:41:940
-1.120486;-16.692373;-3.256114;-0.870943;-9.674396;1.348292;-0.249544;-7.017978;-4.604406;3.514919;0.311236;1.651474;20.0;17.7;29.82;32.04;324.8962;65.161;15.0747;0.0;1018.13;69.60323;;;;;;0 / 0;81.3;40.0;3.671;1055;2014-11-17 17:12:42:001
2.547431;-8.944736;-1.819593;-0.635504;-9.691696;1.35556;3.182935;0.74696;-3.175153;3.549738;-1.730887;1.572062;23.0;18.48;35.28;24.9;306.8432;81.2186;25.1178;0.0;1018.13;67.38846;;;;;;0 / 0;81.3;40.0;3.671;1125;2014-11-17 17:12:42:071
