sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.373495;-3.380613;-0.191536;-0.69398;-9.353904;2.862384;0.320484;5.973292;-3.05392;0.764803;0.344223;0.509156;81.0;4.44;31.98;-53.34;167.9871;72.5221;13.6283;0.0;1018.1;67.55219;;;;;;0 / 0;81.9;39.0;3.665;26;2014-11-17 17:13:58:924
-0.009577;-2.624045;0.574608;-0.879914;-9.322814;2.912264;0.870338;6.69877;-2.337656;-1.296867;0.492968;0.002443;78.0;6.06;30.0;-54.72;167.9871;72.5221;13.6283;0.0;1018.1;65.47699;;;;;;0 / 0;81.9;39.0;3.665;84;2014-11-17 17:13:58:982
-0.881066;-4.692635;2.537854;-0.912696;-9.507078;2.2255;0.03163;4.814443;0.312354;-1.620931;0.588874;-0.217773;81.0;8.16;30.06;-54.54;167.9094;71.9271;16.8117;0.0;1018.02;65.47699;;;;;;0 / 0;81.9;39.0;3.665;154;2014-11-17 17:13:59:052
-1.886631;-8.408436;3.86903;-0.504793;-9.590714;1.983381;-1.381838;1.182277;1.885649;-1.694235;0.471588;-0.566272;81.0;9.3;31.98;-53.22;174.565;77.954;14.2793;0.0;1018.02;65.47699;;;;;;0 / 0;81.9;39.0;3.665;204;2014-11-17 17:13:59:102
-0.632069;-11.36767;3.447651;-0.484774;-9.563098;2.117196;-0.147295;-1.804571;1.330455;-1.185995;-0.021075;-0.463341;75.0;11.04;36.48;-49.56;179.4029;77.204;12.8967;0.0;1018.02;65.47699;;;;;;0 / 0;81.9;39.0;3.665;255;2014-11-17 17:13:59:153
-0.842759;-8.858546;4.367024;-0.560585;-9.479966;2.446709;-0.282174;0.621421;1.920315;-0.577879;0.16585;0.063835;78.0;11.52;38.34;-48.3;179.4029;77.204;12.8967;0.0;1017.91;65.47699;;;;;;0 / 0;81.9;39.0;3.665;312;2014-11-17 17:13:59:210
-12.794614;-19.450495;17.03714;-0.589946;-9.618578;1.818042;-12.204668;-9.831916;15.219098;2.659097;-1.926364;1.160033;73.0;12.18;41.16;-45.36;181.8764;75.1696;12.9048;0.0;1017.91;65.47699;;;;;;0 / 0;81.9;39.0;3.665;381;2014-11-17 17:13:59:279
11.530476;-0.421379;-13.359646;-0.508799;-9.461402;2.52852;12.039276;9.040024;-15.888164;-0.769996;1.357343;-0.327118;89.0;12.3;40.86;-45.18;184.8445;74.7515;11.3774;0.0;1017.91;65.97614;;;;;;0 / 0;81.9;39.0;3.665;444;2014-11-17 17:13:59:342
-10.534488;-18.44493;7.766791;-0.612603;-9.490494;2.392824;-9.921884;-8.954434;5.373966;-0.54703;2.818227;-0.163101;70.0;13.02;40.26;-45.54;184.8445;74.7515;11.3774;0.0;1017.91;65.97614;;;;;;0 / 0;81.9;39.0;3.665;495;2014-11-17 17:13:59:393
0.727837;-4.568136;-0.536301;-0.622463;-9.510146;2.31085;1.350301;4.942011;-2.84715;-0.543059;-0.813672;-0.286496;80.0;15.48;38.82;-46.5;183.3851;75.4118;14.3602;0.0;1017.91;65.97614;;;;;;0 / 0;81.9;39.0;3.665;557;2014-11-17 17:13:59:455
0.057461;-8.015787;5.6982;-1.060576;-9.378186;2.663679;1.118037;1.3624;3.034521;0.037263;-0.076969;-0.148135;75.0;16.2;39.78;-45.66;185.2965;75.8749;15.0757;0.0;1017.91;65.97614;;;;;;0 / 0;81.9;39.0;3.665;620;2014-11-17 17:13:59:518
0.47884;-6.090849;2.853889;-0.964208;-9.330554;2.860322;1.443049;3.239706;-0.006434;0.088881;1.307863;-0.20861;73.0;14.88;39.66;-45.3;179.7198;72.0734;18.6289;0.0;1017.95;65.97614;;;;;;0 / 0;81.9;39.0;3.665;689;2014-11-17 17:13:59:587
-3.581726;-6.464344;1.321599;-1.311;-9.31624;2.767556;-2.270726;2.851896;-1.445957;0.315206;1.021367;-0.357967;70.0;14.58;39.36;-45.0;170.0545;71.8036;25.3471;0.0;1017.95;65.97614;;;;;;0 / 0;81.9;39.0;3.665;745;2014-11-17 17:13:59:643
-4.050989;-9.500192;2.815581;-1.555847;-9.285912;2.742545;-2.495141;-0.21428;0.073036;0.325591;-0.217773;-0.21533;63.0;15.18;38.82;-45.12;170.0545;71.8036;25.3471;0.0;1017.95;65.97614;;;;;;0 / 0;81.9;39.0;3.665;804;2014-11-17 17:13:59:702
-3.323152;-10.151414;7.125145;-1.703677;-9.098856;3.237084;-1.619475;-1.052559;3.888061;1.202183;-0.093157;0.108734;67.0;15.72;38.16;-45.48;165.6174;71.2445;29.5663;0.0;1018.07;64.79764;;;;;;0 / 0;81.9;39.0;3.665;857;2014-11-17 17:13:59:755
-1.16837;-19.546263;5.45878;-1.936787;-8.730818;4.023936;0.768417;-10.815444;1.434844;2.708271;0.050396;1.480127;70.0;16.02;35.16;-47.28;167.9467;62.9104;25.7023;0.0;1018.07;64.79764;;;;;;0 / 0;81.9;39.0;3.665;912;2014-11-17 17:13:59:810
0.47884;-14.709974;0.92895;-1.435317;-9.198648;3.081417;1.914157;-5.511327;-2.152466;2.91902;-0.111483;1.513113;73.0;16.2;31.8;-48.54;167.9467;62.9104;25.7023;0.0;1018.07;64.79764;;;;;;0 / 0;81.9;39.0;3.665;978;2014-11-17 17:13:59:876
2.030283;-8.389282;-0.584185;-1.058769;-9.372324;2.684952;3.089052;0.983041;-3.269137;0.766941;-0.269697;0.539089;67.0;17.1;23.4;-51.54;171.7948;69.7185;24.976;0.0;1018.07;64.79764;;;;;;0 / 0;81.9;39.0;3.665;1046;2014-11-17 17:13:59:944
2.384625;1.58975;-3.974375;-1.284768;-9.203938;3.131656;3.669393;10.79369;-7.10603;-0.299935;0.634384;0.361327;64.0;18.18;16.98;-52.92;175.6827;69.8079;22.306;0.0;1018.07;64.79764;;;;;;0 / 0;81.9;39.0;3.665;1116;2014-11-17 17:14:00:014
0.6608;0.02873;-1.848324;-1.391963;-9.373166;2.525189;2.052763;9.401896;-4.373512;-2.45018;-0.406836;-1.06596;64.0;19.08;16.92;-52.5;169.8544;72.9008;28.8649;0.0;1018.07;64.79764;;;;;;0 / 0;81.9;39.0;3.665;1173;2014-11-17 17:14:00:071
-0.459687;-8.255207;1.35033;-0.511661;-9.67627;1.509426;0.051975;1.421064;-0.159096;-3.359148;-0.112094;-1.160644;66.0;19.32;21.66;-49.56;182.2626;80.6467;18.7255;0.0;1017.99;68.27919;;;;;;0 / 0;81.9;39.0;3.665;1239;2014-11-17 17:14:00:137
-3.236961;-13.196838;7.939173;-0.754825;-9.53899;2.146687;-2.482136;-3.657848;5.792486;-0.91416;-0.471283;-0.498771;66.0;18.12;25.44;-47.58;182.2626;80.6467;18.7255;0.0;1017.99;68.27919;;;;;;0 / 0;81.9;39.0;3.665;1290;2014-11-17 17:14:00:188
4.328717;-5.640739;0.718261;-0.352676;-9.52437;2.309191;4.681393;3.883632;-1.590931;-0.433409;-0.687223;-0.58246;53.0;14.34;30.18;-44.82;192.5539;76.2195;8.6835;0.0;1017.99;68.27919;;;;;;0 / 0;81.9;39.0;3.665;1359;2014-11-17 17:14:00:257
-7.07726;-19.52711;8.389284;-0.129068;-9.62212;1.88906;-6.948191;-9.904988;6.500223;0.291688;-0.103542;0.89675;51.0;12.36;31.08;-44.1;193.3234;78.8674;3.9086;0.0;1017.99;68.27919;;;;;;0 / 0;81.9;39.0;3.665;1419;2014-11-17 17:14:00:317
12.382812;-2.710236;-11.63582;0.26075;-9.660398;1.667069;12.122062;6.950162;-13.30289;-0.221439;0.415083;-0.174097;62.0;10.38;29.64;-44.58;204.3987;80.0924;-8.8897;0.0;1017.99;68.27919;;;;;;0 / 0;81.9;39.0;3.665;1481;2014-11-17 17:14:00:379
-17.075447;-19.144037;10.630256;0.292537;-9.672972;1.586961;-17.367985;-9.471064;9.043296;-0.142637;-0.979522;0.273057;53.0;10.38;29.1;-44.58;204.3987;80.0924;-8.8897;0.0;1017.99;68.27919;;;;;;0 / 0;81.9;39.0;3.665;1532;2014-11-17 17:14:00:430
4.730943;-4.855441;-0.220267;-0.796434;-9.560764;2.031713;5.527377;4.705324;-2.251979;0.029322;-1.096808;0.176845;51.0;10.08;29.34;-43.26;169.6756;77.1426;21.4053;0.0;1018.0;68.24895;;;;;;0 / 0;81.9;39.0;3.665;1590;2014-11-17 17:14:00:488
-4.865018;-9.078812;3.562572;-1.172137;-9.512088;2.07766;-3.692881;0.433276;1.484912;-0.394008;0.901026;-0.016493;48.0;9.96;30.06;-42.36;160.1001;75.9214;29.43;0.0;1018.0;68.24895;;;;;;0 / 0;81.9;39.0;3.665;1645;2014-11-17 17:14:00:543
1.867477;-5.48751;3.8403;-0.953576;-9.44998;2.441103;2.821053;3.96247;1.399197;0.227242;-0.065057;0.117592;44.0;9.24;30.12;-41.16;160.1001;75.9214;29.43;0.0;1018.0;68.24895;;;;;;0 / 0;81.9;39.0;3.665;1702;2014-11-17 17:14:00:600
-3.610456;-6.933608;0.565032;-1.247274;-9.451848;2.297224;-2.363182;2.518241;-1.732193;0.022297;1.192409;-0.305433;42.0;9.3;29.64;-40.38;168.4363;74.4998;21.3373;0.0;1018.0;68.24895;;;;;;0 / 0;81.9;39.0;3.665;1756;2014-11-17 17:14:00:654
-2.595315;-8.657434;3.275268;-1.350155;-9.414102;2.392103;-1.24516;0.756669;0.883165;0.006109;-0.063835;-0.317039;37.0;9.12;29.34;-40.32;158.2019;73.7339;29.4413;0.0;1018.0;68.24895;;;;;;0 / 0;81.9;39.0;3.665;1813;2014-11-17 17:14:00:711
-4.089296;-15.571888;7.929596;-1.524269;-9.25351;2.866975;-2.565027;-6.318377;5.062621;1.087035;-0.035125;-0.248622;40.0;7.8;27.9;-40.02;157.0023;70.6644;27.998;0.0;1018.0;68.24895;;;;;;0 / 0;81.9;39.0;3.665;1880;2014-11-17 17:14:00:778
2.183512;-19.546263;-0.354342;-1.6243;-8.863288;3.869649;3.807812;-10.682974;-4.223991;2.731484;-0.40592;0.998459;49.0;6.72;26.58;-40.26;157.0023;70.6644;27.998;0.0;1018.15;66.42179;;;;;;0 / 0;81.9;39.0;3.665;1932;2014-11-17 17:14:00:830
