sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.536301;-9.490616;0.095768;-0.783588;-9.766614;0.411871;1.319889;0.275999;-0.316102;-0.155465;0.005498;-0.004581;17.0;-30.48;50.82;-5.46;32.6112;84.8209;62.2726;0.0;1018.03;63.94652;;;;;;0 / 0;85.5;36.0;3.717;13;2014-11-17 17:22:26:862
0.469264;-9.80665;0.23942;-0.756405;-9.77205;0.324487;1.225669;-0.034599;-0.085067;-0.088575;-0.047953;0.004276;15.0;-30.54;50.88;-4.8;32.6112;84.8209;62.2726;0.0;1018.03;41.19849;;;;;;0 / 0;85.5;36.0;3.717;65;2014-11-17 17:22:26:914
0.92895;-9.643844;-0.354342;-0.737072;-9.775492;0.258597;1.666022;0.131648;-0.612939;-0.15852;-0.010385;-0.027489;12.0;-30.54;50.7;-4.08;28.8673;85.1855;66.7814;0.0;1018.03;41.19849;;;;;;0 / 0;85.5;36.0;3.717;127;2014-11-17 17:22:26:976
0.957681;-9.59596;-0.162806;-0.697146;-9.780506;0.161581;1.654827;0.184546;-0.324386;-0.135001;-0.050091;-0.011912;15.0;-30.66;50.52;-3.84;18.3037;85.8152;76.9507;0.0;1018.03;41.19849;;;;;;0 / 0;85.5;36.0;3.717;189;2014-11-17 17:22:27:038
0.871489;-9.586384;-0.248997;-0.668367;-9.783532;0.078742;1.539857;0.197148;-0.327738;-0.156381;-0.013744;-0.005498;17.0;-31.2;50.28;-2.94;11.0609;86.0649;83.2809;0.0;1018.03;41.19849;;;;;;0 / 0;85.5;36.0;3.717;241;2014-11-17 17:22:27:090
0.995988;-9.720458;-0.373495;-0.63867;-9.785818;-0.016521;1.634658;0.06536;-0.356975;-0.134696;-0.03879;0.004887;15.0;-31.2;50.34;-2.94;11.0609;86.0649;83.2809;0.0;1018.03;41.19849;;;;;;0 / 0;85.5;36.0;3.717;298;2014-11-17 17:22:27:147
1.015142;-9.442732;-0.71826;-0.607967;-9.785994;-0.187336;1.623109;0.343263;-0.530925;-0.118813;-0.140804;0.025962;0.0;-32.1;50.28;-2.22;355.1298;86.2908;98.9272;0.0;1018.03;41.19849;;;;;;0 / 0;85.5;36.0;3.717;399;2014-11-17 17:22:27:248
0.890643;-9.557652;-0.47884;-0.575947;-9.784972;-0.304895;1.46659;0.22732;-0.173945;-0.21197;-0.100487;-0.017715;12.0;-32.16;50.28;-0.96;336.2442;86.1897;117.8959;0.0;1018.05;33.36052;;;;;;0 / 0;85.5;36.0;3.717;455;2014-11-17 17:22:27:304
1.101333;-9.710882;-0.622492;-0.544757;-9.782584;-0.417958;1.646089;0.071702;-0.204534;-0.212276;-0.208305;-0.006109;17.0;-32.16;49.86;-0.42;336.2442;86.1897;117.8959;0.0;1018.05;33.36052;;;;;;0 / 0;85.5;36.0;3.717;517;2014-11-17 17:22:27:366
0.076614;-9.634268;-0.248997;-0.532342;-9.777616;-0.534086;0.608957;0.143348;0.285089;-0.246179;-0.200058;-0.029932;15.0;-32.04;49.74;1.02;325.9523;85.9851;127.4968;0.0;1018.05;33.36052;;;;;;0 / 0;85.5;36.0;3.717;581;2014-11-17 17:22:27:430
0.373495;-9.758766;0.248997;-0.531204;-9.772024;-0.629116;0.9047;0.013258;0.878113;-0.179594;-0.381485;0.060781;15.0;-31.8;49.86;1.92;316.0278;85.5899;135.0937;0.0;1018.05;33.36052;;;;;;0 / 0;85.5;36.0;3.717;640;2014-11-17 17:22:27:489
0.833182;-9.586384;-0.134075;-0.596135;-9.767756;-0.637147;1.429317;0.181373;0.503072;0.054367;-0.425162;0.238237;12.0;-32.16;49.62;3.24;313.4091;84.8954;136.9047;0.0;1018.05;33.36052;;;;;;0 / 0;85.5;36.0;3.717;705;2014-11-17 17:22:27:554
0.976834;-9.662998;-1.436521;-0.694321;-9.758582;-0.677045;1.671156;0.095585;-0.759476;-0.385761;-0.413861;0.063835;15.0;-32.04;49.74;3.96;313.4091;84.8954;136.9047;0.0;1018.05;33.36052;;;;;;0 / 0;85.5;36.0;3.717;782;2014-11-17 17:22:27:631
0.919373;-9.308656;-1.723825;-0.748594;-9.743788;-0.8177;1.667967;0.435132;-0.906125;-0.115454;-0.762971;0.111483;15.0;-31.5;49.8;5.64;313.1158;84.3248;134.2782;0.0;1018.11;44.38022;;;;;;0 / 0;85.5;36.0;3.717;854;2014-11-17 17:22:27:703
1.915361;-8.916006;-1.541866;-0.826036;-9.73105;-0.891467;2.741397;0.815043;-0.650399;-0.356134;-0.69547;0.18326;12.0;-30.84;50.1;7.98;307.0632;82.881;137.1817;0.0;1018.11;44.38022;;;;;;0 / 0;85.5;36.0;3.717;911;2014-11-17 17:22:27:760
-2.748543;-9.854534;-0.440533;-0.982191;-9.699924;-1.056957;-1.766353;-0.15461;0.616424;-0.235489;-0.780075;0.482889;17.0;-30.36;50.46;9.54;307.0632;82.881;137.1817;0.0;1018.11;44.38022;;;;;;0 / 0;85.5;36.0;3.717;961;2014-11-17 17:22:27:810
0.383072;-7.278373;-2.681506;-1.234385;-9.659172;-1.16063;1.617457;2.380799;-1.520876;-0.252593;-0.849408;0.189979;12.0;-29.16;50.82;12.36;303.8112;81.5393;137.0998;0.0;1018.13;44.38022;;;;;;0 / 0;85.5;36.0;3.717;1020;2014-11-17 17:22:27:869
3.524265;-12.852074;0.411803;-1.390586;-9.626966;-1.248266;4.914851;-3.225107;1.660069;0.196699;-1.131933;0.795957;0.0;-28.14;51.12;13.38;307.3378;79.0151;131.9129;0.0;1018.13;44.38022;;;;;;0 / 0;85.5;36.0;3.717;1084;2014-11-17 17:22:27:933
